,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Antoine Griezmann,7.0,fr  FRA,FW,30-032,90,30,33,90.9,387,59,22,23,95.7,8,8,100.0,0,0,,0,0.1,1,0,0,0,0
1,Lionel Messi,10.0,ar  ARG,FW,33-302,90,47,59,79.7,760,319,27,30,90.0,15,17,88.2,5,11,45.5,1,0.2,1,3,5,0,12
2,Pedri,16.0,es  ESP,CM,18-148,90,63,68,92.6,1111,131,29,30,96.7,27,27,100.0,5,6,83.3,0,0.1,1,6,2,0,3
3,Frenkie de Jong,21.0,nl  NED,"CB,CM",23-345,90,90,98,91.8,1494,362,47,50,94.0,34,34,100.0,9,11,81.8,0,0.2,1,2,1,0,4
4,Sergio Busquets,5.0,es  ESP,DM,32-280,90,104,108,96.3,1859,450,47,48,97.9,39,40,97.5,15,16,93.8,1,0.2,1,9,1,0,5
5,Jordi Alba,18.0,es  ESP,WB,32-032,90,58,64,90.6,945,120,32,36,88.9,22,22,100.0,4,5,80.0,0,0.1,1,0,0,0,0
6,Sergi Roberto,20.0,es  ESP,WB,29-074,63,91,108,84.3,1371,267,52,57,91.2,36,39,92.3,3,4,75.0,0,0.0,0,3,2,0,6
7,Francisco Trincão,17.0,pt  POR,WB,21-114,27,13,17,76.5,185,45,6,8,75.0,7,8,87.5,0,0,,0,0.0,0,0,0,0,1
8,Clément Lenglet,15.0,fr  FRA,CB,25-309,45,70,79,88.6,1209,299,32,34,94.1,32,36,88.9,6,9,66.7,0,0.0,0,4,2,0,3
9,Ilaix,27.0,es  ESP,CM,18-093,45,37,39,94.9,536,80,25,25,100.0,11,12,91.7,1,1,100.0,0,0.0,0,2,0,0,1
10,Gerard Piqué,3.0,es  ESP,CB,34-079,45,71,73,97.3,1321,308,20,22,90.9,46,46,100.0,5,5,100.0,0,0.0,0,5,0,0,0
11,Ronald Araújo,4.0,uy  URU,CB,22-046,45,43,44,97.7,903,118,3,3,100.0,38,38,100.0,2,3,66.7,0,0.0,0,0,0,0,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-344,74,116,124,93.5,1865,551,55,57,96.5,57,59,96.6,3,6,50.0,0,0.0,0,12,0,0,3
13,Samuel Umtiti,23.0,fr  FRA,CB,27-159,16,13,17,76.5,218,50,6,6,100.0,7,9,77.8,0,2,0.0,0,0.0,0,0,0,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-357,90,39,42,92.9,942,433,9,9,100.0,19,19,100.0,11,14,78.6,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,885,973,91.0,15106,3592,412,438,94.1,398,414,96.1,69,93,74.2,2,0.8,6,46,13,0,38
