,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Antoine Griezmann,7.0,fr  FRA,FW,30-032,90,43,0,8,21,18,4,41,3,3,100.0,3,0,37,117,62,3,1,1,2,2,39,32,82.1,5
1,Lionel Messi,10.0,ar  ARG,FW,33-302,90,73,0,1,38,41,7,65,2,4,50.0,2,0,52,312,199,12,4,3,0,2,75,61,81.3,11
2,Pedri,16.0,es  ESP,CM,18-148,90,77,0,12,54,15,0,76,1,4,25.0,1,0,64,252,96,5,2,0,2,0,78,69,88.5,1
3,Frenkie de Jong,21.0,nl  NED,"CB,CM",23-345,90,107,2,32,64,20,4,104,2,3,66.7,2,0,80,348,141,3,3,0,0,2,98,89,90.8,3
4,Sergio Busquets,5.0,es  ESP,DM,32-280,90,113,3,21,85,12,0,109,0,0,,0,0,70,275,125,8,2,0,0,0,101,94,93.1,0
5,Jordi Alba,18.0,es  ESP,WB,32-032,90,68,0,16,34,20,3,64,0,0,,0,0,39,133,35,0,0,0,1,0,61,56,91.8,4
6,Sergi Roberto,20.0,es  ESP,WB,29-074,63,113,2,17,51,50,2,104,1,1,100.0,1,0,74,281,122,6,1,0,0,0,90,87,96.7,8
7,Francisco Trincão,17.0,pt  POR,WB,21-114,27,18,0,2,7,10,2,18,1,1,100.0,1,0,14,107,46,3,1,0,1,0,20,17,85.0,3
8,Clément Lenglet,15.0,fr  FRA,CB,25-309,45,82,13,33,55,4,0,82,0,0,,0,0,66,380,212,4,3,0,0,0,73,73,100.0,0
9,Ilaix,27.0,es  ESP,CM,18-093,45,48,0,5,35,11,2,48,1,1,100.0,1,0,39,159,55,3,1,0,1,1,43,39,90.7,2
10,Gerard Piqué,3.0,es  ESP,CB,34-079,45,76,7,33,50,0,0,76,0,0,,0,0,63,411,233,6,0,0,0,0,68,67,98.5,0
11,Ronald Araújo,4.0,uy  URU,CB,22-046,45,46,5,24,24,1,1,46,0,0,,0,0,39,176,50,1,0,0,0,0,44,44,100.0,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-344,74,128,6,41,85,7,1,122,1,1,100.0,1,1,105,503,234,8,1,0,0,0,116,114,98.3,1
13,Samuel Umtiti,23.0,fr  FRA,CB,27-159,16,20,2,12,10,0,0,19,0,0,,0,0,13,67,34,1,0,0,0,0,14,13,92.9,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-357,90,43,38,43,0,0,0,36,0,1,0.0,1,0,29,128,43,0,0,0,0,0,31,30,96.8,0
15,15 Players,,,,,990,1055,78,300,613,209,26,1010,12,19,63.2,13,1,784,3649,1687,63,19,4,7,7,951,885,93.1,38
