,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Ángel Rodríguez,9.0,es  ESP,FW,33-361,62,7,12,58.3,168,5,2,4,50.0,2,2,100.0,3,3,100.0,0,0.0,0,0,0,0,0
1,Enes Ünal,10.0,tr  TUR,FW,23-347,28,8,9,88.9,119,22,5,6,83.3,3,3,100.0,0,0,,0,0.0,0,1,0,0,1
2,Takefusa Kubo,5.0,jp  JPN,LW,19-322,90,16,19,84.2,233,65,9,10,90.0,6,7,85.7,1,1,100.0,0,0.0,0,1,1,0,2
3,Iglesias,29.0,es  ESP,RW,22-293,90,10,17,58.8,188,88,2,3,66.7,5,5,100.0,2,7,28.6,0,0.2,2,0,3,2,2
4,Nemanja Maksimović,20.0,rs  SRB,CM,26-086,45,6,9,66.7,67,10,5,7,71.4,1,2,50.0,0,0,,0,0.0,0,0,1,0,1
5,Mauro Arambarri,18.0,uy  URU,CM,25-204,45,6,7,85.7,106,19,3,3,100.0,3,4,75.0,0,0,,0,0.0,0,0,0,0,0
6,Carles Aleñá,11.0,es  ESP,CM,23-107,45,7,10,70.0,82,34,4,4,100.0,2,4,50.0,0,1,0.0,0,0.0,0,0,0,0,2
7,Sabit Abdulai,35.0,gh  GHA,CM,21-346,45,7,10,70.0,133,9,2,2,100.0,4,4,100.0,1,3,33.3,0,0.0,0,0,1,0,1
8,Chema,6.0,es  ESP,DM,29-050,75,3,8,37.5,43,12,2,4,50.0,1,2,50.0,0,1,0.0,0,0.0,0,0,0,0,1
9,José Antonio Miranda,32.0,gq  EQG,DM,22-274,15,1,3,33.3,5,0,1,2,50.0,0,1,0.0,0,0,,0,0.0,0,0,0,0,0
10,Marc Cucurella,15.0,es  ESP,LB,22-274,45,13,16,81.3,206,117,6,6,100.0,6,7,85.7,1,2,50.0,0,0.3,1,1,0,0,2
11,Emmanuel Amankwaa Akurugu,40.0,gh  GHA,LB,19-153,45,8,12,66.7,157,38,3,4,75.0,4,4,100.0,1,3,33.3,0,0.0,0,1,0,0,1
12,Sofian Chakla,21.0,ma  MAR,CB,27-232,90,11,19,57.9,191,88,4,5,80.0,7,11,63.6,0,3,0.0,0,0.0,0,1,0,0,4
13,Djené,2.0,tg  TOG,CB,29-112,90,19,22,86.4,424,116,5,6,83.3,10,10,100.0,3,5,60.0,0,0.0,0,1,0,0,3
14,Damián Suárez,22.0,uy  URU,RB,32-360,90,20,33,60.6,442,194,9,11,81.8,7,11,63.6,4,10,40.0,0,0.1,1,3,1,1,5
15,David Soria,13.0,es  ESP,GK,28-018,90,11,23,47.8,556,495,2,2,100.0,0,0,,9,21,42.9,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,153,229,66.8,3120,1312,64,79,81.0,61,77,79.2,25,60,41.7,0,0.5,4,9,7,3,25
