,Getafe (4-3-3),Getafe (4-3-3).1
0,13,David Soria
1,2,Djené
2,5,Takefusa Kubo
3,6,Chema
4,9,Ángel Rodríguez
5,11,Carles Aleñá
6,15,Marc Cucurella
7,20,Nemanja Maksimović
8,21,Sofian Chakla
9,22,Damián Suárez
10,29,Iglesias
11,Bench,Bench
12,1,Rubén Yáñez
13,4,Xabier Etxeita
14,7,Jaime Mata
15,8,Francisco Portillo
16,10,Enes Ünal
17,18,Mauro Arambarri
18,19,Darío Poveda
19,24,David Timor
20,32,José Antonio Miranda
21,35,Sabit Abdulai
22,39,Mamor Niang
23,40,Emmanuel Amankwaa Akurugu
