,Barcelona (3-5-2),Barcelona (3-5-2).1
0,1,Marc-André ter Stegen
1,3,Gerard Piqué
2,5,Sergio Busquets
3,7,Antoine Griezmann
4,10,Lionel Messi
5,15,Clément Lenglet
6,16,Pedri
7,18,Jordi Alba
8,20,Sergi Roberto
9,21,Frenkie de Jong
10,28,Óscar Mingueza
11,Bench,Bench
12,26,Iñaki Peña
13,36,Arnau Tenas
14,2,Sergiño Dest
15,4,Ronald Araújo
16,8,Miralem Pjanić
17,12,Riqui Puig
18,17,Francisco Trincão
19,19,Matheus Fernandes
20,23,Samuel Umtiti
21,24,Junior Firpo
22,27,Ilaix
23,29,Konrad De La Fuente
