,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,9,Takefusa Kubo,Getafe,Off Target,8.0,Left Foot,Volley,Iglesias,Pass (Live),Ángel Rodríguez,Pass (Live)
1,12,Ángel Rodríguez,Getafe,Wayward,8.0,Right Foot,Volley,Marc Cucurella,Pass (Live),Nemanja Maksimović,Pass (Live)
2,,,,,,,,,,,
3,50,Sofian Chakla,Getafe,Wayward,7.0,Head,,Damián Suárez,Pass (Live),Takefusa Kubo,Pass (Dead)
4,69,Enes Ünal  (pen),Getafe,Goal,12.0,Right Foot,,Enes Ünal,Fouled,Takefusa Kubo,Pass (Live)
5,78,José Antonio Miranda,Getafe,Wayward,7.0,Head,,Iglesias,Pass (Live),Iglesias,Dribble
6,87,Ronald Araújo,Barcelona,Goal,2.0,Head,,Lionel Messi,Pass (Dead),,
7,90+3,Antoine Griezmann  (pen),Barcelona,Goal,12.0,Left Foot,,Antoine Griezmann,Fouled,Lionel Messi,Pass (Live)
