,Possession_Barcelona,Possession_Getafe
0,81%,19%
1,Passing Accuracy,Passing Accuracy
2,885 of 973 —  91%,67%  — 153 of 229
3,Shots on Target,Shots on Target
4,5 of 8 —  63%,0%  — 0 of 4
5,Saves,Saves
6,0 of 0 —  %,20%  — 1 of 5
7,Cards,Cards
8,,
