,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Toby Alderweireld,be  BEL,DF,30.0,33,33,2957.0,32.9,2.0,2.0,2.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.1,2.2,0.03,0.03,0.07,0.03,0.07,be  BEL,DF,30.0,32.9,2,16,5,31.3,0.49,0.15,0.13,0.4,11.2,0,0,0,1.1,1.1,0.07,0.9,0.9,be  BEL,DF,30.0,32.9,1567,1895,82.7,37304,9766,334,358,93.3,869,938,92.6,354,573,61.8,2,1.1,0.9,11,130,16,1,87,be  BEL,DF,30.0,32.9,1895,1814,81,72,6,205,65,8,0,0,0,0,1238,190,467,340,1402,101,9,7,1567,10,39,9,12,be  BEL,DF,30.0,32.9,20,0.61,18,0,0,1,0,1,2,0.06,2,0,0,0,0,0,be  BEL,DF,30.0,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,11,55,229,3,be  BEL,DF,30.0,32.9,2265,355,1227,1037,114,22,2185,0,2,0.0,0,0,1362,6491,3048,80,20,0,3,2,1535,1500,97.7,18,be  BEL,DF,30.0,32.9,7,0,0,18,4,1,8,11,24,0,0,1,322,76,54,58.5
1,Serge Aurier,ci  CIV,DF,26.0,33,31,2700.0,30.0,1.0,5.0,1.0,0.0,0.0,4.0,1.0,0.03,0.17,0.2,0.03,0.2,0.6,0.6,2.8,3.4,0.02,0.09,0.11,0.02,0.11,ci  CIV,DF,26.0,30.0,1,13,4,30.8,0.43,0.13,0.08,0.25,18.7,0,0,0,0.6,0.6,0.04,0.4,0.4,ci  CIV,DF,26.0,30.0,1262,1654,76.3,20973,7402,640,715,89.5,506,655,77.3,99,205,48.3,5,2.8,2.2,30,63,40,16,111,ci  CIV,DF,26.0,30.0,1654,1380,274,16,1,271,21,98,0,0,0,0,915,418,321,171,1092,94,258,3,1262,3,27,31,70,ci  CIV,DF,26.0,30.0,48,1.6,43,2,2,0,0,1,5,0.17,4,0,1,0,0,0,ci  CIV,DF,26.0,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,264,185,72,58,7,0,51,29,127,105,1,ci  CIV,DF,26.0,30.0,2057,120,582,895,680,54,1789,46,73,63.0,46,7,1198,4807,2607,130,41,8,36,31,1297,1146,88.4,108,ci  CIV,DF,26.0,30.0,4,1,1,40,22,6,98,29,55,0,2,1,320,67,67,50.0
2,Harry Kane,eng  ENG,FW,26.0,29,29,2587.0,28.7,18.0,2.0,16.0,2.0,2.0,4.0,0.0,0.63,0.07,0.7,0.56,0.63,10.5,9.0,2.3,11.3,0.37,0.08,0.45,0.31,0.39,eng  ENG,FW,26.0,28.7,18,78,34,43.6,2.71,1.18,0.21,0.47,19.1,7,2,2,10.5,9.0,0.12,7.5,7.0,eng  ENG,FW,26.0,28.7,394,592,66.6,6934,1849,192,256,75.0,137,186,73.7,52,101,51.5,2,2.3,-0.3,24,48,17,3,62,eng  ENG,FW,26.0,28.7,592,561,31,5,6,184,17,22,0,0,0,0,315,164,113,63,434,32,6,9,394,2,14,19,33,eng  ENG,FW,26.0,28.7,54,1.88,37,0,7,4,5,1,6,0.21,3,0,0,2,1,0,eng  ENG,FW,26.0,28.7,20,14,5,13,2,6,19,31.6,13,448,100,22.3,23,219,206,31,12,0,19,4,24,30,0,eng  ENG,FW,26.0,28.7,923,39,85,468,432,132,886,28,59,47.5,34,3,607,3000,1408,82,28,19,52,43,1328,689,51.9,238,eng  ENG,FW,26.0,28.7,4,0,0,37,44,20,22,4,14,1,0,0,92,64,123,34.2
3,Son Heung-min,kr  KOR,"FW,MF",27.0,30,28,2476.0,27.5,11.0,10.0,11.0,0.0,1.0,0.0,2.0,0.4,0.36,0.76,0.4,0.76,8.9,8.0,7.0,15.0,0.32,0.25,0.58,0.29,0.55,kr  KOR,"FW,MF",27.0,27.5,11,81,39,48.1,2.94,1.42,0.14,0.28,16.6,1,0,1,8.9,8.0,0.1,2.1,3.0,kr  KOR,"FW,MF",27.0,27.5,705,882,79.9,11213,2547,397,453,87.6,239,271,88.2,52,104,50.0,10,7.0,3.0,43,47,27,3,69,kr  KOR,"FW,MF",27.0,27.5,882,802,80,12,6,201,33,29,47,20,14,7,629,143,110,118,714,23,15,4,705,1,10,15,43,kr  KOR,"FW,MF",27.0,27.5,95,3.45,59,7,15,10,3,1,21,0.76,12,1,3,4,1,0,kr  KOR,"FW,MF",27.0,27.5,33,21,15,15,3,11,66,16.7,55,544,133,24.4,130,249,165,28,0,0,28,13,46,19,0,kr  KOR,"FW,MF",27.0,27.5,1241,26,155,496,687,146,1162,67,116,57.8,75,4,936,5122,2815,162,38,42,46,69,1273,868,68.2,217,kr  KOR,"FW,MF",27.0,27.5,0,2,0,17,27,17,29,13,21,1,0,0,183,8,34,19.0
4,Moussa Sissoko,fr  FRA,MF,29.0,29,28,2452.0,27.2,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,1.1,3.5,0.09,0.04,0.13,0.09,0.13,fr  FRA,MF,29.0,27.2,2,14,4,28.6,0.51,0.15,0.14,0.5,14.8,0,0,0,2.4,2.4,0.17,-0.4,-0.4,fr  FRA,MF,29.0,27.2,1106,1279,86.5,19236,3940,517,580,89.1,441,500,88.2,117,147,79.6,1,1.1,-0.1,16,74,12,2,88,fr  FRA,MF,29.0,27.2,1279,1212,67,21,2,196,23,21,0,0,0,0,960,186,133,125,1025,47,46,12,1106,3,14,24,23,fr  FRA,MF,29.0,27.2,28,1.03,26,0,1,0,0,1,2,0.07,2,0,0,0,0,0,fr  FRA,MF,29.0,27.2,56,35,36,19,1,20,50,40.0,30,437,126,28.8,219,167,51,38,5,0,33,22,78,48,0,fr  FRA,MF,29.0,27.2,1537,77,388,870,390,33,1476,41,67,61.2,46,4,1035,5962,3250,152,48,10,21,31,1123,997,88.8,58,fr  FRA,MF,29.0,27.2,8,0,0,44,16,2,21,22,35,0,1,0,285,31,27,53.4
5,Davinson Sánchez,co  COL,DF,23.0,29,27,2431.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.02,0.0,0.02,0.02,0.02,co  COL,DF,23.0,27.0,0,8,3,37.5,0.3,0.11,0.0,0.0,8.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,co  COL,DF,23.0,27.0,1298,1496,86.8,28029,8014,343,373,92.0,728,786,92.6,221,313,70.6,0,0.0,0.0,1,49,0,0,56,co  COL,DF,23.0,27.0,1496,1457,39,24,0,214,42,2,0,0,0,0,1142,160,194,201,1181,70,15,4,1298,2,17,13,20,co  COL,DF,23.0,27.0,6,0.22,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,co  COL,DF,23.0,27.0,49,36,37,12,0,17,52,32.7,35,278,105,37.8,189,83,6,56,29,0,27,23,72,160,2,co  COL,DF,23.0,27.0,1791,283,985,849,47,17,1754,8,11,72.7,8,0,1178,5615,2532,52,6,0,6,5,1210,1199,99.1,13,co  COL,DF,23.0,27.0,6,0,0,27,12,1,2,23,36,0,0,0,260,52,34,60.5
6,Harry Winks,eng  ENG,MF,23.0,31,26,2221.0,24.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,1.6,0.02,0.05,0.07,0.02,0.07,eng  ENG,MF,23.0,24.7,0,14,2,14.3,0.57,0.08,0.0,0.0,24.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5,eng  ENG,MF,23.0,24.7,1466,1656,88.5,28421,7489,584,632,92.4,641,700,91.6,220,289,76.1,0,1.1,-1.1,18,149,15,2,138,eng  ENG,MF,23.0,24.7,1656,1583,73,43,5,237,47,15,7,3,2,1,1282,173,201,206,1389,42,5,5,1466,2,18,22,12,eng  ENG,MF,23.0,24.7,38,1.54,34,3,0,0,0,1,5,0.2,5,0,0,0,0,0,eng  ENG,MF,23.0,24.7,42,23,19,21,2,19,59,32.2,40,435,130,29.9,196,203,36,31,9,0,22,27,69,33,0,eng  ENG,MF,23.0,24.7,1840,58,413,1230,318,4,1773,14,22,63.6,15,1,1311,7069,3603,140,34,1,10,15,1423,1378,96.8,24,eng  ENG,MF,23.0,24.7,9,0,0,24,23,0,15,27,23,0,0,0,233,15,9,62.5
7,Lucas Moura,br  BRA,"FW,MF",26.0,35,25,2242.0,24.9,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.16,0.16,0.32,0.16,0.32,5.9,5.9,2.4,8.3,0.24,0.1,0.33,0.24,0.33,br  BRA,"FW,MF",26.0,24.9,4,56,13,23.2,2.25,0.52,0.07,0.31,16.8,0,0,0,5.9,5.9,0.11,-1.9,-1.9,br  BRA,"FW,MF",26.0,24.9,581,799,72.7,8736,2505,336,402,83.6,197,269,73.2,33,71,46.5,4,2.4,1.6,32,43,32,3,77,br  BRA,"FW,MF",26.0,24.9,799,782,17,5,6,218,6,27,4,2,1,0,518,157,124,81,633,37,5,3,581,3,9,20,38,br  BRA,"FW,MF",26.0,24.9,87,3.49,58,0,12,3,10,4,8,0.32,4,0,3,0,0,1,br  BRA,"FW,MF",26.0,24.9,53,33,19,21,13,12,60,20.0,48,532,144,27.1,111,285,136,40,2,0,38,14,67,21,0,br  BRA,"FW,MF",26.0,24.9,1190,31,146,607,547,85,1177,71,114,62.3,75,3,889,4968,2844,147,59,18,57,69,1201,830,69.1,193,br  BRA,"FW,MF",26.0,24.9,3,0,0,31,63,5,27,14,33,0,0,0,199,57,83,40.7
8,Dele Alli,eng  ENG,"MF,FW",23.0,25,21,1847.0,20.5,8.0,4.0,7.0,1.0,1.0,2.0,0.0,0.39,0.19,0.58,0.34,0.54,7.1,6.3,2.0,8.3,0.35,0.1,0.44,0.31,0.4,eng  ENG,"MF,FW",23.0,20.5,8,39,18,46.2,1.9,0.88,0.18,0.39,14.3,0,1,1,7.1,6.3,0.16,0.9,0.7,eng  ENG,"MF,FW",23.0,20.5,621,805,77.1,10289,2384,314,375,83.7,241,283,85.2,51,88,58.0,4,2.0,2.0,22,41,24,0,65,eng  ENG,"MF,FW",23.0,20.5,805,747,58,9,6,195,8,5,4,0,0,1,587,139,79,33,702,30,17,8,621,6,8,16,37,eng  ENG,"MF,FW",23.0,20.5,54,2.63,39,1,9,2,2,1,12,0.58,5,0,5,2,0,0,eng  ENG,"MF,FW",23.0,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,7,48,17,0,eng  ENG,"MF,FW",23.0,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,3724,1982,104,43,16,45,56,1102,773,70.1,197,eng  ENG,"MF,FW",23.0,20.5,2,0,0,12,33,6,5,7,29,0,0,0,157,17,32,34.7
9,Hugo Lloris,fr  FRA,GK,32.0,21,21,1807.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr  FRA,GK,32.0,20.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,fr  FRA,GK,32.0,20.1,395,568,69.5,13101,8616,86,87,98.9,132,135,97.8,174,343,50.7,0,0.0,0.0,0,10,0,0,0,fr  FRA,GK,32.0,20.1,568,381,187,38,0,49,14,0,0,0,0,0,235,38,295,331,113,0,0,82,395,2,9,1,1,fr  FRA,GK,32.0,20.1,1,0.05,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,fr  FRA,GK,32.0,20.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,2,fr  FRA,GK,32.0,20.1,622,591,622,0,0,0,435,0,1,0.0,0,0,241,1067,610,0,0,0,1,0,222,220,99.1,0,fr  FRA,GK,32.0,20.1,0,0,0,0,1,0,0,0,0,0,0,0,93,0,0,
