,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Pierre Højbjerg,dk  DEN,MF,24.0,38,38,3420.0,38.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,0.05,0.11,0.16,0.05,0.16,1.1,1.1,1.9,3.0,0.03,0.05,0.08,0.03,0.08,dk  DEN,MF,24.0,38.0,2,14,7,50.0,0.37,0.18,0.14,0.29,22.7,0,0,0,1.1,1.1,0.08,0.9,0.9,dk  DEN,MF,24.0,38.0,2389,2687,88.9,45264,12219,965,1054,91.6,1085,1188,91.3,309,400,77.3,4,1.9,2.1,17,235,20,4,193,dk  DEN,MF,24.0,38.0,2687,2585,102,93,3,244,68,11,0,0,0,0,2152,239,296,351,2191,96,9,8,2389,6,36,44,12,dk  DEN,MF,24.0,38.0,52,1.37,42,3,1,2,1,3,8,0.21,7,1,0,0,0,0,dk  DEN,MF,24.0,38.0,119,82,57,48,14,61,139,43.9,78,807,232,28.7,323,396,88,59,10,0,49,49,168,82,0,dk  DEN,MF,24.0,38.0,3050,128,789,2057,356,25,2964,25,38,65.8,26,2,2061,9170,4334,147,26,5,28,30,2284,2187,95.8,32,dk  DEN,MF,24.0,38.0,9,0,0,69,54,0,11,49,82,0,1,0,429,52,40,56.5
1,Hugo Lloris,fr  FRA,GK,33.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr  FRA,GK,33.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,fr  FRA,GK,33.0,38.0,763,1067,71.5,21867,13918,202,203,99.5,277,282,98.2,277,575,48.2,0,0.0,0.0,0,6,0,0,0,fr  FRA,GK,33.0,38.0,1067,685,382,114,0,52,17,0,0,0,0,0,523,52,492,636,194,1,0,158,763,1,12,11,0,fr  FRA,GK,33.0,38.0,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0,fr  FRA,GK,33.0,38.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,fr  FRA,GK,33.0,38.0,1127,1022,1123,4,0,0,750,1,1,100.0,1,0,456,1882,1070,0,0,0,0,0,420,418,99.5,0,fr  FRA,GK,33.0,38.0,0,0,0,0,3,0,0,0,0,0,0,0,152,0,0,
2,Son Heung-min,kr  KOR,FW,28.0,37,36,3114.0,34.6,17.0,10.0,16.0,1.0,1.0,0.0,0.0,0.49,0.29,0.78,0.46,0.75,10.3,9.5,8.9,18.4,0.3,0.26,0.55,0.27,0.53,kr  KOR,FW,28.0,34.6,17,68,35,51.5,1.97,1.01,0.24,0.46,17.0,1,1,1,10.3,9.5,0.14,6.7,6.5,kr  KOR,FW,28.0,34.6,920,1199,76.7,14606,3244,517,596,86.7,273,344,79.4,88,189,46.6,10,8.9,1.1,77,32,29,2,64,kr  KOR,FW,28.0,34.6,1199,1049,150,37,3,205,50,54,97,46,36,10,817,180,202,170,942,48,10,6,920,5,11,29,31,kr  KOR,FW,28.0,34.6,117,3.38,74,28,8,1,6,0,15,0.43,11,2,2,0,0,0,kr  KOR,FW,28.0,34.6,29,17,9,15,5,13,71,18.3,58,617,141,22.9,120,319,178,34,3,0,31,23,52,4,0,kr  KOR,FW,28.0,34.6,1539,13,172,657,813,143,1392,38,61,62.3,38,5,1038,5703,2941,161,51,33,50,64,1696,1107,65.3,269,kr  KOR,FW,28.0,34.6,0,0,0,14,54,16,54,23,17,0,0,0,161,24,67,26.4
3,Harry Kane,eng  ENG,FW,27.0,35,35,3082.0,34.2,23.0,14.0,19.0,4.0,4.0,1.0,0.0,0.67,0.41,1.08,0.55,0.96,20.5,17.5,7.4,24.8,0.6,0.22,0.81,0.51,0.73,eng  ENG,FW,27.0,34.2,23,134,47,35.1,3.91,1.37,0.14,0.4,17.7,14,4,4,20.5,17.5,0.13,2.5,1.5,eng  ENG,FW,27.0,34.2,657,937,70.1,12519,3835,300,385,77.9,236,316,74.7,102,170,60.0,14,7.4,6.6,48,98,41,7,125,eng  ENG,FW,27.0,34.2,937,890,47,10,12,239,54,37,0,0,0,0,503,219,215,124,672,61,8,9,657,8,13,40,44,eng  ENG,FW,27.0,34.2,113,3.3,70,2,18,9,12,2,25,0.73,15,1,6,0,3,0,eng  ENG,FW,27.0,34.2,18,12,3,12,3,5,20,25.0,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0,eng  ENG,FW,27.0,34.2,1396,50,142,736,616,166,1341,46,79,58.2,47,8,897,4616,2537,150,53,26,61,71,1761,1055,59.9,223,eng  ENG,FW,27.0,34.2,1,0,0,26,60,12,37,15,12,2,0,0,155,90,129,41.1
4,Eric Dier,eng  ENG,DF,26.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03,eng  ENG,DF,26.0,28.0,0,14,2,14.3,0.5,0.07,0.0,0.0,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9,eng  ENG,DF,26.0,28.0,1400,1654,84.6,31629,10688,393,433,90.8,711,766,92.8,289,429,67.4,0,0.1,-0.1,3,72,5,0,62,eng  ENG,DF,26.0,28.0,1654,1610,44,41,0,154,59,4,0,0,0,0,1201,129,324,244,1273,85,3,3,1400,2,20,20,20,eng  ENG,DF,26.0,28.0,16,0.57,14,0,0,1,0,1,0,0.0,0,0,0,0,0,0,eng  ENG,DF,26.0,28.0,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0,eng  ENG,DF,26.0,28.0,1942,365,1172,835,60,21,1891,3,5,60.0,4,0,1192,6480,3828,66,11,2,4,2,1362,1338,98.2,5,eng  ENG,DF,26.0,28.0,3,0,0,16,13,0,4,23,15,0,2,0,269,90,48,65.2
5,Tanguy Ndombele,fr  FRA,MF,23.0,33,28,2091.0,23.2,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.13,0.09,0.22,0.13,0.22,1.4,1.4,2.4,3.8,0.06,0.1,0.16,0.06,0.16,fr  FRA,MF,23.0,23.2,3,18,7,38.9,0.77,0.3,0.17,0.43,17.1,0,0,0,1.4,1.4,0.08,1.6,1.6,fr  FRA,MF,23.0,23.2,994,1165,85.3,15903,4088,527,588,89.6,345,404,85.4,81,110,73.6,2,2.4,-0.4,16,91,22,0,101,fr  FRA,MF,23.0,23.2,1165,1128,37,17,8,165,16,8,0,0,0,0,970,116,79,100,1007,37,4,5,994,3,7,31,24,fr  FRA,MF,23.0,23.2,57,2.45,42,0,4,2,7,2,8,0.34,7,0,0,1,0,0,fr  FRA,MF,23.0,23.2,49,32,12,25,12,11,43,25.6,32,454,152,33.5,134,240,80,35,4,0,31,30,79,19,0,fr  FRA,MF,23.0,23.2,1465,33,265,951,359,39,1436,70,97,72.2,73,5,1104,5253,2900,153,41,11,31,49,1207,1072,88.8,77,fr  FRA,MF,23.0,23.2,3,0,0,27,60,0,8,30,32,0,0,0,206,14,19,42.4
6,Sergio Reguilón,es  ESP,DF,23.0,27,26,2244.0,24.9,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.12,0.12,0.0,0.12,1.6,1.6,1.7,3.2,0.06,0.07,0.13,0.06,0.13,es  ESP,DF,23.0,24.9,0,21,4,19.0,0.84,0.16,0.0,0.0,18.3,0,0,0,1.6,1.6,0.08,-1.6,-1.6,es  ESP,DF,23.0,24.9,1076,1393,77.2,18509,6530,525,591,88.8,466,569,81.9,72,172,41.9,3,1.7,1.3,17,60,27,16,82,es  ESP,DF,23.0,24.9,1393,1185,208,20,0,143,27,59,1,1,0,0,881,240,272,1076,81,33,187,1,1076,4,15,45,48,es  ESP,DF,23.0,24.9,41,1.64,28,1,2,5,5,0,8,0.32,7,0,0,0,1,0,es  ESP,DF,23.0,24.9,51,27,31,13,7,18,43,41.9,25,388,112,28.9,177,141,70,53,7,0,46,35,86,64,0,es  ESP,DF,23.0,24.9,1689,87,501,780,505,55,1483,27,51,52.9,32,4,1072,4642,2684,113,35,8,18,31,1150,1037,90.2,78,es  ESP,DF,23.0,24.9,5,0,0,26,20,1,59,35,27,1,1,1,215,30,31,49.2
7,Toby Alderweireld,be  BEL,DF,31.0,25,25,2240.0,24.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,be  BEL,DF,31.0,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,0.2,0.2,be  BEL,DF,31.0,24.9,1143,1365,83.7,27127,7537,266,287,92.7,581,625,93.0,287,432,66.4,0,0.3,-0.3,7,76,6,1,52,be  BEL,DF,31.0,24.9,1365,1305,60,50,2,98,51,1,0,0,0,0,926,120,319,255,1010,66,10,4,1143,2,19,21,13,be  BEL,DF,31.0,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0,be  BEL,DF,31.0,24.9,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0,be  BEL,DF,31.0,24.9,1638,302,970,717,40,14,1579,3,3,100.0,3,0,973,4817,2473,49,5,0,2,2,1104,1088,98.6,4,be  BEL,DF,31.0,24.9,2,0,0,17,3,0,1,15,19,0,1,1,200,54,39,58.1
8,Serge Aurier,ci  CIV,DF,27.0,19,19,1605.0,17.8,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,ci  CIV,DF,27.0,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6,ci  CIV,DF,27.0,17.8,769,954,80.6,12616,5171,402,446,90.1,297,373,79.6,58,99,58.6,3,1.9,1.1,12,29,20,6,61,ci  CIV,DF,27.0,17.8,954,791,163,5,3,108,13,21,0,0,0,0,576,194,184,69,654,51,158,1,769,0,7,22,25,ci  CIV,DF,27.0,17.8,34,1.91,23,0,4,3,1,3,4,0.22,3,0,1,0,0,0,ci  CIV,DF,27.0,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,ci  CIV,DF,27.0,17.8,1210,85,425,549,281,24,1053,18,35,51.4,19,0,680,2316,1214,57,16,3,13,20,764,680,89.0,40,ci  CIV,DF,27.0,17.8,0,0,0,23,15,1,21,24,38,0,1,0,156,39,37,51.3
9,Davinson Sánchez,co  COL,DF,24.0,18,17,1486.0,16.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.07,0.0,0.07,0.07,0.07,co  COL,DF,24.0,16.5,0,6,0,0.0,0.36,0.0,0.0,,9.3,0,0,0,1.1,1.1,0.18,-1.1,-1.1,co  COL,DF,24.0,16.5,849,977,86.9,18273,4714,228,250,91.2,468,505,92.7,146,204,71.6,0,0.0,0.0,0,20,1,0,29,co  COL,DF,24.0,16.5,977,953,24,22,0,73,17,0,0,0,0,0,791,60,126,112,799,38,2,5,849,0,10,11,11,co  COL,DF,24.0,16.5,5,0.3,3,1,0,1,0,0,1,0.06,1,0,0,0,0,0,co  COL,DF,24.0,16.5,40,25,31,9,0,19,30,63.3,11,155,49,31.6,104,44,7,19,12,0,7,14,54,123,0,co  COL,DF,24.0,16.5,1176,190,699,521,14,6,1153,0,0,,0,0,747,3501,1598,36,3,0,2,4,808,796,98.5,2,co  COL,DF,24.0,16.5,1,0,0,22,9,0,0,14,25,0,3,1,153,50,30,62.5
