,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType.value,cardType.displayName,venue,opponent
0,2382463995.0,2,0,0.0,65,0.0,0.0,0,[],[],False,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,RCDE Stadium,Espanyol
1,2382463991.0,2,0,0.0,70,0.0,0.0,0,[],[],False,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,RCDE Stadium,Espanyol
2,2382464007.0,3,0,0.0,70,50.0,50.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,318505.0,42.4,52.1,,,,,,,,,,,RCDE Stadium,Espanyol
3,2382464011.0,4,0,1.0,70,42.4,52.1,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.5'}]","[91, 117, 30, 36, 38, 216, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,332866.0,48.5,51.5,,,,,,,,,,,RCDE Stadium,Espanyol
4,2382464021.0,5,0,2.0,70,48.5,51.8,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '49.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.4'}]","[91, 117, 30, 36, 38, 216, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,318505.0,49.4,29.2,,,,,,,,,,,RCDE Stadium,Espanyol
5,2382464027.0,6,0,4.0,70,52.7,28.0,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 120, 29, 36, 38, 217, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,0,Unsuccessful,362423.0,74.9,16.8,,,,,,,,,,,RCDE Stadium,Espanyol
6,2382464025.0,3,0,6.0,65,27.9,83.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 56]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,8,Interception,1,Successful,44288.0,,,,,,,,,,,,,RCDE Stadium,Espanyol
7,2382464031.0,4,0,7.0,65,27.7,83.0,0,[],[93],False,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,49,BallRecovery,1,Successful,44288.0,,,,,,,,,,,,,RCDE Stadium,Espanyol
8,2382464093.0,5,0,7.0,65,28.6,83.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.7'}]","[91, 117, 30, 35, 38, 215, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,44288.0,22.4,65.7,,,,,,,,,,,RCDE Stadium,Espanyol
9,2382464113.0,6,0,17.0,65,33.5,61.1,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 216, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,12712.0,34.8,83.0,,,,,,,,,,,RCDE Stadium,Espanyol
10,2382464125.0,7,0,19.0,65,35.0,88.4,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '40.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.2'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.2'}]","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,1,Pass,1,Successful,44288.0,73.2,82.9,,,,,,,,,,,RCDE Stadium,Espanyol
11,2382464129.0,8,0,21.0,65,69.3,82.7,0,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[197, 199]",False,1560043,2022-02-13T00:00:00,2022-02-13T20:00:00,2 : 2,2 : 2,1 : 1,,RCDE Stadium,96,1,FirstHalf,44,Aerial,1,Successful,422937.0,,,,,,,,,,,,,RCDE Stadium,Espanyol
