,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
30,Joel Robles,es  ESP,GK,Betis,28,1990,5,5,450,5.0,5,1.00,21,17,81.0,2,1,2,1,20.0,1,1,0,0,0.0
31,Gerónimo Rulli,ar  ARG,GK,Real Sociedad,26,1992,27,27,2430,27.0,35,1.30,108,77,69.4,10,9,8,7,25.9,3,2,1,0,33.3
32,Roberto Santamaría,es  ESP,GK,Huesca,33,1985,20,20,1800,20.0,30,1.50,89,64,73.0,5,7,8,6,30.0,6,6,0,0,0.0
33,Unai Simón,es  ESP,GK,Athletic Club,21,1997,7,7,630,7.0,13,1.86,31,20,64.5,1,4,2,0,0.0,2,2,0,0,0.0
34,Antonio Sivera,es  ESP,GK,Alavés,21,1996,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,0,0.0,0,0,0,0,
35,David Soria,es  ESP,GK,Getafe,25,1993,37,37,3330,37.0,34,0.92,127,100,76.4,14,14,9,13,35.1,7,4,2,1,33.3
36,Juan Soriano,es  ESP,GK,Sevilla,20,1997,4,4,359,4.0,2,0.50,11,10,90.9,4,0,0,3,75.0,1,1,0,0,0.0
37,Marc-André ter Stegen,de  GER,GK,Barcelona,26,1992,35,35,3150,35.0,32,0.91,116,86,73.3,25,8,2,16,45.7,1,1,0,0,0.0
38,Tomáš Vaclík,cz  CZE,GK,Sevilla,29,1989,33,33,2970,33.0,44,1.33,134,95,70.1,13,8,12,8,24.2,5,4,1,0,20.0
39,Koke Vegas,es  ESP,GK,Levante,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
40,Axel Werner,ar  ARG,GK,Huesca,22,1996,6,6,540,6.0,16,2.67,35,21,57.1,1,1,4,0,0.0,1,1,0,0,0.0
41,Yoel,es  ESP,GK,Valladolid,29,1988,3,3,270,3.0,6,2.00,11,6,54.5,0,2,1,0,0.0,1,1,0,0,0.0
42,Luca Zidane,fr  FRA,GK,Real Madrid,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
