,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antonio Adán,es  ESP,GK,Atlético Madrid,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1,Aday,es  ESP,"DF,MF",Girona,30,1987,7.2,13,7,5,7,1,9,17,52.9,8,87,21,24.1,33,37,17,9,1,0,8,8,21,10,0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,37,1981,10.5,5,3,2,3,0,0,5,0.0,5,121,27,22.3,7,63,51,4,1,0,3,1,6,4,0
3,Luis Advíncula,pe  PER,DF,Rayo Vallecano,28,1990,26.5,54,34,38,11,5,16,38,42.1,22,371,116,31.3,199,134,38,41,3,0,38,16,70,50,1
4,Martin Agirregabiria,es  ESP,DF,Alavés,22,1996,22.6,46,28,30,12,4,28,52,53.8,24,222,52,23.4,129,63,30,40,8,1,32,28,74,85,0
5,Juan Aguilera,es  ESP,MF,Huesca,32,1985,3.8,2,2,0,1,1,1,12,8.3,11,41,8,19.5,8,27,6,7,3,0,4,2,4,3,0
6,Carlos Akapo,gq  EQG,DF,Huesca,25,1993,11.4,33,17,22,9,2,14,29,48.3,15,171,44,25.7,99,50,22,16,2,0,14,17,50,38,0
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,20,1997,2.0,4,3,4,0,0,1,1,100.0,0,14,7,50.0,9,3,2,2,0,0,2,1,5,8,0
8,Jordi Alba,es  ESP,DF,Barcelona,29,1989,33.2,45,33,23,15,7,18,53,34.0,35,450,154,34.2,174,190,86,74,7,0,67,41,86,75,0
9,Pedro Alcalá,es  ESP,DF,Girona,29,1989,20.8,31,20,23,8,0,15,25,60.0,10,167,46,27.5,105,59,3,25,16,1,9,29,60,178,1
10,Rubén Alcaraz,es  ESP,MF,Valladolid,27,1991,33.1,98,66,56,37,5,38,119,31.9,81,706,194,27.5,299,371,36,60,9,0,51,34,132,62,1
11,Álex Alegría,es  ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,1,1,0,1,0,1,5,20.0,4,33,10,30.3,4,19,10,2,0,0,2,0,1,0,0
12,Iván Alejo,es  ESP,"MF,FW",Getafe,23,1995,1.6,1,0,0,1,0,0,6,0.0,6,54,9,16.7,8,36,10,1,0,0,1,0,1,1,0
13,Carles Aleñá,es  ESP,MF,Barcelona,20,1998,7.1,6,3,1,5,0,1,8,12.5,7,181,42,23.2,20,112,49,5,0,0,5,4,10,4,0
14,Alexander,ar  ARG,DF,Leganés,29,1988,0.1,1,1,1,0,0,1,2,50.0,1,1,0,0.0,1,0,0,1,0,0,1,0,1,0,0
15,Júnior Alonso,py  PAR,"DF,MF",Celta Vigo,25,1993,6.0,11,6,6,4,1,3,15,20.0,12,62,18,29.0,32,23,7,16,2,0,14,3,14,17,0
16,Yeray Álvarez,es  ESP,DF,Athletic Club,23,1995,29.0,54,35,40,13,1,18,45,40.0,27,201,77,38.3,129,64,8,44,14,0,30,49,103,217,1
17,Ibrahim Amadou,fr  FRA,"MF,DF",Sevilla,25,1993,8.5,27,20,11,13,3,5,13,38.5,8,135,43,31.9,52,69,14,8,3,0,5,7,34,26,0
18,Jordi Amat,es  ESP,DF,Rayo Vallecano,26,1992,30.7,45,28,29,16,0,20,46,43.5,26,265,98,37.0,173,88,4,56,12,0,44,30,75,146,0
19,Amath,sn  SEN,"MF,FW",Getafe,22,1996,11.1,17,10,5,11,1,5,27,18.5,22,287,61,21.3,70,144,73,20,0,0,20,11,28,6,0
20,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,34,1984,11.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
21,José Ángel,es  ESP,DF,Eibar,28,1989,33.6,73,44,39,26,8,29,60,48.3,31,396,140,35.4,193,155,48,57,6,1,51,40,113,132,0
22,Antoñito,es  ESP,"DF,MF",Valladolid,30,1987,20.7,37,13,18,13,6,18,51,35.3,33,299,58,19.4,137,118,44,38,7,1,31,11,48,31,0
23,Vitorino Antunes,pt  POR,DF,Getafe,31,1987,24.2,43,26,25,16,2,27,50,54.0,23,348,100,28.7,179,118,51,61,9,0,52,25,68,70,1
24,Anuar,ma  MAR,MF,Valladolid,23,1995,12.0,30,19,16,13,1,10,17,58.8,7,276,67,24.3,95,160,21,23,1,0,22,7,37,29,2
25,Emmanuel Apeh,ng  NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,0,0,0,1,0.0,1,5,1,20.0,0,3,2,0,0,0,0,0,0,0,0
26,Mauro Arambarri,uy  URU,MF,Getafe,22,1995,29.7,76,54,19,48,9,23,78,29.5,55,858,200,23.3,195,539,124,55,4,0,51,25,101,33,0
