,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Antonio Adán,es  ESP,GK,Atlético Madrid,31,1987,1.0,28,27,28,0,0,0,17,0,0,,0,0,11,85,51,0,0,0,0,0,9,9,100.0,0
1,Aday,es  ESP,"DF,MF",Girona,30,1987,7.2,386,19,94,196,138,7,321,11,15,73.3,11,0,258,1892,1057,52,22,4,4,5,267,236,88.4,20
2,Aritz Aduriz,es  ESP,FW,Athletic Club,37,1981,10.5,326,3,19,161,158,44,314,7,12,58.3,7,1,183,613,222,14,7,1,28,7,477,262,54.9,92
3,Luis Advíncula,pe  PER,DF,Rayo Vallecano,28,1990,26.5,1470,82,453,704,415,31,1257,41,66,62.1,45,1,987,4455,2438,92,30,5,32,32,1007,867,86.1,68
4,Martin Agirregabiria,es  ESP,DF,Alavés,22,1996,22.6,1208,88,392,634,253,8,997,28,39,71.8,29,1,642,3211,2053,80,27,4,18,14,635,570,89.8,27
5,Juan Aguilera,es  ESP,MF,Huesca,32,1985,3.8,212,4,28,154,42,4,208,1,2,50.0,2,0,156,739,405,16,7,1,2,2,167,150,89.8,4
6,Carlos Akapo,gq  EQG,DF,Huesca,25,1993,11.4,574,43,193,290,139,15,485,13,18,72.2,13,0,319,2142,1296,62,25,6,9,8,298,268,89.9,20
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,20,1997,2.0,112,6,35,60,26,0,102,3,4,75.0,3,0,79,461,272,11,4,0,2,2,78,69,88.5,2
8,Jordi Alba,es  ESP,DF,Barcelona,29,1989,33.2,2990,97,712,1348,1057,104,2675,20,29,69.0,20,1,2102,7762,4507,228,57,23,28,18,2307,2108,91.4,162
9,Pedro Alcalá,es  ESP,DF,Girona,29,1989,20.8,1125,191,702,443,39,20,1080,4,6,66.7,5,0,618,3249,1713,35,5,0,6,4,636,612,96.2,15
10,Rubén Alcaraz,es  ESP,MF,Valladolid,27,1991,33.1,2164,91,579,1399,334,21,2069,24,41,58.5,27,1,1520,7443,3451,121,38,1,30,33,1408,1330,94.5,39
11,Álex Alegría,es  ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,110,52,4,1,2,6,2,80,45,56.3,17
12,Iván Alejo,es  ESP,"MF,FW",Getafe,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,282,130,8,4,0,6,8,64,48,75.0,10
13,Carles Aleñá,es  ESP,MF,Barcelona,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,2779,1450,72,28,3,13,9,626,580,92.7,38
14,Alexander,ar  ARG,DF,Leganés,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,0,0,0,0,0,4,4,100.0,1
15,Júnior Alonso,py  PAR,"DF,MF",Celta Vigo,25,1993,6.0,375,22,108,215,63,8,344,2,6,33.3,2,0,226,742,390,21,7,0,4,2,251,230,91.6,11
16,Yeray Álvarez,es  ESP,DF,Athletic Club,23,1995,29.0,1623,177,803,883,56,19,1566,4,6,66.7,5,0,930,5510,3250,85,15,0,7,12,925,910,98.4,12
17,Ibrahim Amadou,fr  FRA,"MF,DF",Sevilla,25,1993,8.5,450,31,157,265,54,6,444,7,10,70.0,8,0,283,1259,598,21,8,0,4,3,306,279,91.2,12
18,Jordi Amat,es  ESP,DF,Rayo Vallecano,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,5998,3454,74,19,0,9,9,959,927,96.7,12
19,Amath,sn  SEN,"MF,FW",Getafe,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,1501,941,43,13,11,32,27,393,237,60.3,78
20,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,34,1984,11.0,393,336,389,5,0,0,291,1,1,100.0,1,0,211,778,505,0,0,0,1,0,188,187,99.5,0
21,José Ángel,es  ESP,DF,Eibar,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,7767,3827,174,79,5,20,17,1289,1235,95.8,29
22,Antoñito,es  ESP,"DF,MF",Valladolid,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,47
23,Vitorino Antunes,pt  POR,DF,Getafe,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,46
24,Anuar,ma  MAR,MF,Valladolid,23,1995,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23
25,Emmanuel Apeh,ng  NGA,MF,Celta Vigo,21,1996,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5
26,Mauro Arambarri,uy  URU,MF,Getafe,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,41
27,Guilherme Arana,br  BRA,"MF,DF",Sevilla,21,1997,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9
28,Néstor Araujo,mx  MEX,DF,Celta Vigo,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75.0,4,0,1117,4779,2347,48,4,0,1,5,1180,1161,98.4,14
29,Anaitz Arbilla,es  ESP,DF,Eibar,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15
30,Santiago Arias,co  COL,DF,Atlético Madrid,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,46
31,José Arnaiz,es  ESP,"DF,MF",Leganés,23,1995,1.3,52,1,10,22,26,6,51,4,8,50.0,6,0,44,223,97,7,2,2,4,3,45,36,80.0,10
32,Sergio Asenjo,es  ESP,GK,Villarreal,29,1989,32.0,929,841,923,6,0,0,600,0,0,,0,0,336,1983,1089,0,0,0,0,0,246,246,100.0,0
33,Marco Asensio,es  ESP,FW,Real Madrid,22,1996,19.8,1233,7,104,578,675,106,1182,36,56,64.3,38,4,1076,6974,3686,189,59,23,34,27,1214,994,81.9,183
34,Iago Aspas,es  ESP,FW,Celta Vigo,30,1987,25.0,1142,5,86,569,570,123,1086,35,53,66.0,37,1,888,4402,2277,119,44,17,41,38,1280,900,70.3,254
35,Ezequiel Ávila,ar  ARG,"FW,MF",Huesca,24,1994,22.2,918,31,114,431,445,108,888,31,60,51.7,32,2,581,3134,1681,93,36,13,60,29,975,636,65.2,196
36,Abdoulaye Ba,sn  SEN,DF,Rayo Vallecano,27,1991,23.4,1341,226,872,498,25,11,1303,3,6,50.0,4,0,761,3686,1552,17,1,0,7,1,753,731,97.1,9
37,Carlos Bacca,co  COL,FW,Villarreal,31,1986,14.1,404,7,34,175,228,76,387,10,21,47.6,12,1,285,1181,679,43,18,13,31,25,545,298,54.7,124
38,Gareth Bale,wal  WAL,FW,Real Madrid,29,1989,19.8,1007,15,99,483,506,107,972,23,34,67.6,24,3,746,4147,2107,130,36,24,26,32,1108,830,74.9,191
39,Mikel Balenziaga,es  ESP,DF,Athletic Club,30,1988,5.8,277,28,94,138,51,0,232,4,5,80.0,5,0,150,631,303,7,3,0,1,1,160,140,87.5,4
40,Éver Banega,ar  ARG,MF,Sevilla,30,1988,29.6,2533,57,599,1576,535,20,2315,62,96,64.6,65,4,1902,8935,4850,174,55,3,25,57,1866,1770,94.9,63
41,Léo Baptistão,br  BRA,"FW,MF",Espanyol,25,1992,13.7,581,22,101,246,278,55,566,22,34,64.7,26,4,430,2319,1408,63,17,10,32,21,593,388,65.4,119
42,Enis Bardhi,mk  MKD,MF,Levante,23,1995,31.5,1588,63,321,826,582,40,1480,47,75,62.7,51,0,1156,5807,3282,166,53,4,49,55,1201,1015,84.5,153
43,Antonio Barragán,es  ESP,"DF,MF",Betis,31,1987,10.4,743,34,194,313,279,17,660,2,7,28.6,3,1,492,2017,949,49,17,6,11,7,573,515,89.9,39
44,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,16,2001,4.4,177,7,27,73,96,15,177,21,28,75.0,21,2,153,913,440,27,8,2,12,9,172,118,68.6,37
45,Marc Bartra,es  ESP,DF,Betis,27,1991,32.5,2644,271,1262,1476,131,19,2585,15,26,57.7,16,0,1902,10486,6613,177,37,1,16,16,1939,1892,97.6,9
