,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Antonio Adán,es  ESP,GK,Atlético Madrid,31,1987,1,90,90,2.6,1.0,1,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.09
1,Aday,es  ESP,"DF,MF",Girona,30,1987,10,645,65,18.9,7.2,8,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,7.1,9.9,-2.7,-0.38,-0.08
2,Aritz Aduriz,es  ESP,FW,Athletic Club,37,1981,20,943,47,27.6,10.5,10,80,4,10,14,3,1.15,6,13,-7,-0.67,-0.78,10.6,13.3,-2.7,-0.26,-0.22
3,Luis Advíncula,pe  PER,DF,Rayo Vallecano,28,1990,28,2389,85,69.9,26.5,27,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,30.1,40.1,-10.1,-0.38,-0.06
4,Martin Agirregabiria,es  ESP,DF,Alavés,22,1996,27,2032,75,59.4,22.6,23,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,23.9,31.4,-7.5,-0.33,+0.07
5,Juan Aguilera,es  ESP,MF,Huesca,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.5,5.2,-1.7,-0.44,-0.17
6,Carlos Akapo,gq  EQG,DF,Huesca,25,1993,13,1023,79,29.9,11.4,12,84,10,1,21,5,0.62,9,16,-7,-0.62,-0.05,11.6,16.0,-4.4,-0.39,-0.13
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,20,1997,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.28,1.6,2.4,-0.8,-0.40,-0.05
8,Paul Akouokou,ci  CIV,MF,Betis,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
9,Jordi Alba,es  ESP,DF,Barcelona,29,1989,36,2991,83,87.5,33.2,32,90,32,4,27,0,2.39,86,30,+56,+1.69,+2.10,67.6,34.2,+33.4,+1.01,+1.03
10,Pedro Alcalá,es  ESP,DF,Girona,29,1989,25,1868,75,54.6,20.8,20,88,18,5,23,10,1.16,21,32,-11,-0.53,-0.24,19.0,26.0,-7.0,-0.34,-0.05
11,Rubén Alcaraz,es  ESP,MF,Valladolid,27,1991,34,2976,88,87.0,33.1,34,88,31,0,,1,1.18,29,43,-14,-0.42,+0.59,34.0,43.2,-9.2,-0.28,+0.38
