,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Antonio Adán,es  ESP,GK,Atlético Madrid,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Aday,es  ESP,"DF,MF",Girona,30,1987,7.2,25,3.49,14,5,3,2,1,0,2,0.28,2,0,0,0,0,0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,37,1981,10.5,15,1.43,13,0,0,1,1,0,1,0.10,1,0,0,0,0,0
3,Luis Advíncula,pe  PER,DF,Rayo Vallecano,28,1990,26.5,41,1.54,28,3,2,1,7,0,7,0.26,4,0,0,0,3,0
4,Martin Agirregabiria,es  ESP,DF,Alavés,22,1996,22.6,22,0.97,20,0,1,0,0,1,1,0.04,1,0,0,0,0,0
5,Juan Aguilera,es  ESP,MF,Huesca,32,1985,3.8,5,1.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Carlos Akapo,gq  EQG,DF,Huesca,25,1993,11.4,16,1.41,10,1,3,1,1,0,2,0.18,1,0,0,0,1,0
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,20,1997,2.0,2,1.00,1,1,0,0,0,0,1,0.50,1,0,0,0,0,0
8,Jordi Alba,es  ESP,DF,Barcelona,29,1989,33.2,81,2.44,73,1,2,0,4,1,15,0.45,14,0,0,0,1,0
9,Pedro Alcalá,es  ESP,DF,Girona,29,1989,20.8,12,0.58,10,0,0,2,0,0,2,0.10,2,0,0,0,0,0
10,Rubén Alcaraz,es  ESP,MF,Valladolid,27,1991,33.1,56,1.69,34,6,5,2,8,1,4,0.12,2,0,1,0,1,0
11,Álex Alegría,es  ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,5,3.21,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0
12,Iván Alejo,es  ESP,"MF,FW",Getafe,23,1995,1.6,2,1.23,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
13,Carles Aleñá,es  ESP,MF,Barcelona,20,1998,7.1,24,3.39,22,0,0,1,1,0,5,0.71,4,0,0,1,0,0
14,Alexander,ar  ARG,DF,Leganés,29,1988,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Júnior Alonso,py  PAR,"DF,MF",Celta Vigo,25,1993,6.0,5,0.84,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Yeray Álvarez,es  ESP,DF,Athletic Club,23,1995,29.0,5,0.17,2,1,0,1,0,1,0,0.00,0,0,0,0,0,0
17,Ibrahim Amadou,fr  FRA,"MF,DF",Sevilla,25,1993,8.5,8,0.94,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Jordi Amat,es  ESP,DF,Rayo Vallecano,26,1992,30.7,15,0.49,11,1,0,1,1,1,0,0.00,0,0,0,0,0,0
19,Amath,sn  SEN,"MF,FW",Getafe,22,1996,11.1,25,2.25,19,0,1,2,2,1,2,0.18,1,0,0,1,0,0
20,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,34,1984,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,José Ángel,es  ESP,DF,Eibar,28,1989,33.6,87,2.59,52,26,3,2,2,2,6,0.18,5,1,0,0,0,0
22,Antoñito,es  ESP,"DF,MF",Valladolid,30,1987,20.7,44,2.13,35,2,4,0,2,1,2,0.10,1,0,1,0,0,0
23,Vitorino Antunes,pt  POR,DF,Getafe,31,1987,24.2,58,2.39,31,17,3,3,1,3,5,0.21,5,0,0,0,0,0
24,Anuar,ma  MAR,MF,Valladolid,23,1995,12.0,6,0.50,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
25,Emmanuel Apeh,ng  NGA,MF,Celta Vigo,21,1996,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Mauro Arambarri,uy  URU,MF,Getafe,22,1995,29.7,32,1.08,22,1,2,0,7,0,3,0.10,1,1,0,0,1,0
27,Guilherme Arana,br  BRA,"MF,DF",Sevilla,21,1997,7.0,5,0.72,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Néstor Araujo,mx  MEX,DF,Celta Vigo,26,1991,29.8,14,0.47,12,0,0,1,0,1,0,0.00,0,0,0,0,0,0
29,Anaitz Arbilla,es  ESP,DF,Eibar,31,1987,21.7,14,0.65,12,0,0,1,1,0,3,0.14,3,0,0,0,0,0
30,Santiago Arias,co  COL,DF,Atlético Madrid,26,1992,19.7,32,1.63,28,1,1,0,2,0,3,0.15,3,0,0,0,0,0
31,José Arnaiz,es  ESP,"DF,MF",Leganés,23,1995,1.3,2,1.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
