,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antonio Adán,es  ESP,GK,Atlético Madrid,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
1,Aday,es  ESP,"DF,MF",Girona,30,1987,7.2,2,0,0,6,8,0,41,8,7,0,0,0,38,0,4,0.0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,37,1981,10.5,5,0,0,28,8,12,9,1,3,0,1,0,25,38,44,46.3
3,Luis Advíncula,pe  PER,DF,Rayo Vallecano,28,1990,26.5,6,2,2,48,46,0,49,16,34,2,0,0,217,19,22,46.3
4,Martin Agirregabiria,es  ESP,DF,Alavés,22,1996,22.6,4,0,0,24,28,0,30,28,28,0,0,0,208,19,23,45.2
5,Juan Aguilera,es  ESP,MF,Huesca,32,1985,3.8,1,0,0,3,6,0,2,2,2,0,1,0,37,2,4,33.3
6,Carlos Akapo,gq  EQG,DF,Huesca,25,1993,11.4,2,0,0,16,13,0,8,17,17,0,0,0,98,15,11,57.7
7,Sergio Akieme,es  ESP,DF,Rayo Vallecano,20,1997,2.0,0,0,0,2,2,0,6,1,3,0,0,1,14,0,3,0.0
8,Jordi Alba,es  ESP,DF,Barcelona,29,1989,33.2,6,0,0,25,19,9,85,41,33,1,0,0,298,11,20,35.5
9,Pedro Alcalá,es  ESP,DF,Girona,29,1989,20.8,9,0,0,21,13,2,3,29,20,0,0,0,194,63,37,63.0
10,Rubén Alcaraz,es  ESP,MF,Valladolid,27,1991,33.1,13,0,0,69,109,1,19,34,66,0,0,0,445,35,55,38.9
11,Álex Alegría,es  ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,0,0,0,7,4,3,1,0,1,0,0,0,8,5,3,62.5
12,Iván Alejo,es  ESP,"MF,FW",Getafe,23,1995,1.6,2,1,0,10,7,0,2,0,0,0,0,0,11,2,2,50.0
13,Carles Aleñá,es  ESP,MF,Barcelona,20,1998,7.1,2,0,0,9,14,1,1,4,3,0,0,0,48,4,2,66.7
14,Alexander,ar  ARG,DF,Leganés,29,1988,0.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,
15,Júnior Alonso,py  PAR,"DF,MF",Celta Vigo,25,1993,6.0,2,0,0,6,2,1,13,3,6,0,0,0,54,13,5,72.2
16,Yeray Álvarez,es  ESP,DF,Athletic Club,23,1995,29.0,10,0,0,31,24,0,3,49,35,0,0,0,266,73,54,57.5
17,Ibrahim Amadou,fr  FRA,"MF,DF",Sevilla,25,1993,8.5,2,0,0,12,10,1,2,7,20,0,0,0,89,18,19,48.6
18,Jordi Amat,es  ESP,DF,Rayo Vallecano,26,1992,30.7,9,0,0,47,9,1,1,30,28,0,2,0,287,34,25,57.6
19,Amath,sn  SEN,"MF,FW",Getafe,22,1996,11.1,4,0,0,27,21,3,18,11,10,0,0,0,84,9,11,45.0
20,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,34,1984,11.0,1,0,0,0,1,0,0,0,0,0,0,0,50,0,0,
21,José Ángel,es  ESP,DF,Eibar,28,1989,33.6,10,0,0,22,17,1,142,40,44,0,1,0,430,38,24,61.3
22,Antoñito,es  ESP,"DF,MF",Valladolid,30,1987,20.7,5,0,0,29,12,5,65,11,13,0,0,0,145,10,14,41.7
23,Vitorino Antunes,pt  POR,DF,Getafe,31,1987,24.2,5,0,0,37,20,1,83,25,26,0,0,0,246,14,30,31.8
24,Anuar,ma  MAR,MF,Valladolid,23,1995,12.0,6,0,0,29,15,4,4,7,19,0,0,0,126,22,28,44.0
25,Emmanuel Apeh,ng  NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
26,Mauro Arambarri,uy  URU,MF,Getafe,22,1995,29.7,8,0,0,65,57,1,18,25,54,0,1,1,351,38,43,46.9
27,Guilherme Arana,br  BRA,"MF,DF",Sevilla,21,1997,7.0,3,0,0,5,8,0,10,3,5,0,0,0,50,2,1,66.7
28,Néstor Araujo,mx  MEX,DF,Celta Vigo,26,1991,29.8,3,1,1,15,4,1,3,23,24,0,1,0,259,59,29,67.0
29,Anaitz Arbilla,es  ESP,DF,Eibar,31,1987,21.7,6,1,1,14,5,0,7,28,18,0,0,0,318,40,27,59.7
30,Santiago Arias,co  COL,DF,Atlético Madrid,26,1992,19.7,4,0,0,21,32,2,43,25,34,0,0,0,206,35,28,55.6
31,José Arnaiz,es  ESP,"DF,MF",Leganés,23,1995,1.3,0,0,0,1,4,0,1,1,1,0,0,0,10,3,2,60.0
32,Sergio Asenjo,es  ESP,GK,Villarreal,29,1989,32.0,0,0,0,0,3,0,0,0,0,0,0,0,115,0,0,
