,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
0,2014-09-13,Sat,La Liga,Matchweek 3,Home,W 2–0,Barcelona,Athletic Club,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,2014-09-17,Wed,Champions Lg,Group stage,Home,W 1–0,es  Barcelona,cy  APOEL FC,Y,,90,1,0,,100.0,1,0,0,0,0,Match Report
2,2014-09-21,Sun,La Liga,Matchweek 4,Away,W 5–0,Barcelona,Levante,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
3,2014-09-24,Wed,La Liga,Matchweek 5,Away,D 0–0,Barcelona,Málaga,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2014-09-27,Sat,La Liga,Matchweek 6,Home,W 6–0,Barcelona,Granada,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2014-09-30,Tue,Champions Lg,Group stage,Away,L 2–3,es  Barcelona,fr  Paris S-G,Y,,90,5,3,,40.0,0,0,0,0,0,Match Report
6,2014-10-04,Sat,La Liga,Matchweek 7,Away,W 2–0,Barcelona,Rayo Vallecano,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
7,2014-10-18,Sat,La Liga,Matchweek 8,Home,W 3–0,Barcelona,Eibar,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2014-10-21,Tue,Champions Lg,Group stage,Home,W 3–1,es  Barcelona,nl  Ajax,Y,,90,1,1,,0.0,0,0,0,0,0,Match Report
9,2014-10-25,Sat,La Liga,Matchweek 9,Away,L 1–3,Barcelona,Real Madrid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2014-11-01,Sat,La Liga,Matchweek 10,Home,L 0–1,Barcelona,Celta Vigo,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
11,2014-11-05,Wed,Champions Lg,Group stage,Away,W 2–0,es  Barcelona,nl  Ajax,Y,,90,1,0,,100.0,1,0,0,0,0,Match Report
12,2014-11-08,Sat,La Liga,Matchweek 11,Away,W 2–1,Barcelona,Almería,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
13,2014-11-22,Sat,La Liga,Matchweek 12,Home,W 5–1,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
14,2014-11-25,Tue,Champions Lg,Group stage,Away,W 4–0,es  Barcelona,cy  APOEL FC,Y,,90,1,0,,100.0,1,0,0,0,0,Match Report
15,2014-11-30,Sun,La Liga,Matchweek 13,Away,W 1–0,Barcelona,Valencia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
16,2014-12-03,Wed,Copa del Rey,Round of 32,Away,W 4–0,Barcelona,Huesca,Y,,90,,0,,,1,0,0,0,0,Match Report
17,2014-12-07,Sun,La Liga,Matchweek 14,Home,W 5–1,Barcelona,Espanyol,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
18,2014-12-10,Wed,Champions Lg,Group stage,Home,W 3–1,es  Barcelona,fr  Paris S-G,Y,,90,3,1,,66.7,0,0,0,0,0,Match Report
19,2014-12-13,Sat,La Liga,Matchweek 15,Away,D 0–0,Barcelona,Getafe,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
