,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2020-11-04,Wed,Champions Lg,Group stage,Home,W 2–1,es  Barcelona,ua  Dynamo Kyiv,Y,GK,90,7,1,6,85.7,0,2.1,0,0,0,0,1,1,100.0,18,5,0.0,21.1,6,16.7,23.7,7,0,0.0,0,10.5,Match Report
1,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 5–2,Barcelona,Betis,Y,GK,90,6,2,4,66.7,0,2.3,0,0,0,0,5,7,71.4,32,5,12.5,26.0,6,50.0,41.3,4,1,25.0,1,15.2,Match Report
2,2020-11-21,Sat,La Liga,Matchweek 10,Away,L 0–1,Barcelona,Atlético Madrid,Y,GK,90,2,1,1,50.0,0,0.6,0,0,0,0,4,5,80.0,17,4,23.5,27.1,5,20.0,32.6,6,0,0.0,2,39.3,Match Report
3,2020-11-24,Tue,Champions Lg,Group stage,Away,W 4–0,es  Barcelona,ua  Dynamo Kyiv,Y*,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,2,4,50.0,24,4,8.3,25.2,6,33.3,29.2,7,0,0.0,0,15.0,Match Report
4,2020-11-29,Sun,La Liga,Matchweek 11,Home,W 4–0,Barcelona,Osasuna,Y,GK,90,5,0,5,100.0,1,0.8,0,0,0,0,7,9,77.8,36,7,19.4,26.3,6,33.3,35.8,12,1,8.3,1,19.7,Match Report
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-12-05,Sat,La Liga,Matchweek 12,Away,L 1–2,Barcelona,Cádiz,Y,GK,90,3,2,1,33.3,0,2.1,0,0,0,0,3,4,75.0,17,8,17.6,22.9,4,25.0,33.0,4,0,0.0,2,20.7,Match Report
7,2020-12-08,Tue,Champions Lg,Group stage,Home,L 0–3,es  Barcelona,it  Juventus,Y,GK,90,2,3,1,50.0,0,2.2,2,2,0,0,7,12,58.3,26,2,42.3,34.1,5,20.0,25.0,6,0,0.0,0,6.0,Match Report
8,2020-12-13,Sun,La Liga,Matchweek 13,Home,W 1–0,Barcelona,Levante,Y,GK,90,3,0,3,100.0,1,0.5,0,0,0,0,8,8,100.0,23,6,26.1,29.4,6,33.3,33.8,5,0,0.0,0,6.5,Match Report
9,2020-12-16,Wed,La Liga,Matchweek 19,Home,W 2–1,Barcelona,Real Sociedad,Y,GK,90,5,1,4,80.0,0,1.7,0,0,0,0,13,23,56.5,33,1,57.6,43.5,4,100.0,66.8,2,0,0.0,1,21.5,Match Report
