,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Match Report
0,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,RM,76,27.0,27.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,9.0,18.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,1.0,Match Report
1,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,N,RM,45,16.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,4.0,11.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,Match Report
2,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,RM,69,27.0,24.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,20.0,1.0,6.0,6.0,21.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,2.0,Match Report
3,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,Y,RM,76,31.0,31.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,6.0,23.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,Match Report
4,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,N,FW,15,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Match Report
5,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,Y,RM,56,20.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,4.0,4.0,14.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,Match Report
6,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,RM,90,35.0,35.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,7.0,9.0,6.0,25.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,Match Report
7,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,85,39.0,39.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,3.0,9.0,12.0,26.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,Match Report
8,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,68,32.0,32.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,1.0,5.0,11.0,20.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,2.0,Match Report
9,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,N,"FW,RW",36,28.0,28.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,2.0,6.0,21.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,Match Report
