,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Away,W 1–0,fr  France,se  Sweden,Y,AM,90,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Home,W 4–2,fr  France,hr  Croatia,Y,AM,76,,1,,,,,,,,,,,,,,,,,,1,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 4–0,Barcelona,Villarreal,Y,RW,77,0,0,0,0,0,0,3,0.0,3,13,2,15.4,3,5,5,0,0,0,0,0,0,1,0,Match Report
3,2020-10-01,Thu,La Liga,Matchweek 4,Away,W 3–0,Barcelona,Celta Vigo,Y,RW,44,1,1,1,0,0,0,0,,0,9,4,44.4,2,2,5,1,0,0,1,0,1,0,0,Match Report
4,2020-10-04,Sun,La Liga,Matchweek 5,Home,D 1–1,Barcelona,Sevilla,Y,RW,60,1,1,0,1,0,0,0,,0,5,1,20.0,0,4,1,0,0,0,0,0,1,0,0,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,W 7–1,fr  France,ua  Ukraine,N,,32,,,,,,,,,,,,,,,,,,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Home,D 0–0,fr  France,pt  Portugal,Y,FW,90,,0,,,,,,,,,,,,,,,,,,1,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Away,W 2–1,fr  France,hr  Croatia,Y,AM,82,,2,,,,,,,,,,,,,,,,,,1,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,L 0–1,Barcelona,Getafe,Y,FW,79,0,0,0,0,0,0,0,,0,6,2,33.3,1,5,0,1,0,0,1,0,0,1,0,Match Report
9,2020-10-20,Tue,Champions Lg,Group stage,Home,W 5–1,es  Barcelona,hu  Ferencváros,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2020-10-24,Sat,La Liga,Matchweek 7,Home,L 1–3,Barcelona,Real Madrid,N,"FW,CM",10,0,0,0,0,0,0,0,,0,3,1,33.3,1,0,2,0,0,0,0,0,0,0,0,Match Report
11,2020-10-28,Wed,Champions Lg,Group stage,Away,W 2–0,es  Barcelona,it  Juventus,Y,FW,88,2,1,2,0,0,0,1,0.0,1,16,4,25.0,1,11,4,0,0,0,0,0,2,0,0,Match Report
12,2020-10-31,Sat,La Liga,Matchweek 8,Away,D 1–1,Barcelona,Alavés,Y,FW,90,4,4,2,2,0,1,2,50.0,1,12,6,50.0,2,6,4,0,0,0,0,0,4,3,0,Match Report
13,2020-11-04,Wed,Champions Lg,Group stage,Home,W 2–1,es  Barcelona,ua  Dynamo Kyiv,Y,FW,59,0,0,0,0,0,0,0,,0,3,0,0.0,0,0,3,1,0,0,1,1,1,0,0,Match Report
14,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 5–2,Barcelona,Betis,Y,FW,77,1,0,0,0,1,0,2,0.0,2,9,3,33.3,0,4,5,0,0,0,0,0,1,0,0,Match Report
15,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,L 0–2,fr  France,fi  Finland,N,,34,,,,,,,,,,,,,,,,,,,,,,,,Match Report
16,2020-11-14,Sat,UEFA Nations League,League A,Away,W 1–0,fr  France,pt  Portugal,Y,FW,90,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
