,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ederson,br  BRA,GK,27-263,33,33,2970.0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,br  BRA,GK,27-263,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,br  BRA,GK,27-263,33.0,829,986,84.1,22475,12702,112,116,96.6,468,472,99.2,242,390,62.1,1,0.4,0.6,1,7,2,0,1,br  BRA,GK,27-263,33.0,986,791,195,53,1,71,28,0,0,0,0,0,701,44,241,703,136,2,0,136,829,1,15,6,2,br  BRA,GK,27-263,33.0,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,br  BRA,GK,27-263,33.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,1,br  BRA,GK,27-263,33.0,1037,901,1033,4,0,0,843,0,0,,0,0,625,3038,1843,0,0,0,1,0,623,619,99.4,0,br  BRA,GK,27-263,33.0,3,0,0,1,4,0,0,0,0,0,0,0,112,0,0,
1,Rúben Dias,pt  POR,DF,23-358,29,29,2573.0,28.6,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,2.2,2.2,0.1,2.3,0.08,0.0,0.08,0.08,0.08,pt  POR,DF,23-358,28.6,1,12,6,50.0,0.42,0.21,0.08,0.17,6.7,0,0,0,2.2,2.2,0.19,-1.2,-1.2,pt  POR,DF,23-358,28.6,2310,2463,93.8,50402,13305,570,600,95.0,1315,1357,96.9,412,481,85.7,0,0.1,-0.1,3,161,9,1,107,pt  POR,DF,23-358,28.6,2463,2420,43,40,1,179,55,2,0,0,0,0,2103,137,223,387,1958,76,3,5,2310,6,18,19,8,pt  POR,DF,23-358,28.6,20,0.7,18,0,0,1,1,0,2,0.07,1,0,0,1,0,0,0,pt  POR,DF,23-358,28.6,27,19,14,11,2,4,16,25.0,12,153,57,37.3,74,62,17,40,21,0,19,21,48,102,0,pt  POR,DF,23-358,28.6,2680,254,1066,1771,64,24,2642,3,6,50.0,3,0,1984,12620,7732,219,15,0,7,4,2214,2180,98.5,10,pt  POR,DF,23-358,28.6,3,0,0,19,17,1,2,21,19,0,1,1,254,52,27,65.8
2,Rodri,es  ESP,MF,24-319,30,28,2443.0,27.1,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.07,0.04,0.11,0.04,0.07,2.3,1.5,1.5,3.1,0.08,0.06,0.14,0.06,0.11,es  ESP,MF,24-319,27.1,2,28,7,25.0,1.03,0.26,0.04,0.14,19.6,0,1,1,2.3,1.5,0.06,-0.3,-0.5,es  ESP,MF,24-319,27.1,2232,2445,91.3,45144,9462,834,886,94.1,983,1056,93.1,390,455,85.7,1,1.5,-0.5,22,222,16,1,149,es  ESP,MF,24-319,27.1,2445,2413,32,32,3,373,89,11,0,0,0,0,1899,197,349,392,1909,77,0,9,2232,0,15,30,19,es  ESP,MF,24-319,27.1,64,2.36,51,0,5,3,1,4,5,0.18,4,0,0,0,0,1,0,es  ESP,MF,24-319,27.1,74,55,30,32,12,30,67,44.8,37,435,159,36.6,138,234,63,37,9,0,28,36,110,58,1,es  ESP,MF,24-319,27.1,2701,98,554,1788,502,49,2677,24,30,80.0,24,1,1914,8889,4500,180,44,10,15,18,2122,2067,97.4,35,es  ESP,MF,24-319,27.1,4,0,0,39,28,3,11,36,55,0,0,0,383,85,25,77.3
3,Raheem Sterling,eng  ENG,FW,26-150,28,25,2266.0,25.2,9.0,6.0,9.0,0.0,1.0,2.0,0.0,0.36,0.24,0.6,0.36,0.6,10.9,10.2,4.0,14.1,0.43,0.16,0.59,0.4,0.56,eng  ENG,FW,26-150,25.2,9,62,25,40.3,2.46,0.99,0.15,0.36,14.3,3,0,1,10.9,10.2,0.17,-1.9,-1.2,eng  ENG,FW,26-150,25.2,823,973,84.6,10912,2087,544,602,90.4,223,248,89.9,22,41,53.7,6,4.0,2.0,32,31,28,5,55,eng  ENG,FW,26-150,25.2,973,955,18,4,3,206,9,29,3,1,0,0,847,65,61,88,851,18,8,5,823,1,8,26,44,eng  ENG,FW,26-150,25.2,86,3.42,56,0,13,8,9,0,13,0.52,7,0,3,2,1,0,0,eng  ENG,FW,26-150,25.2,20,18,4,13,3,6,19,31.6,13,253,74,29.2,30,118,105,15,1,0,14,13,33,2,0,eng  ENG,FW,26-150,25.2,1290,4,69,519,789,213,1270,62,113,54.9,64,2,1111,5354,3325,212,48,55,51,74,1484,1093,73.7,240,eng  ENG,FW,26-150,25.2,2,0,0,31,38,8,29,13,18,2,0,0,109,5,23,17.9
4,João Cancelo,pt  POR,DF,26-345,25,24,2127.0,23.6,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.04,0.13,0.17,0.04,0.17,1.9,1.9,4.6,6.4,0.08,0.19,0.27,0.08,0.27,pt  POR,DF,26-345,23.6,1,31,9,29.0,1.31,0.38,0.03,0.11,21.3,0,0,0,1.9,1.9,0.06,-0.9,-0.9,pt  POR,DF,26-345,23.6,1654,1935,85.5,29332,8365,791,859,92.1,663,759,87.4,178,258,69.0,3,4.6,-1.6,42,129,66,9,157,pt  POR,DF,26-345,23.6,1935,1716,219,38,9,193,36,64,1,0,0,0,1328,306,301,211,1470,45,180,7,1654,7,22,37,38,pt  POR,DF,26-345,23.6,65,2.75,54,4,7,0,0,0,7,0.3,6,1,0,0,0,0,0,pt  POR,DF,26-345,23.6,72,39,39,25,8,39,81,48.1,42,303,107,35.3,125,116,62,32,3,0,29,48,120,32,1,pt  POR,DF,26-345,23.6,2211,73,448,1141,759,74,2000,48,81,59.3,51,7,1484,7034,3996,204,65,18,21,30,1616,1543,95.5,88,pt  POR,DF,26-345,23.6,4,0,0,33,15,2,64,48,39,0,0,0,250,34,26,56.7
5,Kevin De Bruyne,be  BEL,MF,29-313,24,22,1907.0,21.2,5.0,11.0,3.0,2.0,3.0,1.0,0.0,0.24,0.52,0.76,0.14,0.66,9.6,7.3,9.1,16.4,0.45,0.43,0.88,0.35,0.78,be  BEL,MF,29-313,21.2,5,77,23,29.9,3.63,1.09,0.04,0.13,20.2,10,2,3,9.6,7.3,0.1,-4.6,-4.3,be  BEL,MF,29-313,21.2,1017,1343,75.7,20006,5764,431,511,84.3,400,492,81.3,163,263,62.0,11,9.1,1.9,72,118,74,9,159,be  BEL,MF,29-313,21.2,1343,1211,132,41,19,149,61,62,82,24,29,9,980,136,227,149,1150,27,6,4,1017,9,28,45,68,be  BEL,MF,29-313,21.2,131,6.18,88,21,6,4,5,7,18,0.85,14,0,2,0,1,1,0,be  BEL,MF,29-313,21.2,37,31,8,19,10,10,48,20.8,38,355,119,33.5,42,160,153,25,2,0,23,16,53,7,0,be  BEL,MF,29-313,21.2,1605,13,125,724,889,106,1471,35,61,57.4,39,2,1125,6191,3958,200,76,30,32,32,1399,1219,87.1,178,be  BEL,MF,29-313,21.2,1,0,0,24,31,1,62,16,31,2,0,0,150,7,13,35.0
6,Bernardo Silva,pt  POR,"MF,FW",26-270,24,22,1899.0,21.1,2.0,6.0,2.0,0.0,0.0,4.0,0.0,0.09,0.28,0.38,0.09,0.38,2.8,2.8,3.6,6.4,0.13,0.17,0.3,0.13,0.3,pt  POR,"MF,FW",26-270,21.1,2,28,13,46.4,1.33,0.62,0.07,0.15,14.7,0,0,0,2.8,2.8,0.1,-0.8,-0.8,pt  POR,"MF,FW",26-270,21.1,1186,1324,89.6,20138,3199,587,625,93.9,461,503,91.7,110,142,77.5,6,3.6,2.4,30,74,28,0,64,pt  POR,"MF,FW",26-270,21.1,1324,1261,63,13,1,185,23,25,22,2,5,2,1048,141,135,1184,85,25,21,3,1186,5,11,13,26,pt  POR,"MF,FW",26-270,21.1,75,3.55,59,2,5,4,3,2,9,0.43,8,0,0,1,0,0,0,pt  POR,"MF,FW",26-270,21.1,31,20,12,13,6,11,45,24.4,34,348,104,29.9,63,167,118,19,1,0,18,19,50,8,0,pt  POR,"MF,FW",26-270,21.1,1502,15,196,760,698,100,1444,39,55,70.9,40,1,1169,8039,4657,256,89,32,23,25,1391,1214,87.3,108,pt  POR,"MF,FW",26-270,21.1,4,0,0,16,18,3,25,19,20,0,0,0,130,8,27,22.9
7,İlkay Gündoğan,de  GER,MF,30-195,25,21,1864.0,20.7,12.0,1.0,11.0,1.0,2.0,1.0,0.0,0.58,0.05,0.63,0.53,0.58,8.5,6.9,3.9,10.9,0.41,0.19,0.6,0.34,0.53,de  GER,MF,30-195,20.7,12,45,19,42.2,2.17,0.92,0.24,0.58,16.3,3,1,2,8.5,6.9,0.15,3.5,4.1,de  GER,MF,30-195,20.7,1396,1538,90.8,23316,4384,713,757,94.2,543,585,92.8,116,153,75.8,1,3.9,-2.9,36,124,31,0,113,de  GER,MF,30-195,20.7,1538,1495,43,24,4,177,26,15,15,2,4,1,1292,129,117,452,1047,24,2,5,1396,5,11,24,15,de  GER,MF,30-195,20.7,74,3.57,54,3,8,5,2,2,9,0.43,3,0,3,1,1,1,0,de  GER,MF,30-195,20.7,21,15,8,8,5,7,34,20.6,27,193,54,28.0,42,96,55,13,3,0,10,18,39,13,0,de  GER,MF,30-195,20.7,1714,23,213,1009,627,80,1671,26,38,68.4,29,1,1228,6291,3291,157,59,13,19,11,1569,1425,90.8,104,de  GER,MF,30-195,20.7,1,0,0,7,21,1,15,18,15,1,0,0,155,13,14,48.1
8,Riyad Mahrez,dz  ALG,FW,30-075,25,21,1795.0,19.9,9.0,4.0,9.0,0.0,0.0,0.0,0.0,0.45,0.2,0.65,0.45,0.65,5.4,5.4,5.5,10.9,0.27,0.28,0.55,0.27,0.55,dz  ALG,FW,30-075,19.9,9,54,21,38.9,2.71,1.05,0.17,0.43,16.3,2,0,0,5.4,5.4,0.1,3.6,3.6,dz  ALG,FW,30-075,19.9,861,1026,83.9,14051,2931,462,504,91.7,320,369,86.7,63,105,60.0,4,5.5,-1.5,38,31,52,6,87,dz  ALG,FW,30-075,19.9,1026,964,62,9,8,150,25,57,39,19,0,2,787,99,140,922,66,12,10,1,861,1,13,13,28,dz  ALG,FW,30-075,19.9,77,3.86,55,6,5,7,1,3,12,0.6,7,1,2,1,0,1,0,dz  ALG,FW,30-075,19.9,20,15,3,9,8,8,32,25.0,24,226,54,23.9,22,97,107,22,0,0,22,5,25,3,0,dz  ALG,FW,30-075,19.9,1257,5,56,445,846,151,1197,36,73,49.3,39,0,989,5226,2903,194,41,47,31,33,1219,1020,83.7,171,dz  ALG,FW,30-075,19.9,0,0,0,12,25,7,57,5,15,0,0,0,112,15,16,48.4
9,Kyle Walker,eng  ENG,DF,30-344,22,20,1766.0,19.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.1,0.05,0.1,0.2,0.2,0.5,0.8,0.01,0.03,0.04,0.01,0.04,eng  ENG,DF,30-344,19.6,1,10,3,30.0,0.51,0.15,0.1,0.33,28.4,0,0,0,0.2,0.2,0.02,0.8,0.8,eng  ENG,DF,30-344,19.6,1515,1705,88.9,30165,7992,555,600,92.5,749,807,92.8,199,261,76.2,1,0.5,0.5,7,168,10,2,91,eng  ENG,DF,30-344,19.6,1705,1536,169,16,0,141,45,23,0,0,0,0,1294,221,190,32,1464,33,153,5,1515,4,22,25,38,eng  ENG,DF,30-344,19.6,26,1.33,21,4,0,0,1,0,5,0.25,4,1,0,0,0,0,0,eng  ENG,DF,30-344,19.6,35,26,17,14,4,18,32,56.3,14,214,68,31.8,76,103,35,27,5,0,22,14,49,32,0,eng  ENG,DF,30-344,19.6,1854,43,394,1190,417,17,1688,29,45,64.4,32,1,1337,6830,3465,165,54,6,7,19,1452,1401,96.5,35,eng  ENG,DF,30-344,19.6,1,0,0,25,11,1,23,14,26,0,2,0,172,26,14,65.0
