,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Home,W 4–1,pt  Portugal,hr  Croatia,Y,FW,86.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Away,W 2–0,pt  Portugal,se  Sweden,Y,FW,90.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,FW,70.0,35.0,34.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,4.0,3.0,31.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,Match Report
3,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,Y,FW,90.0,49.0,47.0,2.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,1.0,46.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,Match Report
4,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,FW,75.0,31.0,30.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,5.0,4.0,2.0,28.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,1.0,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,D 0–0,pt  Portugal,es  Spain,N,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,pt  Portugal,fr  France,Y,FW,88.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Home,W 3–0,pt  Portugal,se  Sweden,Y,FW,74.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,N,FW,41.0,15.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,Match Report
9,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,Y,FW,90.0,34.0,33.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,27.0,1.0,6.0,2.0,30.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,2.0,Match Report
