,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Jesús Navas,es  ESP,DF,35-167,31,31,2557.0,28.4,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.21,0.21,0.0,0.21,1.0,1.0,4.6,5.6,0.03,0.16,0.2,0.03,0.2,es  ESP,DF,35-167,28.4,0,15,2,13.3,0.53,0.07,0.0,0.0,18.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0,es  ESP,DF,35-167,28.4,1510,1907,79.2,27992,8762,675,743,90.8,609,736,82.7,202,346,58.4,6,4.6,1.4,58,78,78,37,139,es  ESP,DF,35-167,28.4,1907,1611,296,25,1,190,55,123,2,0,0,0,1050,411,446,124,1435,62,269,4,1510,9,34,32,75,es  ESP,DF,35-167,28.4,90,3.17,84,2,3,1,0,0,9,0.32,8,0,1,0,0,0,0,es  ESP,DF,35-167,28.4,28,16,15,13,0,15,28,53.6,13,183,57,31.1,68,77,38,39,4,0,35,23,51,74,1,es  ESP,DF,35-167,28.4,2138,90,590,879,798,50,1845,18,26,69.2,19,0,1336,6622,4168,228,68,14,19,13,1535,1410,91.9,99,es  ESP,DF,35-167,28.4,4,0,0,10,17,2,123,23,16,0,0,0,239,28,18,60.9
1,Yassine Bounou,ma  MAR,GK,30-032,30,30,2700.0,30.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,0.3,0.3,0.0,0.4,0.01,0.0,0.01,0.01,0.01,ma  MAR,GK,30-032,30.0,1,1,1,100.0,0.03,0.03,1.0,1.0,8.0,0,0,0,0.3,0.3,0.34,0.7,0.7,ma  MAR,GK,30-032,30.0,786,1006,78.1,23798,11849,107,107,100.0,373,375,99.5,304,521,58.3,0,0.0,0.0,1,4,0,0,1,ma  MAR,GK,30-032,30.0,1006,766,240,62,0,77,47,0,0,0,0,0,571,37,398,640,183,0,0,127,786,1,30,5,4,ma  MAR,GK,30-032,30.0,4,0.13,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,ma  MAR,GK,30-032,30.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,2,0,ma  MAR,GK,30-032,30.0,1073,970,1068,4,1,1,835,1,1,100.0,1,0,575,2308,816,0,0,0,0,1,559,556,99.5,0,ma  MAR,GK,30-032,30.0,3,0,0,0,4,0,0,0,0,0,0,1,131,0,0,
2,Jules Koundé,fr  FRA,DF,22-176,30,29,2615.0,29.1,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.07,0.03,0.1,0.07,0.1,2.0,2.0,0.6,2.6,0.07,0.02,0.09,0.07,0.09,fr  FRA,DF,22-176,29.1,2,20,5,25.0,0.69,0.17,0.1,0.4,10.9,0,0,0,2.0,2.0,0.1,0.0,0.0,fr  FRA,DF,22-176,29.1,1867,2072,90.1,37211,12735,626,669,93.6,984,1029,95.6,242,341,71.0,1,0.6,0.4,7,144,11,1,133,fr  FRA,DF,22-176,29.1,2072,2027,45,35,1,210,53,13,0,0,0,0,1684,164,224,232,1710,61,10,2,1867,4,18,17,25,fr  FRA,DF,22-176,29.1,27,0.93,25,0,1,1,0,0,3,0.1,3,0,0,0,0,0,0,fr  FRA,DF,22-176,29.1,27,21,13,13,1,9,20,45.0,11,215,98,45.6,107,86,22,39,17,1,22,35,62,124,1,fr  FRA,DF,22-176,29.1,2365,298,1117,1203,208,51,2328,28,37,75.7,30,1,1673,8681,4911,150,40,5,17,12,1824,1775,97.3,22,fr  FRA,DF,22-176,29.1,4,0,0,19,22,3,13,35,21,0,2,0,276,107,64,62.6
3,Diego Carlos,br  BRA,DF,28-053,30,29,2557.0,28.4,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.04,0.0,0.04,0.04,0.04,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,br  BRA,DF,28-053,28.4,1,13,5,38.5,0.46,0.18,0.08,0.2,10.1,0,0,0,0.9,0.9,0.07,0.1,0.1,br  BRA,DF,28-053,28.4,1607,1772,90.7,37572,10702,385,403,95.5,843,878,96.0,367,471,77.9,0,0.6,-0.6,6,60,1,0,47,br  BRA,DF,28-053,28.4,1772,1726,46,41,1,139,93,3,0,0,0,0,1422,82,268,243,1459,40,2,6,1607,5,30,13,5,br  BRA,DF,28-053,28.4,14,0.49,12,0,0,2,0,0,1,0.04,0,0,0,1,0,0,0,br  BRA,DF,28-053,28.4,25,20,19,6,0,10,19,52.6,9,185,66,35.7,104,72,9,45,26,1,19,25,50,128,1,br  BRA,DF,28-053,28.4,2003,331,1138,886,41,21,1960,10,10,100.0,10,0,1412,5121,2096,26,3,0,4,1,1514,1494,98.7,4,br  BRA,DF,28-053,28.4,9,0,0,45,19,0,3,25,20,0,2,1,228,60,43,58.3
4,Lucas Ocampos,ar  ARG,FW,26-300,30,27,2395.0,26.6,5.0,4.0,1.0,4.0,5.0,3.0,0.0,0.19,0.15,0.34,0.04,0.19,9.7,5.9,3.6,9.5,0.37,0.13,0.5,0.22,0.36,ar  ARG,FW,26-300,26.6,5,59,14,23.7,2.22,0.53,0.02,0.07,16.3,0,4,5,9.7,5.9,0.1,-4.7,-4.9,ar  ARG,FW,26-300,26.6,690,903,76.4,11138,2893,364,431,84.5,246,309,79.6,55,93,59.1,4,3.6,0.4,29,36,25,8,62,ar  ARG,FW,26-300,26.6,903,849,54,8,4,183,27,45,0,0,0,0,614,156,133,74,711,40,46,6,690,2,20,28,48,ar  ARG,FW,26-300,26.6,75,2.82,46,1,11,5,10,2,9,0.34,5,0,1,1,1,1,0,ar  ARG,FW,26-300,26.6,44,27,19,15,10,16,45,35.6,29,396,133,33.6,84,180,132,41,1,0,40,23,67,30,0,ar  ARG,FW,26-300,26.6,1301,37,154,568,660,138,1248,67,108,62.0,69,4,940,5216,3218,189,48,33,48,52,1344,950,70.7,196,ar  ARG,FW,26-300,26.6,3,0,0,33,75,5,45,23,27,1,0,0,136,35,35,50.0
5,Fernando,br  BRA,MF,33-286,28,26,2334.0,25.9,2.0,3.0,2.0,0.0,0.0,6.0,0.0,0.08,0.12,0.19,0.08,0.19,0.5,0.5,2.7,3.2,0.02,0.1,0.12,0.02,0.12,br  BRA,MF,33-286,25.9,2,4,3,75.0,0.15,0.12,0.5,0.67,16.2,0,0,0,0.5,0.5,0.14,1.5,1.5,br  BRA,MF,33-286,25.9,1270,1405,90.4,25209,6076,447,483,92.5,632,678,93.2,178,218,81.7,3,2.7,0.3,16,80,8,0,85,br  BRA,MF,33-286,25.9,1405,1359,46,35,1,160,47,1,0,0,0,0,1088,150,167,151,1121,79,9,6,1270,3,17,10,8,br  BRA,MF,33-286,25.9,31,1.2,29,1,0,0,0,1,8,0.31,8,0,0,0,0,0,0,br  BRA,MF,33-286,25.9,66,51,32,28,6,28,53,52.8,25,339,123,36.3,143,155,41,43,8,0,35,38,104,74,0,br  BRA,MF,33-286,25.9,1639,133,566,977,167,16,1599,13,21,61.9,14,2,1054,4257,1941,44,11,1,11,19,1151,1087,94.4,22,br  BRA,MF,33-286,25.9,6,0,0,39,16,1,1,38,51,0,0,0,274,55,34,61.8
6,Joan Jordán,es  ESP,MF,26-305,32,25,2178.0,24.2,1.0,6.0,1.0,0.0,0.0,8.0,1.0,0.04,0.25,0.29,0.04,0.29,1.5,1.5,2.8,4.2,0.06,0.11,0.18,0.06,0.18,es  ESP,MF,26-305,24.2,1,23,4,17.4,0.95,0.17,0.04,0.25,22.7,5,0,0,1.5,1.5,0.06,-0.5,-0.5,es  ESP,MF,26-305,24.2,1618,1849,87.5,32675,7046,653,715,91.3,656,726,90.4,281,355,79.2,6,2.8,3.2,36,149,33,9,125,es  ESP,MF,26-305,24.2,1849,1733,116,73,4,283,111,28,30,3,9,1,1359,189,301,215,1549,55,11,5,1618,3,25,30,25,es  ESP,MF,26-305,24.2,67,2.77,52,11,2,1,0,1,8,0.33,7,1,0,0,0,0,0,es  ESP,MF,26-305,24.2,46,25,12,27,7,18,72,25.0,54,435,120,27.6,99,266,70,25,1,0,24,17,63,32,1,es  ESP,MF,26-305,24.2,2056,53,437,1222,489,35,1947,33,39,84.6,34,1,1400,5741,2791,120,31,5,25,24,1698,1577,92.9,81,es  ESP,MF,26-305,24.2,8,1,1,49,39,0,28,17,25,0,0,0,229,17,20,45.9
7,Marcos Acuña,ar  ARG,DF,29-191,27,24,2118.0,23.5,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.08,0.13,0.04,0.13,1.0,1.0,2.7,3.7,0.04,0.12,0.16,0.04,0.16,ar  ARG,DF,29-191,23.5,1,14,3,21.4,0.59,0.13,0.07,0.33,20.7,0,0,0,1.0,1.0,0.07,0.0,0.0,ar  ARG,DF,29-191,23.5,1289,1606,80.3,25605,10395,499,551,90.6,594,678,87.6,183,335,54.6,2,2.7,-0.7,32,103,34,18,114,ar  ARG,DF,29-191,23.5,1606,1355,251,42,2,161,62,73,18,1,14,0,942,268,396,1173,192,36,191,2,1289,3,29,34,42,ar  ARG,DF,29-191,23.5,55,2.34,39,10,3,2,0,1,4,0.17,2,1,0,1,0,0,0,ar  ARG,DF,29-191,23.5,67,44,38,20,9,22,37,59.5,15,313,107,34.2,138,120,55,36,3,0,33,23,90,33,0,ar  ARG,DF,29-191,23.5,1843,68,647,848,453,27,1605,34,52,65.4,36,5,1183,5419,3469,121,32,7,29,32,1305,1226,93.9,54,ar  ARG,DF,29-191,23.5,4,0,0,41,32,1,73,23,44,0,2,0,202,18,30,37.5
8,Suso,es  ESP,FW,27-169,30,24,1904.0,21.2,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.14,0.19,0.33,0.14,0.33,1.8,1.8,3.5,5.3,0.09,0.16,0.25,0.09,0.25,es  ESP,FW,27-169,21.2,3,40,14,35.0,1.89,0.66,0.08,0.21,22.8,2,0,0,1.8,1.8,0.05,1.2,1.2,es  ESP,FW,27-169,21.2,856,1057,81.0,16191,4155,403,446,90.4,331,391,84.7,111,183,60.7,4,3.5,0.5,35,84,46,15,100,es  ESP,FW,27-169,21.2,1057,997,60,20,1,159,68,69,25,9,1,3,732,117,208,927,100,15,12,0,856,3,30,30,36,es  ESP,FW,27-169,21.2,84,3.97,65,4,10,1,3,1,12,0.57,10,1,0,1,0,0,0,es  ESP,FW,27-169,21.2,14,9,4,5,5,7,23,30.4,16,191,60,31.4,37,87,67,18,0,0,18,9,23,4,0,es  ESP,FW,27-169,21.2,1264,9,129,538,684,58,1207,43,57,75.4,45,2,1034,5116,2657,163,41,19,42,41,1212,1035,85.4,155,es  ESP,FW,27-169,21.2,1,0,0,20,33,5,69,9,9,0,0,0,108,3,12,20.0
9,Ivan Rakitić,hr  CRO,MF,33-058,33,23,2036.0,22.6,3.0,1.0,2.0,1.0,1.0,5.0,0.0,0.13,0.04,0.18,0.09,0.13,4.4,3.6,1.0,4.6,0.19,0.04,0.24,0.16,0.2,hr  CRO,MF,33-058,22.6,3,35,7,20.0,1.55,0.31,0.06,0.29,18.7,2,1,1,4.4,3.6,0.1,-1.4,-1.6,hr  CRO,MF,33-058,22.6,1361,1558,87.4,26640,6364,582,624,93.3,548,609,90.0,204,279,73.1,1,1.0,0.0,16,142,11,1,110,hr  CRO,MF,33-058,22.6,1558,1476,82,58,2,182,91,14,8,1,5,1,1146,166,246,176,1277,59,12,11,1361,6,27,24,17,hr  CRO,MF,33-058,22.6,48,2.12,39,4,0,1,2,2,2,0.09,2,0,0,0,0,0,0,hr  CRO,MF,33-058,22.6,33,28,15,16,2,6,34,17.6,28,349,104,29.8,100,171,78,36,5,0,31,16,49,34,0,hr  CRO,MF,33-058,22.6,1801,57,385,1123,410,39,1723,14,29,48.3,15,1,1193,5145,2669,103,32,2,20,27,1513,1392,92.0,64,hr  CRO,MF,33-058,22.6,5,0,0,33,24,2,14,16,28,1,0,0,182,30,35,46.2
