,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels,Match Report
0,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,RM,76,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,,Match Report
1,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,N,RM,45,0,0,0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,,Match Report
2,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,RM,69,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,,Match Report
3,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,Y,RM,76,0,0,0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0,6.0,1.0,1.0,50.0,Match Report
4,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,N,FW,15,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,Match Report
5,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,Y,RM,56,0,0,0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,4.0,0.0,0.0,,Match Report
6,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,RM,90,0,0,0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0,9.0,3.0,0.0,100.0,Match Report
7,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,85,0,0,0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,12.0,0.0,2.0,0.0,Match Report
8,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,68,0,0,0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,,Match Report
9,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,N,"FW,RW",36,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,2.0,0.0,0.0,,Match Report
10,2020-11-21,Sat,La Liga,Matchweek 10,Home,W 1–0,Atlético Madrid,Barcelona,Y,FW,83,0,0,0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0,6.0,0.0,5.0,0.0,Match Report
11,2020-11-25,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,ru  Loko Moscow,Y,FW,90,0,0,0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0,8.0,0.0,0.0,,Match Report
12,2020-11-28,Sat,La Liga,Matchweek 11,Away,W 1–0,Atlético Madrid,Valencia,Y,FW,64,1,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,100.0,Match Report
13,2020-12-01,Tue,Champions Lg,Group stage,Home,D 1–1,es  Atlético Madrid,de  Bayern Munich,Y,FW,79,0,0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,3.0,0.0,2.0,0.0,Match Report
14,2020-12-05,Sat,La Liga,Matchweek 12,Home,W 2–0,Atlético Madrid,Valladolid,Y,FW,56,0,0,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,Match Report
15,2020-12-09,Wed,Champions Lg,Group stage,Away,W 2–0,es  Atlético Madrid,at  RB Salzburg,N,FW,27,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,Match Report
16,2020-12-12,Sat,La Liga,Matchweek 13,Away,L 0–2,Atlético Madrid,Real Madrid,N,"FW,LM",45,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,100.0,Match Report
17,2020-12-16,Wed,Copa del Rey,First round,Away,W 3–0,Atlético Madrid,CE Cardassar,Y,FW,83,0,0,0,,,,,,,,,0,,,,,Match Report
18,2020-12-19,Sat,La Liga,Matchweek 14,Home,W 3–1,Atlético Madrid,Elche,N,RM,25,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,Match Report
19,2020-12-22,Tue,La Liga,Matchweek 15,Away,W 2–0,Atlético Madrid,Real Sociedad,Y,RW,58,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1.0,2.0,33.3,Match Report
20,2020-12-30,Wed,La Liga,Matchweek 16,Home,W 1–0,Atlético Madrid,Getafe,N,FW,20,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,Match Report
