,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Thibaut Courtois,be  BEL,GK,28-361,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,be  BEL,GK,28-361,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,be  BEL,GK,28-361,34.0,958,1173,81.7,25614,13219,141,143,98.6,554,556,99.6,259,469,55.2,0,0.0,0.0,0,9,1,0,0,be  BEL,GK,28-361,34.0,1173,910,263,49,0,87,27,0,0,0,0,0,803,54,316,617,329,0,2,211,958,2,29,6,2,be  BEL,GK,28-361,34.0,4,0.12,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,be  BEL,GK,28-361,34.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,5,be  BEL,GK,28-361,34.0,1250,1126,1249,3,0,0,988,0,0,,0,0,706,3644,1533,0,0,0,0,0,668,662,99.1,0,be  BEL,GK,28-361,34.0,0,0,0,1,3,0,0,0,0,0,1,0,157,0,0,
1,Raphaël Varane,fr  FRA,DF,28-012,30,30,2625.0,29.2,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,2.1,2.1,0.1,2.2,0.07,0.0,0.08,0.07,0.08,fr  FRA,DF,28-012,29.2,2,17,4,23.5,0.58,0.14,0.12,0.5,8.9,0,0,0,2.1,2.1,0.13,-0.1,-0.1,fr  FRA,DF,28-012,29.2,1516,1668,90.9,34588,9584,351,380,92.4,830,871,95.3,328,395,83.0,0,0.1,-0.1,3,97,1,0,84,fr  FRA,DF,28-012,29.2,1668,1618,50,43,2,150,54,1,0,0,0,0,1312,139,217,663,896,59,7,5,1516,1,14,18,16,fr  FRA,DF,28-012,29.2,14,0.48,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,fr  FRA,DF,28-012,29.2,23,11,17,5,1,11,19,57.9,8,171,55,32.2,93,68,10,39,18,0,21,35,58,139,0,fr  FRA,DF,28-012,29.2,1927,280,1019,992,68,24,1881,7,10,70.0,8,0,1280,9029,4227,93,16,0,5,3,1414,1378,97.5,6,fr  FRA,DF,28-012,29.2,2,0,0,15,10,0,1,35,11,0,0,1,248,70,24,74.5
2,Karim Benzema,fr  FRA,FW,33-139,30,29,2548.0,28.3,21.0,8.0,20.0,1.0,1.0,2.0,0.0,0.74,0.28,1.02,0.71,0.99,16.7,16.0,5.8,21.8,0.59,0.21,0.8,0.56,0.77,fr  FRA,FW,33-139,28.3,21,110,46,41.8,3.89,1.62,0.18,0.43,14.8,6,1,1,16.7,16.0,0.15,4.3,4.0,fr  FRA,FW,33-139,28.3,911,1089,83.7,13154,2324,564,630,89.5,255,303,84.2,61,83,73.5,8,5.8,2.2,31,45,29,1,68,fr  FRA,FW,33-139,28.3,1089,1040,49,1,7,183,14,21,2,0,0,0,875,141,73,181,860,20,1,13,911,5,21,30,39,fr  FRA,FW,33-139,28.3,84,2.97,63,0,8,10,2,1,17,0.6,14,0,2,1,0,0,0,fr  FRA,FW,33-139,28.3,9,5,2,3,4,2,5,40.0,3,210,37,17.6,25,74,111,12,5,0,7,11,20,16,0,fr  FRA,FW,33-139,28.3,1366,23,106,599,744,208,1311,34,51,66.7,35,3,949,4809,2675,153,50,41,46,33,1657,1152,69.5,238,fr  FRA,FW,33-139,28.3,2,0,0,18,23,23,21,11,5,0,0,0,98,24,29,45.3
3,Casemiro,br  BRA,MF,29-073,30,28,2564.0,28.5,6.0,3.0,6.0,0.0,0.0,10.0,1.0,0.21,0.11,0.32,0.21,0.32,4.3,4.3,2.9,7.2,0.15,0.1,0.25,0.15,0.25,br  BRA,MF,29-073,28.5,6,39,9,23.1,1.37,0.32,0.15,0.67,17.7,0,0,0,4.3,4.3,0.11,1.7,1.7,br  BRA,MF,29-073,28.5,1421,1700,83.6,28620,7192,551,616,89.4,604,681,88.7,242,334,72.5,3,2.9,0.1,23,133,22,0,101,br  BRA,MF,29-073,28.5,1700,1654,46,42,2,252,78,10,0,0,0,0,1192,223,285,200,1344,85,3,14,1421,7,29,27,40,br  BRA,MF,29-073,28.5,48,1.68,40,1,0,2,3,2,6,0.21,5,0,0,1,0,0,0,br  BRA,MF,29-073,28.5,79,51,45,30,4,25,66,37.9,41,456,159,34.9,203,204,49,63,18,0,45,54,133,85,0,br  BRA,MF,29-073,28.5,2072,136,679,1176,324,45,2031,15,21,71.4,16,2,1202,5088,2699,88,30,3,17,21,1511,1382,91.5,59,br  BRA,MF,29-073,28.5,10,1,1,51,53,4,10,54,51,0,0,0,320,98,72,57.6
4,Luka Modrić,hr  CRO,MF,35-240,31,28,2398.0,26.6,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.11,0.11,0.23,0.11,0.23,2.3,2.3,3.4,5.7,0.09,0.13,0.21,0.09,0.21,hr  CRO,MF,35-240,26.6,3,37,11,29.7,1.39,0.41,0.08,0.27,21.5,1,0,0,2.3,2.3,0.06,0.7,0.7,hr  CRO,MF,35-240,26.6,1711,1973,86.7,32582,9086,794,873,91.0,621,695,89.4,271,344,78.8,3,3.4,-0.4,38,193,52,7,188,hr  CRO,MF,35-240,26.6,1973,1876,97,57,10,272,90,44,27,6,11,1,1470,228,275,224,1683,24,13,14,1711,6,28,41,40,hr  CRO,MF,35-240,26.6,79,2.96,67,4,6,0,0,2,6,0.23,5,0,1,0,0,0,0,hr  CRO,MF,35-240,26.6,37,25,19,16,2,16,40,40.0,24,315,92,29.2,89,161,65,28,3,0,25,46,83,11,0,hr  CRO,MF,35-240,26.6,2206,47,415,1269,685,57,2121,49,66,74.2,50,5,1695,8719,3981,202,56,9,31,29,1902,1776,93.4,117,hr  CRO,MF,35-240,26.6,3,0,0,27,28,1,44,46,25,0,0,0,200,20,19,51.3
5,Ferland Mendy,fr  FRA,DF,25-333,26,24,2208.0,24.5,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,0.6,0.6,1.7,2.3,0.02,0.07,0.09,0.02,0.09,fr  FRA,DF,25-333,24.5,1,12,2,16.7,0.49,0.08,0.08,0.5,19.0,0,0,0,0.6,0.6,0.05,0.4,0.4,fr  FRA,DF,25-333,24.5,1324,1475,89.8,21550,6077,718,756,95.0,476,523,91.0,109,148,73.6,0,1.7,-1.7,20,52,26,6,77,fr  FRA,DF,25-333,24.5,1475,1298,177,12,1,170,30,40,0,0,0,0,1114,230,131,903,373,26,165,3,1324,3,13,25,26,fr  FRA,DF,25-333,24.5,46,1.87,43,0,1,0,2,0,1,0.04,1,0,0,0,0,0,0,fr  FRA,DF,25-333,24.5,31,17,20,6,5,13,24,54.2,11,193,68,35.2,86,62,45,41,5,0,36,25,56,31,0,fr  FRA,DF,25-333,24.5,1719,75,498,775,593,53,1550,36,62,58.1,40,2,1267,7208,4411,196,58,22,21,32,1351,1236,91.5,68,fr  FRA,DF,25-333,24.5,3,0,0,22,39,5,40,25,17,0,0,0,170,10,20,33.3
6,Toni Kroos,de  GER,MF,31-123,27,23,2027.0,22.5,3.0,8.0,3.0,0.0,0.0,6.0,0.0,0.13,0.36,0.49,0.13,0.49,2.2,2.2,6.2,8.4,0.1,0.28,0.37,0.1,0.37,de  GER,MF,31-123,22.5,3,33,12,36.4,1.47,0.53,0.09,0.25,21.5,1,0,0,2.2,2.2,0.07,0.8,0.8,de  GER,MF,31-123,22.5,1842,2057,89.5,39234,11504,740,775,95.5,670,712,94.1,404,524,77.1,8,6.2,1.8,63,253,31,3,181,de  GER,MF,31-123,22.5,2057,1825,232,115,10,174,162,39,109,32,38,8,1502,177,378,310,1703,18,8,4,1842,10,26,22,23,de  GER,MF,31-123,22.5,101,4.48,49,44,0,2,3,3,11,0.49,5,4,0,0,0,2,0,de  GER,MF,31-123,22.5,38,24,15,21,2,7,48,14.6,41,415,107,25.8,117,231,67,31,6,0,25,22,60,11,2,de  GER,MF,31-123,22.5,2220,39,395,1351,591,29,2000,16,22,72.7,16,0,1559,7156,3764,187,45,8,13,10,1805,1741,96.5,34,de  GER,MF,31-123,22.5,6,0,0,25,31,1,39,22,24,0,0,0,145,16,8,66.7
7,Lucas Vázquez,es  ESP,"DF,FW",29-310,24,21,1848.0,20.5,2.0,5.0,2.0,0.0,0.0,3.0,0.0,0.1,0.24,0.34,0.1,0.34,2.2,2.2,4.3,6.5,0.11,0.21,0.32,0.11,0.32,es  ESP,"DF,FW",29-310,20.5,2,22,8,36.4,1.07,0.39,0.09,0.25,18.9,0,0,0,2.2,2.2,0.1,-0.2,-0.2,es  ESP,"DF,FW",29-310,20.5,1217,1431,85.0,21574,6470,602,657,91.6,457,515,88.7,136,200,68.0,5,4.3,0.7,44,81,49,21,97,es  ESP,"DF,FW",29-310,20.5,1431,1299,132,8,0,159,49,81,2,0,0,0,950,230,251,140,1125,30,122,8,1217,2,13,23,54,es  ESP,"DF,FW",29-310,20.5,73,3.56,65,0,3,0,4,1,10,0.49,9,0,0,0,1,0,0,es  ESP,"DF,FW",29-310,20.5,66,43,35,21,10,14,40,35.0,26,394,128,32.5,143,168,83,35,2,0,33,15,81,27,0,es  ESP,"DF,FW",29-310,20.5,1681,54,424,717,628,77,1553,29,44,65.9,29,0,1219,5567,3152,142,31,17,38,23,1434,1253,87.4,108,es  ESP,"DF,FW",29-310,20.5,3,0,0,31,31,3,81,15,43,0,0,0,134,10,16,38.5
8,Marco Asensio,es  ESP,"FW,MF",25-106,31,20,1728.0,19.2,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.21,0.1,0.31,0.21,0.31,4.6,4.6,3.0,7.7,0.24,0.16,0.4,0.24,0.4,es  ESP,"FW,MF",25-106,19.2,4,38,10,26.3,1.98,0.52,0.11,0.4,18.6,3,0,0,4.6,4.6,0.12,-0.6,-0.6,es  ESP,"FW,MF",25-106,19.2,747,930,80.3,12379,2861,409,451,90.7,237,280,84.6,83,145,57.2,2,3.0,-1.0,36,41,38,10,71,es  ESP,"FW,MF",25-106,19.2,930,872,58,10,4,144,38,68,30,8,6,3,691,108,131,789,97,13,18,7,747,3,16,21,43,es  ESP,"FW,MF",25-106,19.2,69,3.59,44,10,6,4,3,2,8,0.42,5,1,1,1,0,0,0,es  ESP,"FW,MF",25-106,19.2,13,10,7,6,0,4,24,16.7,20,188,44,23.4,46,91,51,20,0,0,20,14,27,9,0,es  ESP,"FW,MF",25-106,19.2,1103,18,116,498,579,68,1042,35,51,68.6,37,2,862,5327,2867,158,51,13,25,21,1066,868,81.4,126,es  ESP,"FW,MF",25-106,19.2,1,0,0,5,27,6,68,14,10,0,0,0,114,9,6,60.0
9,Nacho,es  ESP,DF,31-109,20,19,1707.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.03,0.01,0.05,0.03,0.05,es  ESP,DF,31-109,19.0,0,7,2,28.6,0.37,0.11,0.0,0.0,10.2,0,0,0,0.6,0.6,0.09,-0.6,-0.6,es  ESP,DF,31-109,19.0,933,1035,90.1,18069,6056,360,385,93.5,426,448,95.1,136,181,75.1,0,0.3,-0.3,2,51,4,1,49,es  ESP,DF,31-109,19.0,1035,972,63,28,0,102,26,10,0,0,0,0,797,124,114,192,758,35,35,3,933,2,14,9,15,es  ESP,DF,31-109,19.0,10,0.53,10,0,0,0,0,0,3,0.16,3,0,0,0,0,0,0,es  ESP,DF,31-109,19.0,32,18,15,13,4,11,33,33.3,22,227,79,34.8,102,104,21,28,10,3,18,28,60,69,0,es  ESP,DF,31-109,19.0,1199,118,509,620,153,24,1142,7,10,70.0,7,0,774,4142,2377,74,30,4,5,5,876,828,94.5,23,es  ESP,DF,31-109,19.0,6,0,0,35,22,2,10,28,18,0,1,0,138,31,27,53.4
