,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Match Report
44,2021-02-24,Wed,La Liga,Matchweek 1,Home,W 3–0,Barcelona,Elche,N,FW,15,8,8,0,0,0,1,0,1,0,0,0,0,6,1,1,5,3,0,0,0,7,0,0,0,0,Match Report
45,2021-02-27,Sat,La Liga,Matchweek 25,Away,W 2–0,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
46,2021-03-03,Wed,Copa del Rey,Semi-finals,Home,W 3–0,Barcelona,Sevilla,N,,58,,,,,,,,1,,,,,,,,,,,,,,,,,,Match Report
47,2021-03-06,Sat,La Liga,Matchweek 26,Away,W 2–0,Barcelona,Osasuna,Y,"FW,LW",66,33,33,0,0,0,1,0,0,0,0,0,0,26,5,2,26,4,0,0,2,30,0,0,0,1,Match Report
48,2021-03-10,Wed,Champions Lg,Round of 16,Away,D 1–1,es  Barcelona,fr  Paris S-G,Y,AM,90,65,64,1,1,0,8,2,2,0,0,0,0,48,8,9,52,13,0,0,0,53,0,1,3,3,Match Report
49,2021-03-15,Mon,La Liga,Matchweek 27,Home,W 4–1,Barcelona,Huesca,Y,AM,68,55,54,1,0,0,21,2,2,1,0,0,1,49,3,3,48,6,1,0,0,52,0,0,0,0,Match Report
50,2021-03-21,Sun,La Liga,Matchweek 28,Away,W 6–1,Barcelona,Real Sociedad,Y,AM,84,59,58,1,1,0,8,0,1,0,0,0,0,45,7,7,51,8,0,0,0,53,0,0,2,1,Match Report
51,2021-03-24,Wed,WCQ — UEFA (M),First round,Home,D 1–1,fr  France,ua  Ukraine,Y,FW,90,,,,,,,,9,,,,,,,,,,,,,,,,,,Match Report
52,2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 2–0,fr  France,kz  Kazakhstan,Y,AM,58,,,,,,,,1,,,,,,,,,,,,,,,,,,Match Report
53,2021-03-31,Wed,WCQ — UEFA (M),First round,Away,W 1–0,fr  France,ba  Bosnia and Herzegovina,Y,CM,90,,,,,,,,11,,,,,,,,,,,,,,,,,,Match Report
54,2021-04-05,Mon,La Liga,Matchweek 29,Home,W 1–0,Barcelona,Valladolid,Y,"AM,LM",62,52,51,1,0,1,11,0,2,0,0,0,0,46,3,3,47,3,1,1,0,47,0,0,2,1,Match Report
55,2021-04-10,Sat,La Liga,Matchweek 30,Away,L 1–2,Barcelona,Real Madrid,N,"FW,CM,WB",45,19,19,0,0,0,4,0,0,0,0,0,0,15,2,2,15,2,1,0,1,16,0,0,1,0,Match Report
56,2021-04-17,Sat,Copa del Rey,Final,Neutral,W 4–0,Barcelona,Athletic Club,Y,FW,87,,,,,,,,1,,,,,,,,,,,,,,,,,,Match Report
57,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 5–2,Barcelona,Getafe,Y,FW,90,33,32,1,0,0,7,0,0,0,0,0,0,28,4,1,26,5,1,0,0,30,0,0,0,1,Match Report
58,2021-04-25,Sun,La Liga,Matchweek 32,Away,W 2–1,Barcelona,Villarreal,Y,FW,79,21,21,0,0,0,0,0,0,0,0,0,0,15,5,1,20,1,0,0,0,17,0,0,0,1,Match Report
59,2021-04-29,Thu,La Liga,Matchweek 33,Home,L 1–2,Barcelona,Granada,Y,"FW,LM",90,66,64,2,0,1,17,1,1,2,0,1,0,53,10,3,51,14,1,0,0,58,0,0,3,0,Match Report
60,2021-05-02,Sun,La Liga,Matchweek 34,Away,W 3–2,Barcelona,Valencia,Y,FW,90,50,49,1,0,0,6,1,2,1,0,0,0,42,4,4,37,8,1,0,4,46,0,0,1,0,Match Report
61,,,,,,38-9-11,,,50/58,,4377,1429,1383,46,8,7,208,25,91,11,0,1,2,1169,148,112,1165,192,36,9,14,1253,2,4,26,32,
