,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Frenkie de Jong,nl  NED,"MF,DF",23-360,34,32,2901.0,32.2,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.09,0.12,0.22,0.09,0.22,5.2,5.2,4.7,10.0,0.16,0.15,0.31,0.16,0.31,nl  NED,"MF,DF",23-360,32.2,3,16,6,37.5,0.5,0.19,0.19,0.5,10.1,0,0,0,5.2,5.2,0.36,-2.2,-2.2,nl  NED,"MF,DF",23-360,32.2,2405,2624,91.7,40501,11237,1132,1220,92.8,1031,1089,94.7,185,220,84.1,4,4.7,-0.7,44,211,32,1,177,nl  NED,"MF,DF",23-360,32.2,2624,2584,40,24,8,334,33,19,0,0,0,0,2257,221,146,170,2340,57,15,10,2405,12,16,41,26,nl  NED,"MF,DF",23-360,32.2,78,2.42,69,1,1,2,5,0,7,0.22,6,0,0,1,0,0,0,nl  NED,"MF,DF",23-360,32.2,36,24,16,16,4,10,31,32.3,21,310,100,32.3,87,158,65,30,3,0,27,32,68,31,1,nl  NED,"MF,DF",23-360,32.2,2862,99,646,1749,723,89,2826,46,59,78.0,46,4,2209,13387,7525,302,91,11,18,36,2561,2377,92.8,127,nl  NED,"MF,DF",23-360,32.2,4,0,0,22,40,5,19,32,24,0,1,0,282,44,27,62.0
1,Jordi Alba,es  ESP,DF,32-047,31,31,2710.0,30.1,3.0,5.0,3.0,0.0,0.0,8.0,0.0,0.1,0.17,0.27,0.1,0.27,2.1,2.1,6.8,8.8,0.07,0.23,0.29,0.07,0.29,es  ESP,DF,32-047,30.1,3,24,11,45.8,0.8,0.37,0.13,0.27,20.1,1,0,0,2.1,2.1,0.09,0.9,0.9,es  ESP,DF,32-047,30.1,2249,2628,85.6,35525,11242,1248,1352,92.3,822,951,86.4,146,228,64.0,5,6.8,-1.8,45,116,71,18,183,es  ESP,DF,32-047,30.1,2628,2383,245,27,6,176,39,102,3,0,0,0,1956,425,247,2063,316,25,215,6,2249,5,22,47,87,es  ESP,DF,32-047,30.1,77,2.56,74,1,1,0,0,1,9,0.3,9,0,0,0,0,0,0,es  ESP,DF,32-047,30.1,40,22,20,13,7,23,56,41.1,33,299,87,29.1,106,133,60,58,4,0,54,38,78,38,0,es  ESP,DF,32-047,30.1,2871,84,610,1177,1226,117,2631,14,32,43.8,19,5,1956,7145,3722,160,42,16,21,12,2321,2161,93.1,180,es  ESP,DF,32-047,30.1,8,0,0,20,15,10,102,38,22,0,0,1,272,4,12,25.0
2,Lionel Messi,ar  ARG,"FW,MF",33-317,32,30,2753.0,30.6,28.0,9.0,25.0,3.0,5.0,4.0,0.0,0.92,0.29,1.21,0.82,1.11,22.0,17.8,10.0,27.8,0.72,0.33,1.04,0.58,0.91,ar  ARG,"FW,MF",33-317,30.6,28,173,80,46.2,5.66,2.62,0.14,0.31,18.9,37,3,5,22.0,17.8,0.11,6.0,7.2,ar  ARG,"FW,MF",33-317,30.6,1840,2236,82.3,29477,9582,1051,1170,89.8,597,697,85.7,156,276,56.5,9,10.0,-1.0,69,243,136,9,297,ar  ARG,"FW,MF",33-317,30.6,2236,2034,202,75,23,399,44,59,89,31,19,3,1759,210,267,1985,215,11,3,12,1840,19,23,67,66,ar  ARG,"FW,MF",33-317,30.6,216,7.06,129,15,35,9,26,2,37,1.21,23,1,8,3,2,0,0,ar  ARG,"FW,MF",33-317,30.6,19,13,2,12,5,5,18,27.8,13,253,82,32.4,8,111,134,11,1,0,10,6,25,0,0,ar  ARG,"FW,MF",33-317,30.6,2690,0,63,1286,1602,220,2487,130,204,63.7,138,5,2253,12355,7620,471,177,46,35,86,2711,2325,85.8,255,ar  ARG,"FW,MF",33-317,30.6,4,0,0,22,86,6,59,6,13,0,0,0,109,12,8,60.0
3,Marc-André ter Stegen,de  GER,GK,29-007,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,de  GER,GK,29-007,28.0,0,1,0,0.0,0.04,0.0,0.0,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,de  GER,GK,29-007,28.0,844,943,89.5,22016,13168,167,167,100.0,412,417,98.8,262,356,73.6,0,0.0,0.0,0,2,0,0,1,de  GER,GK,29-007,28.0,943,762,181,33,0,89,19,0,0,0,0,0,694,41,208,149,652,1,0,134,844,0,12,7,1,de  GER,GK,29-007,28.0,5,0.18,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0,0,de  GER,GK,29-007,28.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,3,1,de  GER,GK,29-007,28.0,995,885,990,5,1,1,814,0,1,0.0,1,0,591,2197,1287,0,0,0,0,0,580,577,99.5,0,de  GER,GK,29-007,28.0,1,0,0,1,0,0,0,0,0,0,1,0,121,0,0,
4,Antoine Griezmann,fr  FRA,"FW,MF",30-047,32,28,2275.0,25.3,12.0,7.0,11.0,1.0,2.0,4.0,0.0,0.47,0.28,0.75,0.44,0.71,13.4,11.9,5.4,17.3,0.53,0.21,0.74,0.47,0.68,fr  FRA,"FW,MF",30-047,25.3,12,63,27,42.9,2.49,1.07,0.17,0.41,14.7,0,1,2,13.4,11.9,0.19,-1.4,-0.9,fr  FRA,"FW,MF",30-047,25.3,1026,1166,88.0,15373,2580,592,655,90.4,328,366,89.6,68,80,85.0,7,5.4,1.6,36,58,34,2,67,fr  FRA,"FW,MF",30-047,25.3,1166,1128,38,7,6,179,20,28,10,0,1,2,953,123,90,940,160,35,8,12,1026,2,3,19,24,fr  FRA,"FW,MF",30-047,25.3,79,3.13,68,2,3,2,3,1,10,0.4,9,0,0,0,1,0,0,fr  FRA,"FW,MF",30-047,25.3,32,23,10,15,7,6,36,16.7,30,351,107,30.5,53,168,130,28,4,0,24,12,44,13,0,fr  FRA,"FW,MF",30-047,25.3,1406,21,123,564,779,181,1367,20,30,66.7,22,1,976,3972,1710,89,30,11,36,18,1444,1143,79.2,226,fr  FRA,"FW,MF",30-047,25.3,4,0,0,12,30,11,28,12,23,2,0,0,119,16,15,51.6
5,Sergio Busquets,es  ESP,MF,32-295,32,28,2243.0,24.9,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.16,0.16,0.0,0.16,0.1,0.1,3.2,3.3,0.0,0.13,0.13,0.0,0.13,es  ESP,MF,32-295,24.9,0,2,1,50.0,0.08,0.04,0.0,0.0,21.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,es  ESP,MF,32-295,24.9,2259,2460,91.8,40159,10617,1007,1066,94.5,961,1021,94.1,238,297,80.1,4,3.2,0.8,27,271,28,0,194,es  ESP,MF,32-295,24.9,2460,2361,99,96,13,264,42,3,0,0,0,0,2038,185,237,368,2000,49,3,10,2259,7,20,46,15,es  ESP,MF,32-295,24.9,61,2.45,57,1,0,0,2,1,9,0.36,9,0,0,0,0,0,0,es  ESP,MF,32-295,24.9,60,36,20,31,9,22,54,40.7,32,474,156,32.9,120,256,98,39,2,0,37,32,92,24,2,es  ESP,MF,32-295,24.9,2661,62,470,1748,564,13,2583,10,13,76.9,10,1,1862,5924,3024,134,43,2,17,11,2204,2123,96.3,48,es  ESP,MF,32-295,24.9,8,0,0,40,55,0,3,32,36,0,0,0,274,41,35,53.9
6,Clément Lenglet,fr  FRA,DF,25-324,30,26,2213.0,24.6,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,1.3,1.3,0.9,2.2,0.05,0.04,0.09,0.05,0.09,fr  FRA,DF,25-324,24.6,1,9,4,44.4,0.37,0.16,0.11,0.25,11.9,0,0,0,1.3,1.3,0.15,-0.3,-0.3,fr  FRA,DF,25-324,24.6,1904,2059,92.5,36367,12360,738,767,96.2,921,964,95.5,229,300,76.3,0,0.9,-0.9,7,189,16,2,123,fr  FRA,DF,25-324,24.6,2059,2001,58,47,2,144,42,5,0,0,0,0,1771,116,172,1724,228,61,10,1,1904,4,16,32,11,fr  FRA,DF,25-324,24.6,22,0.89,21,0,0,0,0,1,4,0.16,4,0,0,0,0,0,0,fr  FRA,DF,25-324,24.6,40,24,28,10,2,13,24,54.2,11,284,101,35.6,152,113,19,30,9,0,21,30,70,81,0,fr  FRA,DF,25-324,24.6,2251,254,926,1297,197,16,2204,9,14,64.3,9,0,1697,9059,5351,175,46,1,8,4,1802,1774,98.4,8,fr  FRA,DF,25-324,24.6,8,1,1,42,31,6,5,30,24,0,2,1,231,61,38,61.6
7,Pedri,es  ESP,MF,18-163,34,25,2223.0,24.7,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.08,0.12,0.2,0.08,0.2,2.8,2.6,4.7,7.3,0.11,0.19,0.3,0.11,0.3,es  ESP,MF,18-163,24.7,2,20,5,25.0,0.81,0.2,0.1,0.4,15.9,0,0,0,2.8,2.6,0.13,-0.8,-0.6,es  ESP,MF,18-163,24.7,1427,1625,87.8,24407,4239,690,755,91.4,548,606,90.4,143,180,79.4,3,4.7,-1.7,39,113,39,1,122,es  ESP,MF,18-163,24.7,1625,1577,48,13,8,264,36,10,27,2,0,1,1390,130,105,274,1320,16,7,3,1427,6,15,40,31,es  ESP,MF,18-163,24.7,75,3.04,62,3,4,1,4,1,8,0.32,4,0,0,1,2,1,0,es  ESP,MF,18-163,24.7,43,30,13,19,11,22,67,32.8,45,583,166,28.5,142,268,173,55,1,0,54,31,74,4,0,es  ESP,MF,18-163,24.7,1897,24,221,932,880,86,1851,21,41,51.2,22,1,1449,6873,3157,157,57,16,46,24,1704,1524,89.4,144,es  ESP,MF,18-163,24.7,2,0,0,17,40,0,10,31,30,1,0,0,166,6,10,37.5
8,Óscar Mingueza,es  ESP,DF,21-359,24,21,1794.0,19.9,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.1,0.2,0.9,0.9,1.0,2.0,0.05,0.05,0.1,0.05,0.1,es  ESP,DF,21-359,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,12.9,0,0,0,0.9,0.9,0.09,1.1,1.1,es  ESP,DF,21-359,19.9,1435,1564,91.8,24067,7029,681,714,95.4,633,669,94.6,98,141,69.5,2,1.0,1.0,8,112,12,2,55,es  ESP,DF,21-359,19.9,1564,1463,101,35,3,132,9,13,0,0,0,0,1334,136,94,163,1291,35,65,2,1435,3,15,16,26,es  ESP,DF,21-359,19.9,20,1.0,17,0,0,1,1,1,5,0.25,5,0,0,0,0,0,0,es  ESP,DF,21-359,19.9,56,39,27,22,7,25,43,58.1,18,289,106,36.7,119,132,38,34,6,0,28,24,80,40,5,es  ESP,DF,21-359,19.9,1734,126,575,983,275,19,1640,7,10,70.0,7,1,1292,5510,2869,97,30,2,7,7,1360,1320,97.1,15,es  ESP,DF,21-359,19.9,4,0,0,18,15,1,13,24,39,0,0,0,148,15,23,39.5
9,Sergiño Dest,us  USA,DF,20-185,26,21,1686.0,18.7,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.11,0.05,0.16,0.11,0.16,2.5,2.5,2.5,5.0,0.13,0.14,0.27,0.13,0.27,us  USA,DF,20-185,18.7,2,13,5,38.5,0.69,0.27,0.15,0.4,15.3,0,0,0,2.5,2.5,0.19,-0.5,-0.5,us  USA,DF,20-185,18.7,1049,1175,89.3,14541,3825,655,703,93.2,331,362,91.4,29,44,65.9,1,2.5,-1.5,21,43,23,5,56,us  USA,DF,20-185,18.7,1175,1043,132,5,1,103,2,36,0,0,0,0,944,166,65,127,898,20,127,0,1049,2,4,19,36,us  USA,DF,20-185,18.7,35,1.87,31,1,2,1,0,0,1,0.05,1,0,0,0,0,0,0,us  USA,DF,20-185,18.7,24,16,19,3,2,10,21,47.6,11,269,76,28.3,112,85,72,43,5,0,38,13,37,20,0,us  USA,DF,20-185,18.7,1367,38,270,522,647,85,1236,28,49,57.1,31,0,1011,4152,2611,154,31,24,25,23,1089,993,91.2,92,us  USA,DF,20-185,18.7,1,0,0,16,8,3,36,13,16,0,0,0,128,5,7,41.7
