,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Home,W 4–1,pt  Portugal,hr  Croatia,Y,FW,86.0,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Away,W 2–0,pt  Portugal,se  Sweden,Y,FW,90.0,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,FW,70.0,47.0,0.0,4.0,28.0,21.0,5.0,46.0,5.0,6.0,83.3,5.0,1.0,43.0,195.0,150.0,9.0,4.0,1.0,2.0,2.0,45.0,42.0,93.3,5.0,Match Report
3,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,Y,FW,90.0,63.0,1.0,1.0,34.0,35.0,7.0,61.0,4.0,5.0,80.0,4.0,2.0,52.0,239.0,157.0,13.0,4.0,1.0,3.0,1.0,59.0,52.0,88.1,10.0,Match Report
4,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,FW,75.0,40.0,0.0,2.0,22.0,17.0,0.0,39.0,1.0,1.0,100.0,1.0,0.0,38.0,146.0,69.0,4.0,1.0,0.0,3.0,4.0,38.0,35.0,92.1,2.0,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,D 0–0,pt  Portugal,es  Spain,N,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,pt  Portugal,fr  France,Y,FW,88.0,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Home,W 3–0,pt  Portugal,se  Sweden,Y,FW,74.0,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,N,FW,41.0,22.0,0.0,1.0,14.0,10.0,1.0,22.0,2.0,4.0,50.0,2.0,0.0,20.0,76.0,20.0,1.0,1.0,0.0,1.0,0.0,23.0,18.0,78.3,3.0,Match Report
9,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,Y,FW,90.0,49.0,0.0,6.0,31.0,17.0,4.0,47.0,2.0,4.0,50.0,3.0,0.0,39.0,174.0,131.0,8.0,2.0,1.0,2.0,7.0,47.0,40.0,85.1,8.0,Match Report
10,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,N,RM,34.0,15.0,0.0,2.0,5.0,8.0,2.0,15.0,0.0,0.0,,0.0,0.0,14.0,77.0,40.0,2.0,0.0,1.0,0.0,1.0,18.0,12.0,66.7,4.0,Match Report
11,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,FW,90.0,49.0,0.0,6.0,25.0,25.0,10.0,49.0,4.0,4.0,100.0,4.0,0.0,45.0,178.0,88.0,5.0,4.0,2.0,2.0,2.0,48.0,41.0,85.4,6.0,Match Report
12,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,84.0,48.0,0.0,1.0,25.0,25.0,6.0,44.0,3.0,5.0,60.0,3.0,0.0,39.0,106.0,68.0,5.0,0.0,1.0,3.0,2.0,56.0,38.0,67.9,12.0,Match Report
