,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
16,2020-11-14,Sat,UEFA Nations League,League A,Away,W 1–0,fr  France,pt  Portugal,Y,FW,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
17,2020-11-17,Tue,UEFA Nations League,League A,Home,W 4–2,fr  France,se  Sweden,Y,FW,90,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
18,2020-11-21,Sat,La Liga,Matchweek 10,Away,L 0–1,Barcelona,Atlético Madrid,Y,FW,82,0,0,0,0,2,1,0,0,31,9,0,0,0,0.2,0.2,0.0,2,0,21,23,91.3,0,20,0,1,2,Match Report
19,2020-11-24,Tue,Champions Lg,Group stage,Away,W 4–0,es  Barcelona,ua  Dynamo Kyiv,N,CM,26,1,0,0,0,2,2,0,0,24,2,1,0,0,0.3,0.3,0.0,3,0,18,19,94.7,0,13,0,0,0,Match Report
20,2020-11-29,Sun,La Liga,Matchweek 11,Home,W 4–0,Barcelona,Osasuna,Y,"LW,AM",90,1,1,0,0,4,3,0,0,83,11,2,0,0,0.6,0.6,1.1,5,1,68,74,91.9,4,74,1,2,3,Match Report
21,2020-12-02,Wed,Champions Lg,Group stage,Away,W 3–0,es  Barcelona,hu  Ferencváros,Y,AM,64,1,0,0,0,1,1,1,0,58,17,0,2,0,0.2,0.2,0.5,2,0,50,53,94.3,2,54,4,0,0,Match Report
22,2020-12-05,Sat,La Liga,Matchweek 12,Away,L 1–2,Barcelona,Cádiz,Y,AM,90,0,0,0,0,2,1,0,0,57,8,1,0,1,0.4,0.4,0.1,4,0,42,50,84.0,5,44,4,0,0,Match Report
23,2020-12-08,Tue,Champions Lg,Group stage,Home,L 0–3,es  Barcelona,it  Juventus,Y,"RW,FW",90,0,0,0,0,3,0,0,0,47,10,0,1,0,0.2,0.2,0.2,4,0,36,40,90.0,1,24,0,0,0,Match Report
24,2020-12-13,Sun,La Liga,Matchweek 13,Home,W 1–0,Barcelona,Levante,Y,"RW,AM",88,0,0,0,0,4,3,0,0,79,9,0,1,1,0.5,0.5,0.2,10,0,62,72,86.1,4,46,5,0,0,Match Report
25,2020-12-16,Wed,La Liga,Matchweek 19,Home,W 2–1,Barcelona,Real Sociedad,Y,RW,65,0,0,0,0,4,1,0,0,40,14,2,0,1,1.1,1.1,0.0,2,0,26,32,81.3,2,30,3,1,1,Match Report
26,2020-12-19,Sat,La Liga,Matchweek 14,Home,D 2–2,Barcelona,Valencia,Y,"RM,AM",72,0,0,0,0,1,1,1,0,49,5,0,1,0,0.1,0.1,0.0,5,0,38,44,86.4,5,41,6,1,1,Match Report
27,2020-12-22,Tue,La Liga,Matchweek 15,Away,W 3–0,Barcelona,Valladolid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
28,2020-12-29,Tue,La Liga,Matchweek 16,Home,D 1–1,Barcelona,Eibar,Y,AM,65,0,0,0,0,2,1,0,0,41,9,0,0,2,0.1,0.1,0.0,1,0,26,30,86.7,5,23,5,1,2,Match Report
29,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 1–0,Barcelona,Huesca,N,FW,10,0,0,0,0,0,0,0,0,3,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,1,1,Match Report
30,2021-01-06,Wed,La Liga,Matchweek 2,Away,W 3–2,Barcelona,Athletic Club,Y,LW,90,0,1,0,0,3,2,0,0,54,20,4,2,2,0.3,0.3,0.8,3,1,35,41,85.4,0,32,3,0,1,Match Report
31,2021-01-09,Sat,La Liga,Matchweek 18,Away,W 4–0,Barcelona,Granada,Y,LW,90,2,1,0,0,4,2,0,0,67,9,1,1,3,0.6,0.6,0.1,3,1,50,54,92.6,3,38,4,0,1,Match Report
32,2021-01-13,Wed,Supercopa de España,Semi-finals,Away,D 1  (3)  –1  (2),Barcelona,Real Sociedad,Y,FW,120,0,1,0,0,5,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report
33,2021-01-17,Sun,Supercopa de España,Final,Home,L 2–3,Barcelona,Athletic Club,Y,FW,120,2,0,0,0,5,3,0,0,,,,2,,,,,,,,,,,,,,,Match Report
34,2021-01-21,Thu,Copa del Rey,Round of 32,Away,W 2–0,Barcelona,Cornellà,Y,FW,100,0,0,0,0,3,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
35,2021-01-24,Sun,La Liga,Matchweek 20,Away,W 2–0,Barcelona,Elche,Y,FW,90,0,0,0,0,3,1,1,0,44,20,0,1,1,0.2,0.2,0.2,1,0,29,38,76.3,3,30,3,1,1,Match Report
36,2021-01-27,Wed,Copa del Rey,Round of 16,Away,W 2–1,Barcelona,Rayo Vallecano,Y,FW,84,0,1,0,0,1,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
37,2021-01-31,Sun,La Liga,Matchweek 21,Home,W 2–1,Barcelona,Athletic Club,Y,LW,83,1,0,0,0,3,2,0,0,37,10,0,0,3,0.7,0.7,0.0,0,0,21,26,80.8,0,21,2,1,1,Match Report
38,2021-02-03,Wed,Copa del Rey,Quarter-finals,Away,W 5–3,Barcelona,Granada,Y,FW,120,2,2,0,0,6,3,0,0,,,,1,,,,,,,,,,,,,,,Match Report
39,2021-02-07,Sun,La Liga,Matchweek 22,Away,W 3–2,Barcelona,Betis,Y,FW,90,0,0,0,0,2,0,0,0,56,14,2,2,2,0.1,0.1,0.2,1,0,42,44,95.5,2,31,2,0,0,Match Report
40,2021-02-10,Wed,Copa del Rey,Semi-finals,Away,L 0–2,Barcelona,Sevilla,Y,FW,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
41,2021-02-13,Sat,La Liga,Matchweek 23,Home,W 5–1,Barcelona,Alavés,Y,LW,80,0,2,0,0,2,0,0,0,49,9,0,0,1,0.7,0.7,1.5,7,2,43,45,95.6,1,30,5,0,0,Match Report
42,2021-02-16,Tue,Champions Lg,Round of 16,Home,L 1–4,es  Barcelona,fr  Paris S-G,Y,"LW,FW",84,0,0,0,0,3,1,0,0,37,6,1,1,3,0.6,0.6,0.0,2,0,21,25,84.0,2,23,7,0,2,Match Report
43,2021-02-21,Sun,La Liga,Matchweek 24,Home,D 1–1,Barcelona,Cádiz,Y,"LW,RW",64,0,0,0,0,1,0,0,0,36,4,1,0,3,0.1,0.1,0.0,0,0,20,26,76.9,0,29,0,0,1,Match Report
44,2021-02-24,Wed,La Liga,Matchweek 1,Home,W 3–0,Barcelona,Elche,N,FW,15,0,0,0,0,1,0,0,0,11,3,1,0,0,0.6,0.6,0.1,2,0,7,8,87.5,1,8,2,0,0,Match Report
45,2021-02-27,Sat,La Liga,Matchweek 25,Away,W 2–0,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
46,2021-03-03,Wed,Copa del Rey,Semi-finals,Home,W 3–0,Barcelona,Sevilla,N,,58,0,1,0,0,1,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report
47,2021-03-06,Sat,La Liga,Matchweek 26,Away,W 2–0,Barcelona,Osasuna,Y,"FW,LW",66,0,0,0,0,1,0,0,0,35,12,1,0,0,0.0,0.0,0.0,0,0,30,33,90.9,1,26,1,0,0,Match Report
48,2021-03-10,Wed,Champions Lg,Round of 16,Away,D 1–1,es  Barcelona,fr  Paris S-G,Y,AM,90,0,0,0,0,2,1,0,0,75,24,3,0,1,0.2,0.2,0.3,4,0,53,65,81.5,7,57,4,1,1,Match Report
49,2021-03-15,Mon,La Liga,Matchweek 27,Home,W 4–1,Barcelona,Huesca,Y,AM,68,1,0,0,0,1,1,0,0,62,21,1,1,0,0.0,0.0,0.0,2,0,52,55,94.5,2,46,1,2,2,Match Report
50,2021-03-21,Sun,La Liga,Matchweek 28,Away,W 6–1,Barcelona,Real Sociedad,Y,AM,84,1,0,0,0,1,1,0,0,71,20,4,0,1,0.4,0.4,0.0,2,0,53,59,89.8,2,43,7,2,3,Match Report
51,2021-03-24,Wed,WCQ — UEFA (M),First round,Home,D 1–1,fr  France,ua  Ukraine,Y,FW,90,1,0,0,0,3,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
52,2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 2–0,fr  France,kz  Kazakhstan,Y,AM,58,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
53,2021-03-31,Wed,WCQ — UEFA (M),First round,Away,W 1–0,fr  France,ba  Bosnia and Herzegovina,Y,CM,90,1,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
54,2021-04-05,Mon,La Liga,Matchweek 29,Home,W 1–0,Barcelona,Valladolid,Y,"AM,LM",62,0,0,0,0,2,0,1,0,58,15,2,0,2,0.3,0.3,0.1,5,0,47,52,90.4,3,48,4,0,0,Match Report
55,2021-04-10,Sat,La Liga,Matchweek 30,Away,L 1–2,Barcelona,Real Madrid,N,"FW,CM,WB",45,0,0,0,0,0,0,0,0,25,6,0,0,0,0.0,0.0,0.3,3,1,16,19,84.2,2,23,1,0,1,Match Report
56,2021-04-17,Sat,Copa del Rey,Final,Neutral,W 4–0,Barcelona,Athletic Club,Y,FW,87,1,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
57,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 5–2,Barcelona,Getafe,Y,FW,90,1,0,1,1,0,0,0,0,43,17,2,1,1,0.8,0.0,0.1,3,1,30,33,90.9,0,37,3,3,3,Match Report
58,2021-04-25,Sun,La Liga,Matchweek 32,Away,W 2–1,Barcelona,Villarreal,Y,FW,79,2,0,0,0,5,3,1,0,32,25,1,1,2,1.3,1.3,0.2,6,0,17,21,81.0,4,21,1,1,1,Match Report
59,2021-04-29,Thu,La Liga,Matchweek 33,Home,L 1–2,Barcelona,Granada,Y,"FW,LM",90,0,1,0,0,2,1,0,0,77,13,0,1,0,0.2,0.2,0.2,3,1,58,66,87.9,2,59,4,0,2,Match Report
60,2021-05-02,Sun,La Liga,Matchweek 34,Away,W 3–2,Barcelona,Valencia,Y,FW,90,1,0,0,0,3,1,0,0,53,6,0,0,0,0.6,0.6,0.0,2,1,46,50,92.0,2,30,1,1,1,Match Report
61,,,,,,38-9-11,,,50/58,,4377,24,13,1,3,119,50,5,0,1722,429,39,26,33,15.9,14.4,6.8,96,10,1253,1429,87.7,80,1196,108,23,37,
