,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
0,2019-08-16,Fri,La Liga,Matchweek 1,Away,L 0–1,Barcelona,Athletic Club,Y,DM,90,0,0,0,0,0,0,0,0,72,8,1,0,0,0.0,0.0,0.0,1,0,62,66,93.9,2,59,4,1,1,Match Report
1,2019-08-25,Sun,La Liga,Matchweek 2,Home,W 5–2,Barcelona,Betis,Y,"CM,DM",90,0,0,0,0,0,0,0,0,72,12,1,0,1,0.0,0.0,0.0,1,0,64,66,97.0,3,53,12,1,3,Match Report
2,2019-08-31,Sat,La Liga,Matchweek 3,Away,D 2–2,Barcelona,Osasuna,Y,CM,81,0,0,0,0,0,0,1,0,88,12,5,0,2,0.0,0.0,0.1,3,0,70,75,93.3,4,62,12,0,2,Match Report
3,2019-09-06,Fri,Euro Qualifying,Group stage,Away,W 4–2,nl  Netherlands,de  Germany,Y,CM,90,1,0,0,0,1,1,1,0,,,,2,,,,,,,,,,,,,,,Match Report
4,2019-09-09,Mon,Euro Qualifying,Group stage,Away,W 4–0,nl  Netherlands,ee  Estonia,Y,CM,70,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
5,2019-09-14,Sat,La Liga,Matchweek 4,Home,W 5–2,Barcelona,Valencia,Y,CM,69,1,1,0,0,1,1,0,0,58,12,0,1,1,0.3,0.3,0.2,3,1,53,53,100.0,5,54,9,2,2,Match Report
6,2019-09-17,Tue,Champions Lg,Group stage,Away,D 0–0,es  Barcelona,de  Dortmund,Y,"CM,DM",90,0,0,0,0,0,0,0,0,95,21,6,2,2,0.0,0.0,0.0,0,0,76,84,90.5,9,72,11,1,1,Match Report
7,2019-09-21,Sat,La Liga,Matchweek 5,Away,L 0–2,Barcelona,Granada,Y,"DM,CM",90,0,0,0,0,0,0,0,0,101,5,3,1,0,0.0,0.0,0.0,2,0,86,91,94.5,7,85,13,4,5,Match Report
8,2019-09-24,Tue,La Liga,Matchweek 6,Home,W 2–1,Barcelona,Villarreal,N,CM,28,0,0,0,0,0,0,0,0,36,9,1,0,1,0.0,0.0,0.0,1,0,28,31,90.3,3,31,6,0,1,Match Report
9,2019-09-28,Sat,La Liga,Matchweek 7,Away,W 2–0,Barcelona,Getafe,Y,CM,90,0,0,0,0,0,0,0,0,47,7,2,1,1,0.0,0.0,0.2,3,0,29,38,76.3,4,32,6,2,2,Match Report
