,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Home,W 4–1,pt  Portugal,hr  Croatia,Y,FW,86.0,,,,,,,,,,,,,,,0.0,,,,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Away,W 2–0,pt  Portugal,se  Sweden,Y,FW,90.0,,,,,,,,,,,,,,,1.0,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,FW,70.0,29.0,35.0,82.9,400.0,184.0,16.0,17.0,94.1,7.0,9.0,77.8,2.0,5.0,40.0,1.0,0.4,3.0,5.0,2.0,0.0,5.0,Match Report
3,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,Y,FW,90.0,43.0,49.0,87.8,737.0,298.0,18.0,19.0,94.7,18.0,20.0,90.0,4.0,5.0,80.0,0.0,0.1,2.0,8.0,1.0,0.0,10.0,Match Report
4,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,FW,75.0,23.0,31.0,74.2,285.0,62.0,16.0,19.0,84.2,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,D 0–0,pt  Portugal,es  Spain,N,,18.0,,,,,,,,,,,,,,,0.0,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,pt  Portugal,fr  France,Y,FW,88.0,,,,,,,,,,,,,,,0.0,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Home,W 3–0,pt  Portugal,se  Sweden,Y,FW,74.0,,,,,,,,,,,,,,,0.0,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,N,FW,41.0,10.0,15.0,66.7,124.0,34.0,5.0,9.0,55.6,3.0,4.0,75.0,0.0,0.0,,0.0,0.1,1.0,1.0,0.0,0.0,0.0,Match Report
9,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,Y,FW,90.0,28.0,34.0,82.4,434.0,112.0,11.0,11.0,100.0,10.0,12.0,83.3,2.0,4.0,50.0,0.0,0.2,2.0,2.0,2.0,0.0,4.0,Match Report
