,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,RM,76,22.0,27.0,81.5,297.0,91.0,14.0,15.0,93.3,6.0,7.0,85.7,1.0,3.0,33.3,2,0.5,2.0,1.0,0.0,0.0,1.0,Match Report
1,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,N,RM,45,14.0,16.0,87.5,160.0,43.0,11.0,11.0,100.0,3.0,5.0,60.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,1.0,Match Report
2,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,RM,69,17.0,27.0,63.0,278.0,65.0,8.0,12.0,66.7,7.0,9.0,77.8,1.0,5.0,20.0,0,0.0,0.0,2.0,0.0,0.0,1.0,Match Report
3,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,Y,RM,76,24.0,31.0,77.4,318.0,51.0,14.0,17.0,82.4,7.0,9.0,77.8,1.0,3.0,33.3,0,0.1,1.0,1.0,1.0,0.0,2.0,Match Report
4,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,N,FW,15,5.0,5.0,100.0,47.0,12.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,Y,RM,56,14.0,20.0,70.0,127.0,29.0,9.0,12.0,75.0,2.0,3.0,66.7,0.0,0.0,,0,0.1,1.0,0.0,2.0,0.0,2.0,Match Report
6,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,RM,90,27.0,35.0,77.1,434.0,114.0,13.0,17.0,76.5,10.0,11.0,90.9,3.0,4.0,75.0,1,1.4,4.0,1.0,4.0,1.0,4.0,Match Report
7,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,85,33.0,39.0,84.6,459.0,116.0,11.0,13.0,84.6,12.0,15.0,80.0,2.0,3.0,66.7,1,0.1,1.0,1.0,2.0,0.0,5.0,Match Report
8,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,68,25.0,32.0,78.1,401.0,110.0,15.0,18.0,83.3,7.0,8.0,87.5,3.0,5.0,60.0,0,0.1,2.0,3.0,1.0,1.0,1.0,Match Report
9,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,N,"FW,RW",36,24.0,28.0,85.7,291.0,53.0,17.0,19.0,89.5,6.0,8.0,75.0,0.0,0.0,,1,0.4,2.0,1.0,1.0,0.0,2.0,Match Report
10,2020-11-21,Sat,La Liga,Matchweek 10,Home,W 1–0,Atlético Madrid,Barcelona,Y,FW,83,26.0,31.0,83.9,398.0,74.0,17.0,17.0,100.0,6.0,7.0,85.7,3.0,4.0,75.0,1,0.6,3.0,0.0,2.0,0.0,2.0,Match Report
11,2020-11-25,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,ru  Loko Moscow,Y,FW,90,21.0,35.0,60.0,328.0,44.0,9.0,14.0,64.3,9.0,11.0,81.8,2.0,2.0,100.0,0,0.4,3.0,0.0,0.0,0.0,0.0,Match Report
12,2020-11-28,Sat,La Liga,Matchweek 11,Away,W 1–0,Atlético Madrid,Valencia,Y,FW,64,25.0,35.0,71.4,326.0,39.0,17.0,20.0,85.0,6.0,6.0,100.0,1.0,6.0,16.7,0,0.0,2.0,1.0,1.0,0.0,2.0,Match Report
13,2020-12-01,Tue,Champions Lg,Group stage,Home,D 1–1,es  Atlético Madrid,de  Bayern Munich,Y,FW,79,18.0,26.0,69.2,224.0,7.0,7.0,11.0,63.6,7.0,10.0,70.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
14,2020-12-05,Sat,La Liga,Matchweek 12,Home,W 2–0,Atlético Madrid,Valladolid,Y,FW,56,17.0,23.0,73.9,220.0,39.0,10.0,13.0,76.9,6.0,8.0,75.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Match Report
15,2020-12-09,Wed,Champions Lg,Group stage,Away,W 2–0,es  Atlético Madrid,at  RB Salzburg,N,FW,27,10.0,12.0,83.3,148.0,30.0,4.0,6.0,66.7,3.0,3.0,100.0,2.0,2.0,100.0,1,0.2,1.0,0.0,1.0,1.0,1.0,Match Report
16,2020-12-12,Sat,La Liga,Matchweek 13,Away,L 0–2,Atlético Madrid,Real Madrid,N,"FW,LM",45,12.0,13.0,92.3,167.0,46.0,8.0,9.0,88.9,2.0,2.0,100.0,1.0,1.0,100.0,0,0.0,1.0,0.0,1.0,0.0,2.0,Match Report
17,2020-12-16,Wed,Copa del Rey,First round,Away,W 3–0,Atlético Madrid,CE Cardassar,Y,FW,83,,,,,,,,,,,,,,,1,,,,,,,Match Report
18,2020-12-19,Sat,La Liga,Matchweek 14,Home,W 3–1,Atlético Madrid,Elche,N,RM,25,8.0,8.0,100.0,112.0,39.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
