,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
0,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,RM,76,1,2,0,0,1.0,1.0,0,0,36.0,17.0,0.0,0.0,4.0,0.1,0.1,0.5,3.0,2.0,22.0,27.0,81.5,1.0,30.0,3.0,2.0,2.0,Match Report
1,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,N,RM,45,0,0,0,0,1.0,0.0,0,0,24.0,10.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,14.0,16.0,87.5,1.0,21.0,2.0,0.0,1.0,Match Report
2,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,RM,69,0,0,0,0,0.0,0.0,0,0,33.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,63.0,1.0,31.0,7.0,3.0,5.0,Match Report
3,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,Y,RM,76,0,0,0,0,0.0,0.0,0,0,41.0,10.0,1.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,24.0,31.0,77.4,2.0,28.0,3.0,2.0,2.0,Match Report
4,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,N,FW,15,0,0,0,0,0.0,0.0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,100.0,0.0,7.0,0.0,0.0,1.0,Match Report
5,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,Y,RM,56,0,0,0,0,0.0,0.0,0,0,28.0,11.0,1.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,14.0,20.0,70.0,2.0,18.0,3.0,0.0,0.0,Match Report
6,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,RM,90,0,1,0,0,0.0,0.0,0,0,49.0,12.0,1.0,1.0,3.0,0.0,0.0,1.4,9.0,2.0,27.0,35.0,77.1,4.0,38.0,3.0,3.0,5.0,Match Report
7,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,85,0,1,0,0,3.0,1.0,0,0,56.0,10.0,0.0,0.0,3.0,0.6,0.4,0.1,3.0,2.0,33.0,39.0,84.6,5.0,42.0,2.0,3.0,7.0,Match Report
8,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,68,0,0,0,0,1.0,0.0,0,0,37.0,11.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,25.0,32.0,78.1,1.0,26.0,6.0,1.0,1.0,Match Report
9,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,N,"FW,RW",36,0,1,0,0,4.0,1.0,0,0,35.0,5.0,2.0,0.0,0.0,0.3,0.3,0.4,5.0,1.0,24.0,28.0,85.7,2.0,21.0,5.0,0.0,1.0,Match Report
10,2020-11-21,Sat,La Liga,Matchweek 10,Home,W 1–0,Atlético Madrid,Barcelona,Y,FW,83,0,1,0,0,1.0,0.0,0,0,41.0,33.0,2.0,1.0,0.0,0.0,0.0,0.6,3.0,1.0,26.0,31.0,83.9,2.0,28.0,5.0,1.0,2.0,Match Report
11,2020-11-25,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,ru  Loko Moscow,Y,FW,90,0,0,0,0,1.0,0.0,0,0,44.0,18.0,1.0,0.0,1.0,0.1,0.1,0.4,3.0,0.0,21.0,35.0,60.0,0.0,31.0,4.0,3.0,4.0,Match Report
12,2020-11-28,Sat,La Liga,Matchweek 11,Away,W 1–0,Atlético Madrid,Valencia,Y,FW,64,0,0,0,0,2.0,2.0,1,0,43.0,12.0,0.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,25.0,35.0,71.4,2.0,34.0,1.0,0.0,1.0,Match Report
13,2020-12-01,Tue,Champions Lg,Group stage,Home,D 1–1,es  Atlético Madrid,de  Bayern Munich,Y,FW,79,0,0,0,0,2.0,1.0,0,0,39.0,22.0,1.0,0.0,2.0,0.4,0.4,0.0,0.0,0.0,18.0,26.0,69.2,0.0,25.0,2.0,3.0,4.0,Match Report
