,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Andrew Robertson,sco  SCO,DF,27-011,29,29,2604.0,28.9,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.03,0.17,0.21,0.03,0.21,1.3,1.3,5.2,6.4,0.04,0.18,0.22,0.04,0.22,sco  SCO,DF,27-011,28.9,1,15,4,26.7,0.52,0.14,0.07,0.25,16.4,0,0,0,1.3,1.3,0.08,-0.3,-0.3,sco  SCO,DF,27-011,28.9,2036,2554,79.7,37307,12156,886,1000,88.6,923,1063,86.8,204,414,49.3,5,5.2,-0.2,47,139,51,20,204,sco  SCO,DF,27-011,28.9,2554,2146,408,57,2,170,87,119,88,20,44,12,1654,453,447,2063,120,86,263,2,2036,6,35,42,81,sco  SCO,DF,27-011,28.9,77,2.66,62,12,3,0,0,0,10,0.35,6,2,2,0,0,0,0,sco  SCO,DF,27-011,28.9,32,17,20,8,4,17,39,43.6,22,233,84,36.1,77,81,75,47,9,1,38,23,55,56,1,sco  SCO,DF,27-011,28.9,2792,81,617,1304,1047,86,2388,23,40,57.5,28,3,1800,7992,4675,174,69,9,31,16,2059,1899,92.2,130
1,Georginio Wijnaldum,nl  NED,MF,30-131,29,27,2346.0,26.1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,2.7,2.7,1.4,4.1,0.1,0.05,0.16,0.1,0.16,nl  NED,MF,30-131,26.1,2,23,8,34.8,0.88,0.31,0.09,0.25,16.6,1,0,0,2.7,2.7,0.12,-0.7,-0.7,nl  NED,MF,30-131,26.1,1313,1412,93.0,22816,4411,623,664,93.8,537,566,94.9,125,141,88.7,0,1.4,-1.4,18,116,17,1,76,nl  NED,MF,30-131,26.1,1412,1379,33,19,1,204,22,3,0,0,0,0,1190,114,108,98,1234,35,13,7,1313,1,11,20,8,nl  NED,MF,30-131,26.1,40,1.53,33,0,2,2,3,0,1,0.04,0,0,0,1,0,0,0,nl  NED,MF,30-131,26.1,26,20,7,14,5,9,30,30.0,21,311,115,37.0,91,153,67,31,3,0,28,12,38,18,1,nl  NED,MF,30-131,26.1,1599,30,258,1050,432,32,1567,24,35,68.6,26,2,1217,6820,3192,144,59,5,18,23,1332,1213,91.1,67
2,Mohamed Salah,eg  EGY,FW,28-280,28,26,2343.0,26.0,17.0,3.0,11.0,6.0,6.0,0.0,0.0,0.65,0.12,0.77,0.42,0.54,14.3,9.8,3.9,13.7,0.55,0.15,0.7,0.38,0.52,eg  EGY,FW,28-280,26.0,17,80,32,40.0,3.07,1.23,0.14,0.34,16.2,1,6,6,14.3,9.8,0.12,2.7,1.2,eg  EGY,FW,28-280,26.0,846,1011,83.7,12991,3016,498,544,91.5,271,322,84.2,54,86,62.8,3,3.9,-0.9,37,52,58,8,112,eg  EGY,FW,28-280,26.0,1011,987,24,2,6,156,13,35,0,0,0,0,825,96,90,806,170,15,4,6,846,2,4,25,36,eg  EGY,FW,28-280,26.0,80,3.07,58,1,3,9,7,2,10,0.38,6,0,0,2,2,0,0,eg  EGY,FW,28-280,26.0,24,11,6,7,11,6,13,46.2,7,361,104,28.8,27,106,228,8,1,0,7,6,30,7,1,eg  EGY,FW,28-280,26.0,1361,8,52,496,890,216,1332,40,79,50.6,45,2,1065,4903,2590,163,42,30,86,71,1645,1127,68.5,308
3,Trent Alexander-Arnold,eng  ENG,DF,22-166,27,25,2221.0,24.7,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.04,0.12,0.16,0.04,0.16,1.9,1.9,4.2,6.1,0.08,0.17,0.25,0.08,0.25,eng  ENG,DF,22-166,24.7,1,37,8,21.6,1.5,0.32,0.03,0.13,24.3,11,0,0,1.9,1.9,0.05,-0.9,-0.9,eng  ENG,DF,22-166,24.7,1701,2253,75.5,36402,14573,595,675,88.1,773,927,83.4,319,585,54.5,3,4.2,-1.2,42,168,77,18,227,eng  ENG,DF,22-166,24.7,2253,1904,349,42,5,173,114,136,67,13,35,4,1274,389,590,237,1718,49,240,6,1701,8,29,39,76,eng  ENG,DF,22-166,24.7,73,2.96,45,22,3,3,0,0,6,0.24,6,0,0,0,0,0,0,eng  ENG,DF,22-166,24.7,47,30,24,17,6,28,47,59.6,19,229,84,36.7,77,89,63,31,2,0,29,20,67,50,1,eng  ENG,DF,22-166,24.7,2470,52,565,1166,887,61,2116,27,50,54.0,30,3,1590,6657,3991,163,54,17,12,12,1757,1663,94.6,84
4,Roberto Firmino,br  BRA,FW,29-171,27,25,2146.0,23.8,6.0,5.0,6.0,0.0,0.0,1.0,0.0,0.25,0.21,0.46,0.25,0.46,10.6,10.6,3.8,14.4,0.44,0.16,0.6,0.44,0.6,br  BRA,FW,29-171,23.8,6,64,23,35.9,2.68,0.96,0.09,0.26,13.1,0,0,0,10.6,10.6,0.17,-4.6,-4.6,br  BRA,FW,29-171,23.8,757,949,79.8,11064,2575,451,530,85.1,235,295,79.7,42,60,70.0,5,3.8,1.2,29,54,26,0,88,br  BRA,FW,29-171,23.8,949,914,35,3,5,203,9,23,2,0,0,0,740,142,67,125,762,29,12,9,757,2,2,40,34,br  BRA,FW,29-171,23.8,76,3.19,56,0,8,8,3,1,7,0.29,6,0,0,1,0,0,0,br  BRA,FW,29-171,23.8,28,18,3,10,15,9,28,32.1,19,378,109,28.8,54,166,158,45,2,0,43,9,37,6,0,br  BRA,FW,29-171,23.8,1229,6,87,576,631,175,1195,31,47,66.0,32,3,849,3681,1855,118,28,24,46,36,1316,931,70.7,244
5,Sadio Mané,sn  SEN,FW,28-346,26,24,2169.0,24.1,7.0,4.0,7.0,0.0,0.0,3.0,0.0,0.29,0.17,0.46,0.29,0.46,11.1,11.1,4.0,15.1,0.46,0.16,0.63,0.46,0.63,sn  SEN,FW,28-346,24.1,7,73,27,37.0,3.03,1.12,0.1,0.26,12.9,0,0,0,11.1,11.1,0.15,-4.1,-4.1,sn  SEN,FW,28-346,24.1,593,804,73.8,10120,2022,298,379,78.6,211,272,77.6,69,94,73.4,4,4.0,0.0,41,27,47,6,75,sn  SEN,FW,28-346,24.1,804,793,11,2,3,146,17,49,1,0,0,0,573,136,95,220,526,21,8,16,593,2,10,28,51,sn  SEN,FW,28-346,24.1,93,3.86,66,0,7,7,12,1,9,0.37,4,0,0,3,1,1,0,sn  SEN,FW,28-346,24.1,30,24,7,15,8,7,18,38.9,11,337,118,35.0,44,113,180,32,2,0,30,13,43,6,0,sn  SEN,FW,28-346,24.1,1210,13,81,460,777,212,1200,70,112,62.5,72,5,927,5296,3023,171,57,40,71,70,1461,963,65.9,320
6,Alisson,br  BRA,GK,28-171,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br  BRA,GK,28-171,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,br  BRA,GK,28-171,24.0,694,811,85.6,18295,9554,107,107,100.0,373,379,98.4,211,321,65.7,0,0.0,0.0,0,5,0,0,1,br  BRA,GK,28-171,24.0,811,641,170,51,0,54,24,0,0,0,0,0,592,41,178,71,602,1,0,114,694,2,10,4,1,br  BRA,GK,28-171,24.0,3,0.12,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,br  BRA,GK,28-171,24.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,5,br  BRA,GK,28-171,24.0,873,665,867,10,0,0,703,1,1,100.0,1,0,455,1615,854,0,0,0,0,0,459,457,99.6,0
7,Jordan Henderson,eng  ENG,"MF,DF",30-278,21,20,1704.0,18.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3.1,0.09,0.07,0.16,0.09,0.16,eng  ENG,"MF,DF",30-278,18.9,1,14,4,28.6,0.74,0.21,0.07,0.25,17.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,eng  ENG,"MF,DF",30-278,18.9,1573,1813,86.8,32784,8596,516,560,92.1,781,827,94.4,259,390,66.4,1,1.4,-0.4,12,205,30,1,145,eng  ENG,"MF,DF",30-278,18.9,1813,1769,44,34,5,135,68,14,2,0,1,0,1343,166,304,226,1504,64,6,3,1573,2,16,18,22,eng  ENG,"MF,DF",30-278,18.9,33,1.74,27,4,0,0,1,1,4,0.21,3,1,0,0,0,0,0,eng  ENG,"MF,DF",30-278,18.9,19,9,8,7,4,8,29,27.6,21,183,60,32.8,59,85,39,28,4,1,24,27,46,44,1,eng  ENG,"MF,DF",30-278,18.9,1953,75,516,1298,279,15,1913,7,13,53.8,7,1,1360,8237,4500,153,45,1,7,3,1577,1526,96.8,18
8,Fabinho,br  BRA,"DF,MF",27-150,21,19,1757.0,19.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.01,0.02,0.03,0.01,0.03,br  BRA,"DF,MF",27-150,19.5,0,5,0,0.0,0.26,0.0,0.0,,19.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,br  BRA,"DF,MF",27-150,19.5,1380,1514,91.1,29212,7530,372,402,92.5,777,814,95.5,219,279,78.5,0,0.4,-0.4,3,67,3,1,65,br  BRA,"DF,MF",27-150,19.5,1514,1484,30,25,1,107,33,1,0,0,0,0,1238,104,172,96,1333,42,5,7,1380,1,10,10,6,br  BRA,"DF,MF",27-150,19.5,12,0.61,10,0,0,0,1,1,2,0.1,1,0,0,0,1,0,0,br  BRA,"DF,MF",27-150,19.5,51,36,19,29,3,19,39,48.7,20,204,72,35.3,73,117,14,29,9,0,20,27,78,74,0,br  BRA,"DF,MF",27-150,19.5,1694,140,727,980,71,6,1665,4,6,66.7,5,0,1106,5324,2970,102,8,0,3,3,1260,1238,98.3,9
9,Thiago Alcántara,es  ESP,MF,29-345,15,12,1127.0,12.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,0.03,0.09,0.12,0.03,0.12,es  ESP,MF,29-345,12.5,0,12,1,8.3,0.96,0.08,0.0,0.0,22.2,1,0,0,0.4,0.4,0.03,-0.4,-0.4,es  ESP,MF,29-345,12.5,931,1055,88.2,19507,4810,323,358,90.2,425,459,92.6,170,212,80.2,0,1.1,-1.1,17,115,11,1,107,es  ESP,MF,29-345,12.5,1055,1025,30,24,1,121,44,3,0,0,0,0,765,121,169,52,947,34,3,2,931,2,13,19,18,es  ESP,MF,29-345,12.5,33,2.64,27,2,1,2,0,1,0,0.0,0,0,0,0,0,0,0,es  ESP,MF,29-345,12.5,37,24,13,17,7,11,28,39.3,17,228,73,32.0,53,131,44,14,0,0,14,19,56,11,0,es  ESP,MF,29-345,12.5,1186,18,200,768,297,9,1160,18,29,62.1,19,0,843,3457,1816,84,36,2,11,6,931,889,95.5,27
