,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Home,W 4–1,pt  Portugal,hr  Croatia,Y,FW,86.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Away,W 2–0,pt  Portugal,se  Sweden,Y,FW,90.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,FW,70.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,47.0,13.0,0.0,0.0,0.0,0.5,0.5,0.4,6.0,2.0,29.0,35.0,82.9,5.0,43.0,9.0,5.0,6.0,Match Report
3,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,Y,FW,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,7.0,1.0,0.0,0.0,0.3,0.3,0.1,4.0,0.0,43.0,49.0,87.8,10.0,52.0,13.0,4.0,5.0,Match Report
4,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,FW,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,31.0,74.2,2.0,38.0,4.0,1.0,1.0,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,D 0–0,pt  Portugal,es  Spain,N,,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,pt  Portugal,fr  France,Y,FW,88.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Home,W 3–0,pt  Portugal,se  Sweden,Y,FW,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,N,FW,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,1.0,10.0,15.0,66.7,0.0,20.0,1.0,2.0,4.0,Match Report
9,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.2,0.2,0.2,2.0,0.0,28.0,34.0,82.4,4.0,39.0,8.0,2.0,4.0,Match Report
