,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Jan Oblak,si  SVN,GK,28-120,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,si  SVN,GK,28-120,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,si  SVN,GK,28-120,34.0,588,906,64.9,21581,14211,64,64,100.0,200,204,98.0,322,636,50.6,0,0.0,0.0,0,12,0,0,0,si  SVN,GK,28-120,34.0,906,544,362,88,0,46,26,0,0,0,0,0,323,44,539,44,710,0,2,102,588,3,29,7,0,si  SVN,GK,28-120,34.0,2,0.06,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,si  SVN,GK,28-120,34.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,1,si  SVN,GK,28-120,34.0,970,853,963,10,0,0,610,1,1,100.0,1,0,380,1935,1104,0,0,0,0,0,344,342,99.4,0,si  SVN,GK,28-120,34.0,0,0,0,0,5,0,0,0,0,0,0,1,127,0,0,
1,Stefan Savić,me  MNE,DF,30-119,30,30,2683.0,29.8,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.03,0.0,0.03,0.03,0.03,0.9,0.9,0.2,1.1,0.03,0.01,0.04,0.03,0.04,me  MNE,DF,30-119,29.8,1,7,2,28.6,0.23,0.07,0.14,0.5,5.0,0,0,0,0.9,0.9,0.13,0.1,0.1,me  MNE,DF,30-119,29.8,1356,1573,86.2,29253,8736,413,448,92.2,667,717,93.0,259,372,69.6,0,0.2,-0.2,2,115,5,0,69,me  MNE,DF,30-119,29.8,1573,1528,45,38,1,160,52,2,0,0,0,0,1185,121,267,107,1341,65,7,8,1356,3,20,22,21,me  MNE,DF,30-119,29.8,9,0.3,8,0,0,1,0,0,2,0.07,1,0,0,1,0,0,0,me  MNE,DF,30-119,29.8,46,25,31,14,1,18,29,62.1,11,203,90,44.3,131,67,5,42,14,0,28,29,75,139,0,me  MNE,DF,30-119,29.8,1829,227,887,1011,44,13,1785,6,7,85.7,6,0,1176,5994,3611,102,7,0,4,3,1246,1224,98.2,1,me  MNE,DF,30-119,29.8,14,0,0,28,16,2,2,29,25,0,1,0,282,94,40,70.1
2,Koke,es  ESP,MF,29-119,33,30,2661.0,29.6,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.07,0.1,0.03,0.1,1.6,1.6,2.1,3.8,0.06,0.07,0.13,0.06,0.13,es  ESP,MF,29-119,29.6,1,15,7,46.7,0.51,0.24,0.07,0.14,20.1,0,0,0,1.6,1.6,0.11,-0.6,-0.6,es  ESP,MF,29-119,29.6,1881,2137,88.0,32988,9235,903,958,94.3,710,785,90.4,219,311,70.4,2,2.1,-0.1,33,187,33,3,193,es  ESP,MF,29-119,29.6,2137,2038,99,59,5,266,56,17,32,5,18,0,1632,218,287,155,1905,55,6,5,1881,9,19,32,32,es  ESP,MF,29-119,29.6,62,2.1,50,9,1,1,0,1,6,0.2,6,0,0,0,0,0,0,es  ESP,MF,29-119,29.6,68,46,24,35,9,27,98,27.6,71,518,155,29.9,178,252,88,42,5,0,37,32,100,39,0,es  ESP,MF,29-119,29.6,2406,61,481,1513,513,31,2315,25,34,73.5,28,1,1654,6214,2997,143,26,4,25,23,1932,1804,93.4,55,es  ESP,MF,29-119,29.6,8,0,0,38,40,0,17,32,46,0,0,0,301,19,23,45.2
3,Marcos Llorente,es  ESP,"MF,DF",26-097,33,29,2619.0,29.1,12.0,10.0,12.0,0.0,0.0,6.0,0.0,0.41,0.34,0.76,0.41,0.76,3.8,3.8,4.1,7.9,0.13,0.14,0.27,0.13,0.27,es  ESP,"MF,DF",26-097,29.1,12,42,20,47.6,1.44,0.69,0.29,0.6,17.5,0,0,0,3.8,3.8,0.09,8.2,8.2,es  ESP,"MF,DF",26-097,29.1,964,1180,81.7,16622,3808,488,548,89.1,339,404,83.9,104,148,70.3,10,4.1,5.9,35,62,33,12,85,es  ESP,"MF,DF",26-097,29.1,1180,1137,43,5,3,220,31,66,1,0,1,0,932,118,130,110,988,26,34,5,964,6,18,22,54,es  ESP,"MF,DF",26-097,29.1,65,2.23,49,1,4,3,5,3,14,0.48,10,0,0,0,2,2,0,es  ESP,"MF,DF",26-097,29.1,68,41,23,30,15,24,47,51.1,23,578,168,29.1,117,295,166,60,4,0,56,28,96,22,0,es  ESP,"MF,DF",26-097,29.1,1533,37,264,758,600,99,1492,32,57,56.1,37,1,1136,5689,2798,137,47,17,35,53,1331,1078,81.0,192,es  ESP,"MF,DF",26-097,29.1,6,0,0,52,33,6,66,28,41,0,1,0,205,25,34,42.4
4,Mario Hermoso,es  ESP,DF,25-323,27,26,2271.0,25.2,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.08,0.04,0.08,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,es  ESP,DF,25-323,25.2,1,16,4,25.0,0.63,0.16,0.06,0.25,17.1,0,0,0,1.0,1.0,0.06,0.0,0.0,es  ESP,DF,25-323,25.2,1430,1688,84.7,27625,10172,567,606,93.6,675,756,89.3,180,295,61.0,1,0.3,0.7,7,141,10,0,137,es  ESP,DF,25-323,25.2,1688,1526,162,40,0,121,53,3,0,0,0,0,1219,201,268,1262,219,60,122,1,1430,4,22,48,24,es  ESP,DF,25-323,25.2,21,0.83,20,1,0,0,0,0,3,0.12,3,0,0,0,0,0,0,es  ESP,DF,25-323,25.2,57,35,45,9,3,34,61,55.7,27,220,71,32.3,125,80,15,42,8,0,34,29,86,78,0,es  ESP,DF,25-323,25.2,1930,119,667,1191,163,17,1776,11,16,68.8,11,0,1210,5807,3095,113,21,0,7,10,1373,1332,97.0,8,es  ESP,DF,25-323,25.2,5,0,0,25,29,3,3,29,35,0,0,1,214,36,30,54.5
5,Luis Suárez,uy  URU,FW,34-103,28,26,2159.0,24.0,19.0,2.0,16.0,3.0,3.0,5.0,0.0,0.79,0.08,0.88,0.67,0.75,12.6,10.4,2.5,12.9,0.53,0.11,0.63,0.43,0.54,uy  URU,FW,34-103,24.0,19,80,34,42.5,3.33,1.42,0.2,0.47,16.5,5,3,3,12.6,10.4,0.13,6.4,5.6,uy  URU,FW,34-103,24.0,394,532,74.1,6108,958,239,303,78.9,97,134,72.4,36,50,72.0,2,2.5,-0.5,25,28,18,1,32,uy  URU,FW,34-103,24.0,532,507,25,0,3,113,16,14,0,0,0,0,306,135,91,110,363,25,1,16,394,1,8,19,20,uy  URU,FW,34-103,24.0,58,2.42,38,2,3,8,7,0,8,0.33,3,0,1,1,3,0,0,uy  URU,FW,34-103,24.0,11,4,0,5,6,2,9,22.2,7,130,36,27.7,6,53,71,13,0,0,13,5,16,14,0,uy  URU,FW,34-103,24.0,792,13,47,338,432,154,763,9,31,29.0,13,6,449,1306,716,46,8,10,47,28,1157,624,53.9,210,uy  URU,FW,34-103,24.0,5,0,0,20,35,26,14,5,4,2,0,0,73,22,30,42.3
6,Ángel Correa,ar  ARG,"FW,MF",26-059,34,25,2086.0,23.2,7.0,8.0,7.0,0.0,0.0,3.0,0.0,0.3,0.35,0.65,0.3,0.65,6.3,6.0,4.8,10.8,0.27,0.21,0.48,0.26,0.47,ar  ARG,"FW,MF",26-059,23.2,7,44,18,40.9,1.9,0.78,0.16,0.39,17.4,0,0,0,6.3,6.0,0.14,0.7,1.0,ar  ARG,"FW,MF",26-059,23.2,625,793,78.8,8805,1811,374,442,84.6,181,220,82.3,35,75,46.7,8,4.8,3.2,28,32,28,2,56,ar  ARG,"FW,MF",26-059,23.2,793,763,30,5,3,136,11,33,8,1,4,0,586,113,94,170,587,22,0,7,625,5,8,23,22,ar  ARG,"FW,MF",26-059,23.2,64,2.76,46,2,9,4,2,1,13,0.56,10,0,2,0,1,0,0,ar  ARG,"FW,MF",26-059,23.2,31,26,10,15,6,11,44,25.0,33,435,124,28.5,72,201,162,28,2,0,26,19,50,13,0,ar  ARG,"FW,MF",26-059,23.2,1090,18,145,481,525,142,1061,43,79,54.4,46,5,836,2879,1550,92,32,19,50,57,1123,788,70.2,216,ar  ARG,"FW,MF",26-059,23.2,3,0,0,35,25,11,33,19,26,0,0,0,153,12,37,24.5
7,Kieran Trippier,eng  ENG,DF,30-230,24,24,2115.0,23.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,0.1,0.1,2.6,2.7,0.0,0.11,0.11,0.0,0.11,eng  ENG,DF,30-230,23.5,0,3,1,33.3,0.13,0.04,0.0,0.0,19.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1,eng  ENG,DF,30-230,23.5,1233,1556,79.2,23023,9801,556,618,90.0,508,604,84.1,152,280,54.3,6,2.6,3.4,28,86,47,13,172,eng  ENG,DF,30-230,23.5,1556,1325,231,16,1,157,45,59,35,1,26,1,912,305,339,55,1206,78,180,7,1233,8,17,48,44,eng  ENG,DF,30-230,23.5,59,2.51,40,16,0,0,2,1,9,0.38,8,0,0,0,1,0,0,eng  ENG,DF,30-230,23.5,60,36,35,16,9,24,50,48.0,26,284,94,33.1,129,110,45,48,5,0,43,32,92,56,1,eng  ENG,DF,30-230,23.5,1766,72,485,767,588,15,1540,15,20,75.0,15,4,1063,3555,1947,74,28,2,15,12,1205,1115,92.5,74,eng  ENG,DF,30-230,23.5,0,0,0,25,14,6,59,32,36,0,0,0,211,46,23,66.7
8,Yannick Carrasco,be  BEL,"DF,MF",27-245,26,21,1819.0,20.2,5.0,8.0,5.0,0.0,0.0,6.0,0.0,0.25,0.4,0.64,0.25,0.64,5.1,5.1,5.0,10.1,0.25,0.25,0.5,0.25,0.5,be  BEL,"DF,MF",27-245,20.2,5,35,23,65.7,1.73,1.14,0.14,0.22,17.4,1,0,0,5.1,5.1,0.15,-0.1,-0.1,be  BEL,"DF,MF",27-245,20.2,673,898,74.9,10610,3284,384,440,87.3,233,294,79.3,45,133,33.8,8,5.0,3.0,38,26,37,6,79,be  BEL,"DF,MF",27-245,20.2,898,768,130,40,5,117,29,60,47,23,13,0,647,118,133,103,733,14,43,3,673,5,19,28,32,be  BEL,"DF,MF",27-245,20.2,75,3.71,46,11,12,4,2,0,16,0.79,9,4,3,0,0,0,0,be  BEL,"DF,MF",27-245,20.2,30,20,14,9,7,13,37,35.1,24,287,87,30.3,96,96,95,41,0,0,41,21,51,12,1,be  BEL,"DF,MF",27-245,20.2,1177,23,165,479,628,109,1054,50,91,54.9,55,7,863,5150,3315,200,52,39,39,47,1010,788,78.0,124,be  BEL,"DF,MF",27-245,20.2,6,0,0,25,28,2,60,21,20,0,1,0,143,3,15,16.7
9,Saúl Ñíguez,es  ESP,"MF,DF",26-167,29,19,1780.0,19.8,2.0,1.0,2.0,0.0,1.0,8.0,0.0,0.1,0.05,0.15,0.1,0.15,2.4,1.5,1.8,3.3,0.12,0.09,0.21,0.08,0.17,es  ESP,"MF,DF",26-167,19.8,2,28,10,35.7,1.42,0.51,0.07,0.2,17.1,0,0,1,2.4,1.5,0.05,-0.4,0.5,es  ESP,"MF,DF",26-167,19.8,870,1039,83.7,13913,3540,458,511,89.6,323,388,83.2,63,90,70.0,1,1.8,-0.8,20,58,23,4,63,es  ESP,"MF,DF",26-167,19.8,1039,998,41,10,0,150,13,26,1,1,0,0,724,172,143,711,181,65,29,10,870,4,16,28,20,es  ESP,"MF,DF",26-167,19.8,29,1.47,25,0,2,1,1,0,3,0.15,3,0,0,0,0,0,0,es  ESP,"MF,DF",26-167,19.8,63,46,34,23,6,32,63,50.8,31,357,106,29.7,128,148,81,37,2,0,35,21,84,29,0,es  ESP,"MF,DF",26-167,19.8,1269,40,271,692,353,48,1230,12,17,70.6,13,1,736,3044,1211,54,15,4,23,18,1056,880,83.3,83,es  ESP,"MF,DF",26-167,19.8,8,0,0,38,13,7,26,21,46,0,0,0,170,56,55,50.5
