,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Pierre Højbjerg,dk  DEN,MF,25-229,29,29,2610.0,29.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.03,0.1,0.14,0.03,0.14,0.5,0.5,1.3,1.8,0.02,0.05,0.06,0.02,0.06,dk  DEN,MF,25-229,29.0,1,10,5,50.0,0.34,0.17,0.1,0.2,24.9,0,0,0,0.5,0.5,0.05,0.5,0.5,dk  DEN,MF,25-229,29.0,1763,1987,88.7,33426,8829,702,773,90.8,796,873,91.2,238,305,78.0,3,1.3,1.7,13,181,14,2,141,dk  DEN,MF,25-229,29.0,1987,1907,80,77,2,161,45,8,0,0,0,0,1584,175,228,252,1625,79,3,5,1763,3,28,25,9,dk  DEN,MF,25-229,29.0,39,1.39,31,3,0,2,1,2,6,0.21,5,1,0,0,0,0,0,dk  DEN,MF,25-229,29.0,94,69,48,36,10,51,100,51.0,49,567,162,28.6,236,276,55,40,7,0,33,31,125,62,0,dk  DEN,MF,25-229,29.0,2246,96,588,1530,248,16,2181,15,26,57.7,16,2,1525,6837,3182,112,23,1,21,20,1671,1605,96.1,26
1,Hugo Lloris,fr  FRA,GK,34-086,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr  FRA,GK,34-086,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,fr  FRA,GK,34-086,29.0,554,783,70.8,16265,10456,145,146,99.3,197,201,98.0,209,433,48.3,0,0.0,0.0,0,3,0,0,0,fr  FRA,GK,34-086,29.0,783,485,298,92,0,38,12,0,0,0,0,0,372,33,378,475,138,1,0,110,554,1,10,3,0,fr  FRA,GK,34-086,29.0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0,fr  FRA,GK,34-086,29.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,fr  FRA,GK,34-086,29.0,822,742,821,1,0,0,529,0,0,,0,0,314,1279,740,0,0,0,0,0,298,296,99.3,0
2,Son Heung-min,kr  KOR,FW,28-257,28,28,2350.0,26.1,13.0,9.0,13.0,0.0,0.0,0.0,0.0,0.5,0.34,0.84,0.5,0.84,7.8,7.8,7.5,15.3,0.3,0.29,0.59,0.3,0.59,kr  KOR,FW,28-257,26.1,13,51,27,52.9,1.95,1.03,0.25,0.48,17.1,1,0,0,7.8,7.8,0.15,5.2,5.2,kr  KOR,FW,28-257,26.1,647,853,75.8,10398,2437,355,416,85.3,195,247,78.9,67,137,48.9,9,7.5,1.5,55,24,20,2,48,kr  KOR,FW,28-257,26.1,853,754,99,26,3,132,40,38,65,34,26,1,573,136,144,119,668,37,5,3,647,3,9,18,26,kr  KOR,FW,28-257,26.1,78,2.99,49,19,6,1,3,0,12,0.46,9,2,1,0,0,0,0,kr  KOR,FW,28-257,26.1,17,7,7,7,3,7,54,13.0,47,453,100,22.1,91,236,126,28,3,0,25,19,36,3,0,kr  KOR,FW,28-257,26.1,1095,12,127,463,577,97,998,30,46,65.2,30,3,743,4260,2252,120,39,25,35,41,1236,791,64.0,196
3,Harry Kane,eng  ENG,FW,27-237,27,27,2363.0,26.3,17.0,13.0,13.0,4.0,4.0,1.0,0.0,0.65,0.5,1.14,0.5,0.99,13.9,11.6,6.3,17.9,0.55,0.25,0.8,0.46,0.71,eng  ENG,FW,27-237,26.3,17,100,35,35.0,3.81,1.33,0.13,0.37,17.9,10,4,4,13.9,11.6,0.12,2.1,1.4,eng  ENG,FW,27-237,26.3,476,668,71.3,9341,3110,207,265,78.1,178,233,76.4,79,126,62.7,13,6.3,6.7,36,83,33,6,107,eng  ENG,FW,27-237,26.3,668,635,33,8,12,166,39,22,0,0,0,0,347,164,157,93,464,48,6,9,476,5,8,20,29,eng  ENG,FW,27-237,26.3,84,3.33,52,2,13,6,9,2,20,0.79,13,1,4,0,2,0,0,eng  ENG,FW,27-237,26.3,13,8,3,8,2,4,16,25.0,12,296,71,24.0,20,145,131,23,9,1,14,12,25,32,0,eng  ENG,FW,27-237,26.3,1016,39,115,538,442,117,977,27,50,54.0,27,4,658,3459,1917,111,43,18,53,52,1243,759,61.1,156
4,Tanguy Ndombele,fr  FRA,MF,24-084,26,24,1752.0,19.5,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.15,0.05,0.21,0.15,0.21,1.2,1.2,1.9,3.1,0.06,0.1,0.17,0.06,0.17,fr  FRA,MF,24-084,19.5,3,16,7,43.8,0.82,0.36,0.19,0.43,16.4,0,0,0,1.2,1.2,0.07,1.8,1.8,fr  FRA,MF,24-084,19.5,796,941,84.6,12766,3358,421,476,88.4,273,325,84.0,67,87,77.0,1,1.9,-0.9,13,80,16,0,80,fr  FRA,MF,24-084,19.5,941,907,34,14,6,128,13,6,0,0,0,0,777,99,65,85,800,34,4,6,796,2,4,24,21,fr  FRA,MF,24-084,19.5,42,2.26,30,0,4,1,6,1,7,0.38,6,0,0,1,0,0,0,fr  FRA,MF,24-084,19.5,40,26,10,18,12,9,33,27.3,24,353,110,31.2,105,180,68,28,4,0,24,21,61,17,0,fr  FRA,MF,24-084,19.5,1179,30,216,757,289,31,1151,52,72,72.2,54,5,871,4037,2234,120,31,8,22,38,971,860,88.6,65
5,Eric Dier,eng  ENG,DF,27-066,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,0.03,0.01,0.04,0.03,0.04,eng  ENG,DF,27-066,21.0,0,12,2,16.7,0.57,0.1,0.0,0.0,22.8,7,0,0,0.5,0.5,0.05,-0.5,-0.5,eng  ENG,DF,27-066,21.0,1015,1210,83.9,23232,7561,272,302,90.1,514,558,92.1,221,329,67.2,0,0.2,-0.2,3,52,5,0,49,eng  ENG,DF,27-066,21.0,1210,1178,32,32,0,100,43,1,0,0,0,0,868,90,252,200,905,67,0,1,1015,2,20,11,15,eng  ENG,DF,27-066,21.0,10,0.48,9,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,eng  ENG,DF,27-066,21.0,18,10,11,6,1,7,14,50.0,7,112,34,30.4,72,36,4,39,28,0,11,14,32,138,0,eng  ENG,DF,27-066,21.0,1435,271,868,614,42,14,1396,3,3,100.0,3,0,868,4954,2943,55,9,2,2,2,990,975,98.5,4
6,Toby Alderweireld,be  BEL,DF,32-020,18,18,1610.0,17.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.02,0.01,0.04,0.02,0.04,be  BEL,DF,32-020,17.9,1,6,2,33.3,0.34,0.11,0.17,0.5,8.1,0,0,0,0.4,0.4,0.07,0.6,0.6,be  BEL,DF,32-020,17.9,776,940,82.6,18277,4922,183,198,92.4,400,432,92.6,187,293,63.8,0,0.2,-0.2,3,52,4,1,36,be  BEL,DF,32-020,17.9,940,910,30,29,2,64,30,1,0,0,0,0,629,78,233,186,675,58,1,4,776,0,15,10,9,be  BEL,DF,32-020,17.9,11,0.61,8,0,0,3,0,0,3,0.17,3,0,0,0,0,0,0,be  BEL,DF,32-020,17.9,32,14,19,13,0,13,24,54.2,11,155,51,32.9,93,59,3,36,21,1,15,4,36,129,0,be  BEL,DF,32-020,17.9,1144,213,675,512,25,7,1115,2,2,100.0,2,0,669,3398,1630,36,3,0,2,1,762,752,98.7,2
7,Sergio Reguilón,es  ESP,DF,24-096,18,17,1461.0,16.2,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.18,0.18,0.0,0.18,1.2,1.2,1.2,2.4,0.07,0.08,0.15,0.07,0.15,es  ESP,DF,24-096,16.2,0,17,3,17.6,1.05,0.18,0.0,0.0,18.5,0,0,0,1.2,1.2,0.07,-1.2,-1.2,es  ESP,DF,24-096,16.2,638,832,76.7,11093,3685,311,352,88.4,266,331,80.4,51,119,42.9,3,1.2,1.8,10,32,13,8,43,es  ESP,DF,24-096,16.2,832,723,109,12,0,79,17,40,1,1,0,0,529,117,186,650,52,23,96,2,638,2,12,22,24,es  ESP,DF,24-096,16.2,28,1.79,20,0,1,5,2,0,7,0.45,7,0,0,0,0,0,0,es  ESP,DF,24-096,16.2,38,21,26,10,2,13,30,43.3,17,250,69,27.6,128,83,39,36,5,0,31,19,57,48,0,es  ESP,DF,24-096,16.2,1041,64,330,461,312,31,934,16,28,57.1,20,2,661,2900,1739,65,22,4,15,21,687,626,91.1,53
8,Davinson Sánchez,co  COL,DF,24-283,16,15,1306.0,14.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.08,0.0,0.08,0.08,0.08,co  COL,DF,24-283,14.5,0,6,0,0.0,0.41,0.0,0.0,,9.3,0,0,0,1.1,1.1,0.18,-1.1,-1.1,co  COL,DF,24-283,14.5,731,835,87.5,15872,4029,185,203,91.1,407,441,92.3,132,174,75.9,0,0.0,0.0,0,19,1,0,27,co  COL,DF,24-283,14.5,835,815,20,19,0,70,15,0,0,0,0,0,674,56,105,100,669,37,1,5,731,0,5,8,8,co  COL,DF,24-283,14.5,5,0.37,3,1,0,1,0,0,1,0.07,1,0,0,0,0,0,0,co  COL,DF,24-283,14.5,33,22,25,8,0,15,26,57.7,11,125,39,31.2,82,37,6,16,10,0,6,12,45,90,0,co  COL,DF,24-283,14.5,989,149,564,461,14,6,970,0,0,,0,0,633,3036,1422,33,3,0,2,2,687,677,98.5,2
9,Moussa Sissoko,fr  FRA,MF,31-218,22,14,1463.0,16.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,fr  FRA,MF,31-218,16.3,0,2,1,50.0,0.12,0.06,0.0,0.0,11.0,0,0,0,0.3,0.3,0.16,-0.3,-0.3,fr  FRA,MF,31-218,16.3,613,725,84.6,10921,2365,270,311,86.8,265,292,90.8,66,97,68.0,0,0.5,-0.5,5,43,6,2,32,fr  FRA,MF,31-218,16.3,725,680,45,10,1,77,18,10,0,0,0,0,535,89,101,62,576,38,35,4,613,0,7,18,12,fr  FRA,MF,31-218,16.3,16,0.99,15,0,0,0,1,0,1,0.06,1,0,0,0,0,0,0,fr  FRA,MF,31-218,16.3,23,18,19,3,1,7,21,33.3,14,212,65,30.7,120,71,21,23,4,0,19,16,39,31,0,fr  FRA,MF,31-218,16.3,854,60,256,504,161,9,809,17,29,58.6,19,0,528,2759,1386,59,25,3,8,14,595,539,90.6,27
