,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-14,22:00,La Liga,Matchweek 1,Sat,Home,D,0,0,Espanyol,0.9,0.8,53,6715,David García,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
1,2021-08-23,22:00,La Liga,Matchweek 2,Mon,Home,D,0,0,Celta Vigo,2.0,0.2,47,7189,David García,4-1-4-1,Alberola Rojas,Match Report,
2,2021-08-29,19:30,La Liga,Matchweek 3,Sun,Away,W,3,2,Cádiz,2.5,1.7,72,7452,Oier Sanjurjo,4-1-4-1,Adrián Cordero,Match Report,
3,2021-09-12,16:15,La Liga,Matchweek 4,Sun,Home,L,1,4,Valencia,0.7,0.9,58,13940,David García,4-1-4-1,Ricardo de Burgos,Match Report,
4,2021-09-18,21:00,La Liga,Matchweek 5,Sat,Away,W,2,0,Alavés,1.6,0.6,45,8176,Roberto Torres,4-3-3,Alejandro Hernández,Match Report,
5,2021-09-23,19:30,La Liga,Matchweek 6,Thu,Home,L,1,3,Betis,0.9,2.8,49,13758,Roberto Torres,4-3-3,Juan Martínez,Match Report,
6,2021-09-26,14:00,La Liga,Matchweek 7,Sun,Away,W,3,2,Mallorca,0.9,2.2,45,9359,Oier Sanjurjo,4-1-4-1,Miguel Ángel Ortiz Arias,Match Report,
7,2021-10-02,14:00,La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,0.6,0.3,51,19238,Roberto Torres,4-3-3,Mario Melero,Match Report,
8,2021-10-17,18:30,La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,0.8,0.7,28,14831,Unai García,5-3-2,Adrián Cordero,Match Report,
9,2021-10-22,21:00,La Liga,Matchweek 10,Fri,Home,D,1,1,Granada,1.1,0.7,42,21128,Oier Sanjurjo,4-1-4-1,Alejandro Muñíz,Match Report,
10,2021-10-27,21:30,La Liga,Matchweek 11,Wed,Away,D,0,0,Real Madrid,0.6,0.9,26,35691,David García,5-3-2,César Soto,Match Report,
11,2021-10-30,16:15,La Liga,Matchweek 12,Sat,Away,L,0,2,Sevilla,0.8,2.5,37,20335,Oier Sanjurjo,4-4-2,Carlos del Cerro,Match Report,
12,2021-11-07,18:30,La Liga,Matchweek 13,Sun,Home,L,0,2,Real Sociedad,0.6,1.4,44,21741,Unai García,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
13,2021-11-20,18:30,La Liga,Matchweek 14,Sat,Away,L,0,1,Atlético Madrid,0.6,1.4,40,53261,David García,5-3-2,José Sánchez,Match Report,
14,2021-11-29,21:00,La Liga,Matchweek 15,Mon,Home,D,1,1,Elche,1.9,1.2,50,16485,Oier Sanjurjo,4-4-2,Isidro Díaz de Mera,Match Report,
15,2021-12-02,19:00,Copa del Rey,First round,Thu,Away,W,4,0,CF San Agustín de Guadalix,,,75,1700,Roberto Torres,4-3-3,Santiago Jaime,Match Report,
16,2021-12-05,18:30,La Liga,Matchweek 16,Sun,Away,D,0,0,Levante,0.4,0.6,42,15361,Unai García,5-3-2,Valentín Pizarro,Match Report,
17,2021-12-12,16:15,La Liga,Matchweek 17,Sun,Home,D,2,2,Barcelona,0.3,0.9,39,21427,David García,4-1-4-1,Juan Martínez,Match Report,
18,2021-12-16,21:00,Copa del Rey,Second round,Thu,Away,W,2,1,La Coruña,,,57,11000,Oier Sanjurjo,4-4-2,Adrián Cordero,Match Report,
19,2021-12-19,18:30,La Liga,Matchweek 18,Sun,Away,L,0,1,Getafe,0.6,1.4,51,8126,Unai García,4-3-3,José Luis Munuera,Match Report,
20,2022-01-03,21:00,La Liga,Matchweek 19,Mon,Home,L,1,3,Athletic Club,1.1,1.4,57,16206,David García,3-5-2,Miguel Ángel Ortiz Arias,Match Report,
21,2022-01-06,16:00,Copa del Rey,Round of 32,Thu,Away,L,0,1,Girona,,,52,11056,Oier Sanjurjo,4-3-3,Alberola Rojas,Match Report,
22,2022-01-09,18:30,La Liga,Matchweek 20,Sun,Home,W,2,0,Cádiz,2.1,0.3,59,16292,David García,4-4-2,Ricardo de Burgos,Match Report,
23,2022-01-19,19:00,La Liga,Matchweek 21,Wed,Away,L,0,2,Celta Vigo,0.7,1.2,53,8837,Kike Barja,4-3-3,Adrián Cordero,Match Report,
24,2022-01-23,14:00,La Liga,Matchweek 22,Sun,Away,W,2,0,Granada,2.3,0.8,45,12471,David García,4-4-2,Santiago Jaime,Match Report,
25,2022-02-05,21:00,La Liga,Matchweek 23,Sat,Home,D,0,0,Sevilla,0.5,1.3,27,17635,David García,4-1-4-1,Valentín Pizarro,Match Report,
