,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,21,Luka Modrić,Real Madrid,Blocked,17.0,Left Foot,,Luka Modrić,Dribble,,
1,34,Lucas Vázquez,Real Madrid,Saved,14.0,Right Foot,Half volley,Federico Valverde,Shot,,
2,35,Éder Militão,Real Madrid,Blocked,11.0,Right Foot,Half volley,Federico Valverde,Shot,,
3,,,,,,,,,,,
4,77,Marcelo,Real Madrid,Off Target,19.0,Left Foot,Half volley,Isco,Shot,,
5,90+3,Martin Braithwaite,Barcelona,Off Target,12.0,Head,,Jordi Alba,Pass (Live),Clément Lenglet,Pass (Live)
6,90+4,Marc-André ter Stegen,Barcelona,Blocked,18.0,Right Foot,Half volley,Ilaix,Shot,,
7,90+4,Jordi Alba,Barcelona,Off Target,19.0,Left Foot,Volley,Marc-André ter Stegen,Shot,,
