,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Ousmane Dembélé,11.0,fr  FRA,"FW,WB",23-330,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,2.0,15.4,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,Martin Braithwaite,9.0,dk  DEN,FW,29-309,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,Pedri,16.0,es  ESP,"LW,CM",18-136,80.0,2.0,1,0.0,0.0,2.0,2.0,3.0,66.7,1.0,22.0,4.0,18.2,8.0,6.0,8.0,1.0,0.0,0.0,1.0,1,3.0,0.0,0.0
3,Francisco Trincão,17.0,pt  POR,CM,21-102,10.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0
4,Lionel Messi,10.0,ar  ARG,"RW,FW",33-290,90.0,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,7.0,1.0,14.3,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0
5,Frenkie de Jong,21.0,nl  NED,"DM,CM",23-333,90.0,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,12.0,5.0,41.7,2.0,3.0,7.0,3.0,1.0,0.0,2.0,1,2.0,1.0,0.0
6,Sergio Busquets,5.0,es  ESP,DM,32-268,63.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,3.0,18.8,5.0,6.0,5.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0
7,Sergi Roberto,20.0,es  ESP,"DM,WB",29-062,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0
8,Jordi Alba,18.0,es  ESP,WB,32-020,90.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,33.3,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1,1.0,2.0,0.0
9,Sergiño Dest,2.0,us  USA,WB,20-158,45.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,3.0,30.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0
10,Antoine Griezmann,7.0,fr  FRA,"FW,CM",30-020,45.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,50.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
11,Clément Lenglet,15.0,fr  FRA,CB,25-297,90.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,3.0,23.1,7.0,5.0,1.0,2.0,1.0,0.0,1.0,0,1.0,2.0,0.0
12,Ronald Araújo,4.0,uy  URU,CB,22-034,71.0,2.0,2,1.0,0.0,1.0,1.0,1.0,100.0,0.0,11.0,6.0,54.5,4.0,5.0,2.0,3.0,1.0,0.0,2.0,0,2.0,5.0,0.0
13,Ilaix,27.0,es  ESP,CB,18-081,19.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
14,Óscar Mingueza,28.0,es  ESP,CB,21-332,90.0,2.0,2,1.0,1.0,0.0,0.0,4.0,0.0,4.0,17.0,10.0,58.8,10.0,6.0,1.0,2.0,0.0,0.0,2.0,0,2.0,4.0,0.0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-345,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
16,Gerard Piqué,3.0,es  ESP,DF,34-067,,,0,,,,,,,,,,,,,,,,,,0,,,
17,17 Players,,,,,990.0,11.0,8,4.0,2.0,5.0,6.0,18.0,33.3,12.0,144.0,43.0,29.9,46.0,43.0,55.0,16.0,5.0,0.0,11.0,4,15.0,18.0,0.0
