,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Karim Benzema,9.0,fr  FRA,FW,33-112,71,26,24,2,0,0,7,0,0,0,0,0,0,22,2,2,2,23,0,0,0,25,0,0,0,0
1,Mariano,24.0,do  DOM,FW,27-252,19,5,5,0,0,0,4,0,0,0,0,0,0,1,3,1,0,1,1,0,0,1,0,0,0,1
2,Vinicius Júnior,20.0,br  BRA,LM,20-272,71,24,24,0,0,0,4,0,2,0,0,0,0,18,5,1,2,20,0,0,1,15,0,0,0,3
3,Marcelo,12.0,br  BRA,LM,32-333,19,6,5,1,0,0,2,0,1,0,0,0,0,2,4,0,4,0,1,1,0,4,0,0,0,0
4,Toni Kroos,8.0,de  GER,CM,31-096,71,36,29,7,3,1,5,3,2,4,1,2,0,26,5,5,10,25,0,0,1,32,0,1,1,0
5,Isco,22.0,es  ESP,CM,28-354,19,4,4,0,0,0,1,0,0,0,0,0,0,2,1,1,0,3,0,0,1,3,0,0,0,1
6,Luka Modrić,10.0,hr  CRO,CM,35-213,90,48,45,3,2,2,12,0,0,1,0,0,0,35,9,4,3,43,1,0,1,40,0,1,2,0
7,Federico Valverde,15.0,uy  URU,RM,22-262,60,25,23,2,0,0,3,0,0,0,0,0,0,14,7,4,2,19,1,2,0,15,0,1,1,3
8,Marco Asensio,11.0,es  ESP,RM,25-079,30,9,9,0,0,0,0,0,1,0,0,0,0,6,2,1,6,3,0,0,0,8,0,1,0,0
9,Casemiro,14.0,br  BRA,DM,29-046,89,36,36,0,0,0,4,1,0,0,0,0,0,23,2,11,0,33,2,0,0,25,0,1,0,1
10,Ferland Mendy,23.0,fr  FRA,LB,25-306,90,26,19,7,2,0,2,0,0,0,0,0,0,19,2,5,10,11,0,5,0,20,0,2,0,0
11,Nacho,6.0,es  ESP,CB,31-082,90,19,19,0,0,0,2,0,0,0,0,0,0,13,4,2,7,12,0,0,0,14,0,1,0,0
12,Éder Militão,3.0,br  BRA,CB,23-082,90,22,22,0,0,0,2,0,0,0,0,0,0,18,1,3,2,20,0,0,0,18,0,2,0,0
13,Lucas Vázquez,17.0,es  ESP,RB,29-283,42,21,20,1,0,0,5,0,1,0,0,0,0,15,1,5,2,17,1,1,0,18,0,0,0,1
14,Álvaro Odriozola,19.0,es  ESP,RB,25-117,48,21,15,6,0,0,1,0,1,0,0,0,0,12,5,4,1,14,0,6,0,14,0,1,0,1
15,Thibaut Courtois,1.0,be  BEL,GK,28-334,90,27,20,7,3,0,2,1,0,0,0,0,0,12,0,15,15,4,0,0,4,17,0,4,0,0
16,16 Players,,,,,989,355,319,36,10,3,56,5,8,5,1,2,0,238,53,64,66,248,7,15,8,269,0,15,4,11
