,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Luis Abram,pe  PER,DF,Granada,25-224,1996,2.7,43,42,1,1,0,2,0,0,0,0,0,0,33,3,7,33,5,3,0,0,36,0,0,1,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,5.8,462,377,85,17,2,33,24,28,9,0,9,0,285,65,112,350,40,9,59,0,376,0,8,19,4
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,3.8,148,119,29,3,0,16,6,13,1,0,0,0,75,38,35,9,101,11,25,0,112,0,5,8,5
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2.0,46,23,23,7,0,0,1,0,0,0,0,0,28,1,17,16,18,0,0,8,34,0,4,0,0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,1.0,49,49,0,0,0,4,2,0,0,0,0,0,34,5,10,8,37,3,0,1,42,0,1,0,1
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,4.0,152,112,40,4,0,20,7,6,0,0,0,0,70,41,41,6,95,10,36,0,105,0,6,3,9
6,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,0.9,61,61,0,0,0,9,2,0,0,0,0,0,48,5,8,8,48,2,0,0,54,0,2,1,1
7,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7.0,455,414,41,14,1,44,3,18,3,3,0,0,361,42,52,352,68,10,23,0,408,2,5,3,4
8,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,7.3,227,205,22,13,0,49,17,10,8,4,3,0,116,29,82,15,189,14,1,0,157,1,11,3,5
9,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3.0,254,211,43,5,0,20,6,14,0,0,0,0,156,61,37,178,27,11,38,0,206,2,1,8,11
