,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Luis Abram,pe  PER,DF,Granada,25-224,1996,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,5.8,25,4.30,17,7,0,0,1,0,1,0.17,0,1,0,0,0,0
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,3.8,3,0.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,1.0,1,0.97,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,4.0,2,0.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7.0,18,2.57,15,1,0,0,0,2,6,0.86,6,0,0,0,0,0
8,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,7.3,11,1.50,6,4,1,0,0,0,3,0.41,1,2,0,0,0,0
9,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3.0,8,2.67,7,0,1,0,0,0,2,0.67,2,0,0,0,0,0
10,Raúl Albiol,es  ESP,DF,Villarreal,36-035,1985,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,Paco Alcácer,es  ESP,FW,Villarreal,28-040,1993,1.8,6,3.27,6,0,0,0,0,0,2,1.09,2,0,0,0,0,0
12,Omar Alderete,py  PAR,DF,Valencia,24-287,1996,7.0,4,0.57,4,0,0,0,0,0,1,0.14,1,0,0,0,0,0
13,Iván Alejo,es  ESP,MF,Cádiz,26-241,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Carles Aleñá,es  ESP,"MF,FW",Getafe,23-277,1998,5.4,13,2.39,10,1,0,1,1,0,2,0.37,2,0,0,0,0,0
15,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19-323,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Amath,sn  SEN,"FW,MF",Mallorca,25-085,1996,3.5,9,2.56,3,0,1,2,2,1,1,0.28,0,0,0,1,0,0
17,Florin Andone,ro  ROU,"FW,MF",Cádiz,28-181,1993,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,José Ángel,es  ESP,DF,Osasuna,32-034,1989,1.2,4,3.40,4,0,0,0,0,0,1,0.85,1,0,0,0,0,0
19,Josep Antoni Gayá,es  ESP,DF,Mallorca,21-094,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Mauro Arambarri,uy  URU,MF,Getafe,26-009,1995,4.2,9,2.16,4,1,1,0,2,1,1,0.24,0,0,0,0,0,1
21,Néstor Araujo,mx  MEX,DF,Celta Vigo,30-041,1991,6.9,2,0.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
22,Ronald Araújo,uy  URU,DF,Barcelona,22-216,1999,4.9,1,0.21,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
23,Jesús Areso,es  ESP,DF,Osasuna,22-099,1999,0.9,2,2.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Santiago Arias,co  COL,DF,Granada,29-269,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Santiago Arzamendia,py  PAR,MF,Cádiz,23-157,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Sergio Asenjo,es  ESP,GK,Villarreal,32-103,1989,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Marco Asensio,es  ESP,"MF,FW",Real Madrid,25-261,1996,2.5,10,4.04,4,3,1,1,1,0,1,0.40,1,0,0,0,0,0
28,Iago Aspas,es  ESP,FW,Celta Vigo,34-069,1987,7.8,21,2.68,19,0,0,1,1,0,2,0.25,1,0,0,1,0,0
29,Ezequiel Ávila,ar  ARG,FW,Osasuna,27-245,1994,2.4,7,2.92,5,0,0,0,2,0,2,0.83,1,0,0,0,1,0
30,Iddrisu Baba,gh  GHA,MF,Mallorca,25-260,1996,7.1,5,0.71,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
31,Carlos Bacca,co  COL,FW,Granada,35-031,1986,3.6,8,2.22,6,0,0,1,1,0,2,0.55,1,0,0,0,1,0
32,Miguel Baeza,es  ESP,DF,Celta Vigo,21-196,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Alejandro Balde,es  ESP,DF,Barcelona,17-356,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
