,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Luis Abram,pe  PER,DF,Granada,25-224,1996,4,3,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,6,6,523,5.8,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.7,0.7,1.2,1.9,0.12,0.21,0.33,0.12,0.33
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,4,4,338,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,3,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,5,4,358,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
6,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,1,1,81,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
7,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7,7,630,7.0,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.2,0.2,1.2,1.4,0.03,0.17,0.21,0.03,0.21
8,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,8,7,659,7.3,0,1,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,0.3,0.9,0.09,0.04,0.13,0.09,0.13
9,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.4,0.4,0.7,1.2,0.15,0.24,0.39,0.15,0.39
10,Raúl Albiol,es  ESP,DF,Villarreal,36-035,1985,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
11,Paco Alcácer,es  ESP,FW,Villarreal,28-040,1993,3,2,165,1.8,0,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,0.3,0.3,1.3,1.6,0.15,0.69,0.85,0.15,0.85
12,Omar Alderete,py  PAR,DF,Valencia,24-287,1996,8,8,630,7.0,1,0,1,0,0,5,0,0.14,0.00,0.14,0.14,0.14,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07
13,Iván Alejo,es  ESP,MF,Cádiz,26-241,1995,1,0,31,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
14,Carles Aleñá,es  ESP,"MF,FW",Getafe,23-277,1998,7,7,490,5.4,0,2,0,0,0,4,1,0.00,0.37,0.37,0.00,0.37,0.2,0.2,0.7,0.8,0.04,0.12,0.16,0.04,0.16
15,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19-323,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
16,Amath,sn  SEN,"FW,MF",Mallorca,25-085,1996,6,3,317,3.5,0,1,0,0,0,3,0,0.00,0.28,0.28,0.00,0.28,0.4,0.4,0.0,0.4,0.11,0.01,0.12,0.11,0.12
17,Florin Andone,ro  ROU,"FW,MF",Cádiz,28-181,1993,2,1,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
18,José Ángel,es  ESP,DF,Osasuna,32-034,1989,5,1,106,1.2,1,1,1,0,0,0,0,0.85,0.85,1.70,0.85,1.70,0.0,0.0,0.3,0.3,0.04,0.22,0.26,0.04,0.26
19,Josep Antoni Gayá,es  ESP,DF,Mallorca,21-094,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Mauro Arambarri,uy  URU,MF,Getafe,26-009,1995,5,5,375,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.11,0.02,0.13,0.11,0.13
21,Néstor Araujo,mx  MEX,DF,Celta Vigo,30-041,1991,7,7,625,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
22,Ronald Araújo,uy  URU,DF,Barcelona,22-216,1999,7,4,438,4.9,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.3,0.3,0.0,0.3,0.07,0.00,0.07,0.07,0.07
23,Jesús Areso,es  ESP,DF,Osasuna,22-099,1999,1,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06
24,Santiago Arias,co  COL,DF,Granada,29-269,1992,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
25,Santiago Arzamendia,py  PAR,MF,Cádiz,23-157,1998,3,2,136,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
26,Sergio Asenjo,es  ESP,GK,Villarreal,32-103,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
27,Marco Asensio,es  ESP,"MF,FW",Real Madrid,25-261,1996,6,2,223,2.5,3,0,3,0,0,0,0,1.21,0.00,1.21,1.21,1.21,1.4,1.4,0.6,2.0,0.55,0.26,0.81,0.55,0.81
