,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Luis Abram,pe  PER,DF,Granada,25-224,1996,2.7,3,2,2,0,1,0,1,0.0,1,12,6,50.0,3,8,1,6,2,0,4,5,8,18,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,5.8,12,6,7,3,2,5,8,62.5,3,61,17,27.9,29,25,7,9,1,0,8,9,21,7,0
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,3.8,11,6,6,2,3,4,10,40.0,6,54,12,22.2,21,24,9,13,2,0,11,7,18,15,0
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,1.0,1,1,1,0,0,0,0,,0,12,3,25.0,6,6,0,0,0,0,0,0,1,11,1
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,4.0,8,4,7,1,0,3,6,50.0,3,63,17,27.0,36,21,6,6,0,0,6,7,15,10,0
6,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,0.9,4,2,1,2,1,1,2,50.0,1,19,6,31.6,7,9,3,2,0,0,2,2,6,1,0
7,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7.0,11,8,7,2,2,5,8,62.5,3,69,23,33.3,34,27,8,8,2,0,6,12,23,20,0
8,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,7.3,20,12,10,6,4,5,12,41.7,7,141,42,29.8,75,52,14,18,4,0,14,13,33,32,0
9,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3.0,4,3,1,3,0,1,6,16.7,5,33,13,39.4,13,13,7,10,2,0,8,8,12,7,0
10,Raúl Albiol,es  ESP,DF,Villarreal,36-035,1985,5.0,7,5,6,1,0,2,2,100.0,0,32,13,40.6,20,10,2,5,1,0,4,8,15,32,0
11,Paco Alcácer,es  ESP,FW,Villarreal,28-040,1993,1.8,2,1,0,1,1,1,1,100.0,0,24,7,29.2,1,10,13,0,0,0,0,3,5,0,0
12,Omar Alderete,py  PAR,DF,Valencia,24-287,1996,7.0,14,10,8,6,0,8,16,50.0,8,51,20,39.2,37,14,0,10,6,0,4,16,30,58,0
13,Iván Alejo,es  ESP,MF,Cádiz,26-241,1995,0.3,2,2,2,0,0,0,3,0.0,3,13,3,23.1,8,5,0,1,0,0,1,0,2,1,0
14,Carles Aleñá,es  ESP,"MF,FW",Getafe,23-277,1998,5.4,8,4,1,5,2,3,9,33.3,6,114,27,23.7,19,62,33,3,0,0,3,5,13,1,0
