,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2,2,180,2.0,1,0.50,5,4,80.0,0,2,0,1,50.0,0,0,0,0,
1,Sergio Asenjo,es  ESP,GK,Villarreal,32-103,1989,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
2,Yassine Bounou,ma  MAR,GK,Sevilla,30-187,1991,6,6,540,6.0,3,0.50,13,10,76.9,3,2,1,3,50.0,1,0,1,0,100.0
3,Claudio Bravo,cl  CHI,GK,Betis,38-179,1983,3,3,270,3.0,3,1.00,10,7,70.0,2,1,0,1,33.3,0,0,0,0,
4,Cárdenas,es  ESP,GK,Levante,24-195,1997,3,3,270,3.0,4,1.33,6,2,33.3,0,1,2,0,0.0,0,0,0,0,
5,Kiko Casilla,es  ESP,GK,Elche,35-007,1986,8,8,720,8.0,8,1.00,33,25,75.8,2,3,3,3,37.5,0,0,0,0,
6,Jasper Cillessen,nl  NED,GK,Valencia,32-170,1989,2,2,180,2.0,1,0.50,5,4,80.0,0,2,0,1,50.0,0,0,0,0,
7,Thibaut Courtois,be  BEL,GK,Real Madrid,29-151,1992,8,8,720,8.0,10,1.25,32,23,71.9,5,2,1,2,25.0,1,1,0,0,0.0
8,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,27-288,1993,8,7,702,7.8,8,1.03,26,21,80.8,4,1,2,2,28.6,4,3,1,0,25.0
9,Matías Dituro,ar  ARG,GK,Celta Vigo,34-154,1987,8,8,720,8.0,11,1.37,33,23,69.7,2,1,5,3,37.5,4,1,3,0,75.0
10,Marko Dmitrović,rs  SRB,GK,Sevilla,29-258,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
11,Aarón Escandell,es  ESP,GK,Granada,26-012,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0
12,Aitor Fernández,es  ESP,GK,Levante,30-159,1991,5,5,446,5.0,9,1.82,31,23,74.2,0,3,2,0,0.0,1,1,0,0,0.0
13,Dominik Greif,sk  SVK,GK,Mallorca,24-186,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
14,Sergio Herrera,es  ESP,GK,Osasuna,28-126,1993,8,8,720,8.0,11,1.37,29,20,65.5,4,2,2,4,50.0,1,1,0,0,0.0
15,Jeremías Ledesma,ar  ARG,GK,Cádiz,28-238,1993,8,8,720,8.0,11,1.37,32,23,75.0,1,4,3,2,25.0,3,3,0,0,0.0
