,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Luis Abram,pe  PER,DF,Granada,25-224,1996,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,5.8,0,3,2,66.7,0.52,0.34,0.00,0.00,23.6,0,0,0,0.7,0.7,0.23,-0.7,-0.7
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,3.8,0,2,0,0.0,0.53,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,0.9,0,1,0,0.0,1.11,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0
7,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7.0,0,6,0,0.0,0.86,0.00,0.00,,25.8,3,0,0,0.2,0.2,0.04,-0.2,-0.2
8,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,22.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6
9,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3.0,0,2,0,0.0,0.67,0.00,0.00,,18.0,0,0,0,0.4,0.4,0.22,-0.4,-0.4
10,Raúl Albiol,es  ESP,DF,Villarreal,36-035,1985,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Paco Alcácer,es  ESP,FW,Villarreal,28-040,1993,1.8,0,2,0,0.0,1.09,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
12,Omar Alderete,py  PAR,DF,Valencia,24-287,1996,7.0,1,6,2,33.3,0.86,0.29,0.17,0.50,12.5,0,0,0,0.4,0.4,0.06,+0.6,+0.6
13,Iván Alejo,es  ESP,MF,Cádiz,26-241,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Carles Aleñá,es  ESP,"MF,FW",Getafe,23-277,1998,5.4,0,7,0,0.0,1.29,0.00,0.00,,23.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
15,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19-323,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Amath,sn  SEN,"FW,MF",Mallorca,25-085,1996,3.5,0,4,1,25.0,1.14,0.28,0.00,0.00,18.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
17,Florin Andone,ro  ROU,"FW,MF",Cádiz,28-181,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
