,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Abdelkabir Abqar,ma  MAR,DF,Alavés,22-213,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
1,Luis Abram,pe  PER,DF,Granada,25-224,1996,4,244,61,33.9,2.7,3,71,1,1,32,4,1.25,4,1,+3,+1.11,+2.81,1.0,3.4,-2.4,-0.87,+0.37
2,Marcos Acuña,ar  ARG,DF,Sevilla,29-346,1991,6,523,87,83.0,5.8,6,87,5,0,,1,1.83,6,2,+4,+0.69,-1.84,9.2,3.6,+5.6,+0.96,+0.30
3,Martin Agirregabiria,es  ESP,DF,Alavés,25-152,1996,4,338,85,53.7,3.8,4,85,2,0,,3,0.75,2,6,-4,-1.07,+0.78,3.1,6.1,-3.0,-0.81,-0.11
4,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2,180,90,25.0,2.0,2,90,2,0,,2,1.00,1,1,0,0.00,-0.50,2.2,1.9,+0.3,+0.14,-0.44
5,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-010,1995,3,93,31,12.9,1.0,1,79,0,2,7,2,0.33,0,1,-1,-0.97,-0.54,1.0,1.7,-0.7,-0.71,-0.25
6,Carlos Akapo,gq  EQG,DF,Cádiz,28-211,1993,5,358,72,49.7,4.0,4,87,3,1,12,0,0.60,5,7,-2,-0.50,-0.01,5.3,6.6,-1.2,-0.31,+0.38
7,Paul Akouokou,ci  CIV,MF,Betis,23-293,1997,1,81,81,11.3,0.9,1,81,0,0,,6,1.00,1,1,0,0.00,-0.28,0.4,0.6,-0.1,-0.13,-0.68
8,David Alaba,at  AUT,DF,Real Madrid,29-107,1992,7,630,90,87.5,7.0,7,90,7,0,,0,2.00,17,8,+9,+1.29,-1.71,10.7,8.6,+2.0,+0.29,-1.26
9,Jony Álamo,es  ESP,MF,Elche,20-014,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
10,Tomás Alarcón,cl  CHI,MF,Cádiz,22-263,1999,8,659,82,91.5,7.3,7,90,6,1,32,0,0.88,7,11,-4,-0.55,-0.55,7.1,10.8,-3.7,-0.50,+0.06
11,Jordi Alba,es  ESP,DF,Barcelona,32-202,1989,3,270,90,42.9,3.0,3,90,3,0,,1,2.33,7,4,+3,+1.00,+0.75,5.2,2.8,+2.4,+0.80,+0.37
12,Raúl Albiol,es  ESP,DF,Villarreal,36-035,1985,5,450,90,71.4,5.0,5,90,5,0,,1,1.00,2,2,0,0.00,-2.50,4.3,5.5,-1.2,-0.25,-2.29
13,Paco Alcácer,es  ESP,FW,Villarreal,28-040,1993,3,165,55,26.2,1.8,2,66,0,1,34,3,1.67,3,1,+2,+1.09,+0.51,3.2,1.7,+1.6,+0.86,+0.61
14,Omar Alderete,py  PAR,DF,Valencia,24-287,1996,8,630,79,87.5,7.0,8,79,4,0,,0,1.50,12,8,+4,+0.57,+0.57,8.4,5.7,+2.7,+0.38,-0.09
15,Iván Alejo,es  ESP,MF,Cádiz,26-241,1995,1,31,31,4.3,0.3,0,,0,1,31,0,1.00,0,0,0,0.00,+0.52,0.0,0.5,-0.4,-1.27,-0.80
16,Carles Aleñá,es  ESP,"MF,FW",Getafe,23-277,1998,7,490,70,68.1,5.4,7,70,0,0,,0,0.14,3,6,-3,-0.55,+2.19,3.0,5.9,-2.9,-0.54,+0.47
17,Alfon,es  ESP,FW,Celta Vigo,22-158,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
18,Yeray Álvarez,es  ESP,DF,Athletic Club,26-258,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
19,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19-323,2001,1,7,7,1.0,0.1,0,,0,1,7,4,0.00,0,0,0,0.00,+1.26,0.0,0.6,-0.6,-7.93,-7.31
20,Amath,sn  SEN,"FW,MF",Mallorca,25-085,1996,6,317,53,44.0,3.5,3,79,1,3,27,1,1.83,4,3,+1,+0.28,+1.62,3.8,4.2,-0.4,-0.10,+0.56
21,Florin Andone,ro  ROU,"FW,MF",Cádiz,28-181,1993,2,89,45,12.4,1.0,1,66,0,1,23,2,0.00,1,4,-3,-3.03,-2.89,0.6,2.5,-1.9,-1.90,-1.60
22,Lluis Andreu,es  ESP,GK,Elche,22-074,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
23,Ángel,es  ESP,GK,Granada,19-109,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
24,José Ángel,es  ESP,DF,Osasuna,32-034,1989,5,106,21,14.7,1.2,1,80,0,4,7,2,2.00,5,2,+3,+2.55,+2.99,2.6,2.6,+0.1,+0.06,-0.16
25,Josep Antoni Gayá,es  ESP,DF,Mallorca,21-094,2000,1,58,58,8.1,0.6,1,58,0,0,,5,0.00,1,4,-3,-4.66,-4.38,0.5,2.2,-1.7,-2.70,-2.48
26,Mauro Arambarri,uy  URU,MF,Getafe,26-009,1995,5,375,75,52.1,4.2,5,75,3,0,,0,0.20,2,5,-3,-0.72,+1.11,2.7,4.6,-1.9,-0.45,+0.50
27,Néstor Araujo,mx  MEX,DF,Celta Vigo,30-041,1991,7,625,89,86.8,6.9,7,89,6,0,,1,1.00,5,9,-4,-0.58,-0.58,7.5,11.3,-3.8,-0.55,-0.42
28,Ronald Araújo,uy  URU,DF,Barcelona,22-216,1999,7,438,63,69.5,4.9,4,90,4,3,26,0,1.71,6,6,0,0.00,-1.87,5.6,5.8,-0.3,-0.06,-2.10
29,Jesús Areso,es  ESP,DF,Osasuna,22-099,1999,1,82,82,11.4,0.9,1,82,0,0,,6,3.00,2,2,0,0.00,0.00,1.0,2.2,-1.2,-1.36,-1.75
30,Santiago Arias,co  COL,DF,Granada,29-269,1992,2,180,90,25.0,2.0,2,90,2,0,,3,0.00,3,5,-2,-1.00,-0.33,1.7,4.4,-2.7,-1.33,-0.29
31,Santiago Arzamendia,py  PAR,MF,Cádiz,23-157,1998,3,136,45,18.9,1.5,2,51,0,1,35,3,1.33,1,3,-2,-1.32,-1.02,0.5,2.4,-2.0,-1.30,-0.98
32,Sergio Asenjo,es  ESP,GK,Villarreal,32-103,1989,1,90,90,14.3,1.0,1,90,1,0,,6,3.00,4,1,+3,+3.00,+2.67,2.8,1.2,+1.6,+1.57,+1.36
33,Marco Asensio,es  ESP,"MF,FW",Real Madrid,25-261,1996,6,223,37,31.0,2.5,2,76,0,4,18,1,2.33,8,2,+6,+2.42,+1.34,5.7,2.7,+3.1,+1.24,+1.15
34,Iago Aspas,es  ESP,FW,Celta Vigo,34-069,1987,8,706,88,98.1,7.8,8,88,7,0,,0,0.88,6,11,-5,-0.64,-7.07,8.5,12.7,-4.2,-0.54,-2.16
35,Ludwig Augustinsson,se  SWE,"DF,MF",Sevilla,27-171,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,
36,Ezequiel Ávila,ar  ARG,FW,Osasuna,27-245,1994,8,216,27,30.0,2.4,1,70,0,7,21,0,1.75,5,6,-1,-0.42,-0.60,3.1,5.3,-2.2,-0.92,-1.59
37,Gaizka Ayesa,es  ESP,GK,Real Sociedad,20-190,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
38,Iddrisu Baba,gh  GHA,MF,Mallorca,25-260,1996,8,635,79,88.2,7.1,7,84,4,1,45,0,1.38,5,8,-3,-0.43,+1.69,6.1,7.7,-1.6,-0.22,+1.67
39,Carlos Bacca,co  COL,FW,Granada,35-031,1986,6,325,54,45.1,3.6,3,74,1,3,34,1,0.43,4,7,-3,-0.83,-0.15,2.6,5.0,-2.4,-0.67,+0.82
40,Édgar Badía,es  ESP,GK,Elche,29-239,1992,0,,,,,0,,0,0,,8,,,,,,,,,,,
41,Miguel Baeza,es  ESP,DF,Celta Vigo,21-196,2000,1,2,2,0.3,0.0,0,,0,1,2,5,0.00,0,0,0,0.00,+0.50,0.3,0.3,0.0,-1.44,-0.95
42,Alejandro Balde,es  ESP,DF,Barcelona,17-356,2003,1,41,41,6.5,0.5,1,41,0,0,,2,1.00,0,1,-1,-2.20,-2.96,0.1,0.5,-0.4,-0.94,-1.63
43,Gareth Bale,wls  WAL,FW,Real Madrid,32-085,1989,3,190,63,26.4,2.1,3,63,0,0,,0,2.33,5,3,+2,+0.95,-0.75,2.6,3.1,-0.5,-0.22,-0.91
