,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Julen Agirrezabala,es  ESP,GK,Athletic Club,20-287,2000,2.0,1,0,0,0,0,0.6,0.11,-0.4,-0.22,4,16,25.0,30,8,36.7,38.9,16,31.3,31.9,21,1,4.8,4,2.00,17.0
1,Sergio Asenjo,es  ESP,GK,Villarreal,32-103,1989,1.0,1,0,0,0,0,0.7,0.23,-0.3,-0.31,3,7,42.9,17,5,29.4,33.9,4,50.0,43.0,14,1,7.1,1,1.00,14.4
2,Yassine Bounou,ma  MAR,GK,Sevilla,30-187,1991,6.0,3,0,0,0,0,2.1,0.09,-0.9,-0.15,25,68,36.8,153,22,32.7,34.4,35,51.4,44.5,47,3,6.4,7,1.17,15.2
3,Claudio Bravo,cl  CHI,GK,Betis,38-179,1983,3.0,3,0,0,0,0,2.9,0.29,-0.1,-0.03,18,49,36.7,83,11,50.6,42.7,13,53.8,44.8,40,1,2.5,1,0.33,12.9
4,Cárdenas,es  ESP,GK,Levante,24-195,1997,3.0,4,0,0,0,0,1.9,0.32,-2.1,-0.69,14,33,42.4,71,12,42.3,37.1,13,23.1,28.5,19,0,0.0,2,0.67,14.4
5,Kiko Casilla,es  ESP,GK,Elche,35-007,1986,8.0,8,0,0,0,0,8.7,0.26,+0.7,+0.09,60,164,36.6,194,41,57.7,43.9,82,63.4,47.0,86,6,7.0,3,0.38,12.9
6,Jasper Cillessen,nl  NED,GK,Valencia,32-170,1989,2.0,1,0,0,1,0,1.1,0.21,+0.1,+0.03,21,42,50.0,53,13,62.3,47.7,9,100.0,74.1,17,3,17.6,1,0.50,13.0
7,Thibaut Courtois,be  BEL,GK,Real Madrid,29-151,1992,8.0,10,1,0,0,0,9.6,0.27,-0.4,-0.04,20,60,33.3,203,39,20.7,30.5,38,47.4,40.8,59,6,10.2,7,0.88,15.6
8,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,27-288,1993,7.8,8,3,0,0,1,9.8,0.27,+2.8,+0.35,48,164,29.3,187,36,61.5,48.8,61,80.3,59.9,70,6,8.6,3,0.38,11.2
9,Matías Dituro,ar  ARG,GK,Celta Vigo,34-154,1987,8.0,11,1,0,0,0,14.3,0.33,+3.3,+0.42,67,142,47.2,216,28,49.1,42.4,53,67.9,53.3,50,5,10.0,12,1.50,18.7
10,Marko Dmitrović,rs  SRB,GK,Sevilla,29-258,1992,1.0,0,0,0,0,0,0.6,0.19,+0.6,+0.56,0,3,0.0,28,5,10.7,24.3,2,0.0,18.0,3,0,0.0,2,2.00,20.3
11,Aarón Escandell,es  ESP,GK,Granada,26-012,1995,3.2,6,2,0,0,0,3.9,0.19,-2.1,-0.66,39,89,43.8,88,13,68.2,48.1,37,78.4,54.3,25,2,8.0,7,2.22,14.6
12,Aitor Fernández,es  ESP,GK,Levante,30-159,1991,5.0,9,1,0,2,0,8.1,0.24,-0.9,-0.18,36,79,45.6,107,19,48.6,42.4,50,54.0,40.5,52,1,1.9,4,0.81,14.3
