,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
0,Memphis,9.0,nl  NED,FW,27-197,90,49,1,3,23,23,3,49,1,2,50.0,6,5,43,10
1,Martin Braithwaite,12.0,dk  DEN,LW,30-085,73,18,0,0,10,8,2,18,0,0,,1,1,12,5
2,Nicolás González,28.0,es  ESP,LW,19-238,17,17,0,3,6,8,1,17,0,0,,0,0,14,1
3,Antoine Griezmann,7.0,fr  FRA,RW,30-161,83,38,0,5,27,6,1,38,1,4,25.0,0,2,25,6
4,Óscar Mingueza,29.0,es  ESP,RW,22-108,7,6,0,2,3,1,0,6,0,0,,0,0,4,0
5,Frenkie de Jong,21.0,nl  NED,LM,24-109,90,83,0,8,61,15,0,83,4,4,100.0,2,0,68,2
6,Sergio Busquets,5.0,es  ESP,CM,33-044,90,105,2,17,82,6,0,105,0,0,,1,0,78,0
7,Sergi Roberto,20.0,es  ESP,RM,29-203,73,53,1,6,39,9,2,53,1,1,100.0,2,1,42,1
8,Gavi,30.0,es  ESP,RM,17-024,17,18,1,3,8,7,1,18,0,1,0.0,1,1,13,1
9,Jordi Alba,18.0,es  ESP,LB,32-161,90,85,3,17,45,24,3,85,1,1,100.0,0,0,61,4
10,Clément Lenglet,15.0,fr  FRA,CB,26-073,90,108,3,30,77,1,0,108,0,0,,0,0,88,0
11,Ronald Araújo,4.0,uy  URU,CB,22-175,90,96,7,36,60,0,0,96,0,0,,1,1,74,0
12,Emerson,22.0,br  BRA,RB,22-227,62,55,1,11,34,10,0,55,0,1,0.0,0,0,38,1
13,Sergiño Dest,2.0,us  USA,RB,20-299,28,22,2,6,10,6,2,22,1,2,50.0,0,0,16,0
14,Marc-André ter Stegen,1.0,de  GER,GK,29-121,90,49,41,48,1,0,0,49,0,0,,0,0,31,0
15,15 Players,,,,,990,802,62,195,486,124,15,802,9,16,56.3,14,11,607,31
