,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Memphis,9.0,nl  NED,FW,27-197,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
1,Martin Braithwaite,12.0,dk  DEN,LW,30-085,73,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
2,Nicolás González,28.0,es  ESP,LW,19-238,17,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
3,Antoine Griezmann,7.0,fr  FRA,RW,30-161,83,5,2,1,4,0,0,1,0.0,1,1,0,1,1,6,1,0
4,Óscar Mingueza,29.0,es  ESP,RW,22-108,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Frenkie de Jong,21.0,nl  NED,LM,24-109,90,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
6,Sergio Busquets,5.0,es  ESP,CM,33-044,90,2,0,1,1,0,0,1,0.0,1,0,0,0,1,3,0,0
7,Sergi Roberto,20.0,es  ESP,RM,29-203,73,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
8,Gavi,30.0,es  ESP,RM,17-024,17,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
9,Jordi Alba,18.0,es  ESP,LB,32-161,90,1,1,0,1,0,0,0,,0,1,0,1,1,2,2,0
10,Clément Lenglet,15.0,fr  FRA,CB,26-073,90,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
11,Ronald Araújo,4.0,uy  URU,CB,22-175,90,1,1,1,0,0,0,0,,0,1,0,1,1,2,5,0
12,Emerson,22.0,br  BRA,RB,22-227,62,3,3,2,1,0,1,2,50.0,1,1,0,1,2,5,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-299,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,Marc-André ter Stegen,1.0,de  GER,GK,29-121,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,15 Players,,,,,990,18,9,6,12,0,4,9,44.4,5,5,0,5,8,26,11,0
