,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog
0,Memphis,9.0,nl  NED,FW,27-197,90,23,33,69.7,209,46,20,23,87.0,1,1,100.0,0,4,0.0,0,0.0,0.0,0,1,0,0,2
1,Martin Braithwaite,12.0,dk  DEN,LW,30-085,73,9,13,69.2,137,30,6,9,66.7,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
2,Nicolás González,28.0,es  ESP,LW,19-238,17,10,14,71.4,112,14,4,6,66.7,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,RW,30-161,83,24,29,82.8,311,40,11,12,91.7,5,7,71.4,2,3,66.7,0,0.0,0.0,0,0,0,0,1
4,Óscar Mingueza,29.0,es  ESP,RW,22-108,7,4,6,66.7,86,33,1,1,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,1,0,0,0
5,Frenkie de Jong,21.0,nl  NED,LM,24-109,90,75,79,94.9,1158,306,40,41,97.6,24,24,100.0,7,7,100.0,1,0.1,0.1,1,10,3,0,10
6,Sergio Busquets,5.0,es  ESP,CM,33-044,90,85,98,86.7,1493,405,32,34,94.1,41,46,89.1,8,10,80.0,0,0.0,0.0,0,5,0,0,5
7,Sergi Roberto,20.0,es  ESP,RM,29-203,73,42,48,87.5,518,75,29,32,90.6,7,8,87.5,2,2,100.0,0,0.0,0.0,0,0,1,0,2
8,Gavi,30.0,es  ESP,RM,17-024,17,12,15,80.0,136,63,7,7,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1
9,Jordi Alba,18.0,es  ESP,LB,32-161,90,64,80,80.0,958,264,36,41,87.8,19,25,76.0,5,6,83.3,1,0.4,0.0,4,1,1,0,2
10,Clément Lenglet,15.0,fr  FRA,CB,26-073,90,93,104,89.4,1574,526,42,46,91.3,42,42,100.0,8,12,66.7,0,0.2,0.3,1,6,1,0,6
11,Ronald Araújo,4.0,uy  URU,CB,22-175,90,80,87,92.0,1406,272,28,29,96.6,49,51,96.1,2,5,40.0,0,0.0,0.0,0,0,0,0,0
12,Emerson,22.0,br  BRA,RB,22-227,62,40,47,85.1,511,82,26,28,92.9,11,12,91.7,1,2,50.0,0,0.0,0.0,0,0,2,0,2
13,Sergiño Dest,2.0,us  USA,RB,20-299,28,18,21,85.7,270,77,6,7,85.7,7,7,100.0,2,4,50.0,0,0.5,0.2,1,0,1,1,1
14,Marc-André ter Stegen,1.0,de  GER,GK,29-121,90,34,47,72.3,922,661,7,7,100.0,15,17,88.2,12,23,52.2,0,0.0,0.0,0,0,0,0,0
15,15 Players,,,,,990,613,721,85.0,9801,2894,295,323,91.3,227,247,91.9,53,83,63.9,2,1.2,0.9,7,25,10,1,33
