,Possession_Barcelona,Possession_Getafe
0,66%,34%
1,Passing Accuracy,Passing Accuracy
2,613 of 721 —  85%,73%  — 266 of 365
3,Shots on Target,Shots on Target
4,3 of 7 —  43%,38%  — 3 of 8
5,Saves,Saves
6,2 of 3 —  66%,33%  — 1 of 3
7,Cards,Cards
8,,
