,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Sandro Ramírez,12.0,es  ESP,FW,26-051,60,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
1,Jaime Mata,7.0,es  ESP,FW,32-309,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Enes Ünal,10.0,tr  TUR,FW,24-111,75,3,1,0,2,1,0,2,0.0,2,1,0,1,0,3,1,0
3,José Juan Macías,9.0,mx  MEX,FW,21-341,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Jakub Jankto,16.0,cz  CZE,"LM,CM",25-222,90,2,2,1,1,0,2,2,100.0,0,2,0,2,1,3,0,0
5,Mauro Arambarri,18.0,uy  URU,CM,25-333,90,5,3,1,3,1,1,2,50.0,1,1,0,1,1,6,0,0
6,Nemanja Maksimović,20.0,rs  SRB,"CM,CB",26-215,90,2,1,1,1,0,1,2,50.0,1,1,1,0,7,9,0,0
7,Carles Aleñá,11.0,es  ESP,RM,23-236,60,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
8,David Timor,24.0,es  ESP,"CM,RM",31-316,30,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
9,Mathías Olivera,17.0,uy  URU,LB,23-302,90,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,0,0
10,Stefan Mitrović,23.0,rs  SRB,CB,31-099,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,4,0
11,Djené,2.0,tg  TOG,CB,29-241,83,1,1,1,0,0,0,0,,0,1,1,0,2,3,2,0
12,Emmanuel Amankwaa Akurugu,28.0,gh  GHA,CB,19-282,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,Iglesias,21.0,es  ESP,RB,23-057,45,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0
14,Damián Suárez,22.0,uy  URU,RB,33-124,45,3,2,0,3,0,2,2,100.0,0,1,0,1,2,5,0,0
15,David Soria,13.0,es  ESP,GK,28-147,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,18,11,6,10,2,7,16,43.8,9,12,2,10,19,37,9,0
