,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Succ_Dribbles,Att_Dribbles
0,Memphis,9.0,nl  NED,FW,27-197,90,1,0,0,0,3,1,1,0,49,1,0,0,0.6,0.6,0.0,1,1,23,33,69.7,2,1,2
1,Martin Braithwaite,12.0,dk  DEN,LW,30-085,73,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,1,0,0
2,Nicolás González,28.0,es  ESP,LW,19-238,17,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,RW,30-161,83,0,0,0,0,0,0,0,0,38,5,1,1,0.0,0.0,0.0,2,0,24,29,82.8,1,1,4
4,Óscar Mingueza,29.0,es  ESP,RW,22-108,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,0,0
5,Frenkie de Jong,21.0,nl  NED,LM,24-109,90,0,1,0,0,0,0,0,0,83,1,1,0,0.0,0.0,0.1,1,1,75,79,94.9,10,4,4
6,Sergio Busquets,5.0,es  ESP,CM,33-044,90,0,0,0,0,0,0,0,0,105,2,1,0,0.0,0.0,0.0,1,1,85,98,86.7,5,0,0
7,Sergi Roberto,20.0,es  ESP,RM,29-203,73,1,0,0,0,2,2,0,0,53,1,0,0,0.5,0.5,0.0,0,0,42,48,87.5,2,1,1
8,Gavi,30.0,es  ESP,RM,17-024,17,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,12,15,80.0,1,0,1
9,Jordi Alba,18.0,es  ESP,LB,32-161,90,0,1,0,0,0,0,0,0,85,1,1,1,0.0,0.0,0.4,3,0,64,80,80.0,2,1,1
10,Clément Lenglet,15.0,fr  FRA,CB,26-073,90,0,0,0,0,0,0,1,0,108,2,1,0,0.0,0.0,0.2,2,1,93,104,89.4,6,0,0
11,Ronald Araújo,4.0,uy  URU,CB,22-175,90,0,0,0,0,0,0,1,0,96,1,1,1,0.0,0.0,0.0,0,0,80,87,92.0,0,0,0
12,Emerson,22.0,br  BRA,RB,22-227,62,0,0,0,0,0,0,0,0,55,3,2,1,0.0,0.0,0.0,0,0,40,47,85.1,2,0,1
13,Sergiño Dest,2.0,us  USA,RB,20-299,28,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.5,1,0,18,21,85.7,1,1,2
14,Marc-André ter Stegen,1.0,de  GER,GK,29-121,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,34,47,72.3,0,0,0
15,15 Players,,,,,990,2,2,0,0,7,3,3,0,802,18,8,5,1.2,1.2,1.2,13,4,613,721,85.0,33,9,16
