,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-175,90,0,0,0,4,3,0,2,0,1,0,0,0,3,2,2,50.0
1,Martin Braithwaite,9.0,dk  DEN,LW,29-194,90,0,0,0,2,3,2,2,0,1,0,0,0,3,2,4,33.3
2,Antoine Griezmann,7.0,fr  FRA,RW,29-270,65,0,0,0,0,1,1,2,0,1,0,0,0,5,1,0,100.0
3,Francisco Trincão,17.0,pt  POR,RW,20-353,25,1,0,0,2,2,0,0,0,0,0,0,0,5,0,1,0.0
4,Pedri,16.0,es  ESP,AM,18-021,73,0,0,0,0,1,0,1,1,1,0,0,0,5,0,1,0.0
5,Miralem Pjanić,8.0,ba  BIH,"DM,AM",30-258,17,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,100.0
6,Frenkie de Jong,21.0,nl  NED,"DM,CM",23-218,90,0,0,0,1,0,1,1,1,0,0,0,0,12,3,0,100.0
7,Sergio Busquets,5.0,es  ESP,DM,32-153,66,1,0,0,3,2,0,0,0,1,0,0,0,10,2,2,50.0
8,Carles Aleñá,6.0,es  ESP,"CM,DM",22-346,24,1,0,0,3,0,0,0,0,0,0,0,0,3,2,0,100.0
9,Jordi Alba,18.0,es  ESP,LB,31-270,90,0,0,0,1,0,1,3,0,1,0,0,0,12,1,0,100.0
10,Óscar Mingueza,28.0,es  ESP,CB,21-217,78,0,0,0,1,1,0,0,0,3,0,0,0,8,0,0,
11,Clément Lenglet,15.0,fr  FRA,CB,25-182,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
12,Ronald Araújo,4.0,uy  URU,CB,21-284,90,0,0,0,1,1,0,0,0,1,0,0,0,12,5,2,71.4
13,Sergiño Dest,2.0,us  USA,RB,20-043,90,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,100.0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-230,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
15,15 Players,,,,,990,3,0,0,20,15,5,12,2,11,0,0,0,90,22,13,62.9
