,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Willian José,9.0,br  BRA,FW,29-023,90,0,0,0,0,1,1,0,1,1,0,0,0,5,2,3,40.0
1,Portu,7.0,es  ESP,"LW,RW",28-209,63,0,0,0,0,2,3,1,0,1,0,0,0,4,1,1,50.0
2,Alexander Isak,19.0,se  SWE,RW,21-086,27,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0.0
3,Adnan Januzaj,11.0,be  BEL,RW,25-315,55,1,0,0,1,1,0,1,0,1,0,0,0,1,1,2,33.3
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",18-355,35,1,0,0,2,2,0,1,0,1,0,0,0,4,0,1,0.0
5,Mikel Merino,8.0,es  ESP,CM,24-177,90,0,0,0,3,4,0,0,0,1,0,0,0,7,1,5,16.7
6,Ander Guevara,16.0,es  ESP,CM,23-162,55,0,0,0,0,1,0,0,1,1,0,0,0,5,1,1,50.0
7,Roberto Navarro,29.0,es  ESP,CM,18-248,35,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,
8,Martín Zubimendi,36.0,es  ESP,DM,21-318,90,0,0,0,0,3,0,0,1,1,0,0,0,10,0,2,0.0
9,Nacho Monreal,20.0,es  ESP,LB,34-294,90,0,0,0,2,1,0,0,0,0,0,0,0,5,1,1,50.0
10,Robin Le Normand,24.0,fr  FRA,CB,24-035,84,1,0,0,2,1,0,0,1,0,0,0,0,7,1,2,33.3
11,Modibo Sagnan,15.0,ml  MLI,CB,21-246,6,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
12,Igor Zubeldia,5.0,es  ESP,CB,23-261,90,0,0,0,0,1,0,0,0,0,0,0,0,15,3,1,75.0
13,Andoni Gorosabel,18.0,es  ESP,RB,24-134,90,0,0,0,3,0,0,4,0,1,0,0,0,6,1,2,33.3
14,Álex Remiro,1.0,es  ESP,GK,25-267,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
15,15 Players,,,,,990,3,0,0,15,20,4,7,4,10,0,0,0,84,13,22,37.1
