,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Willian José,9.0,br  BRA,FW,29-023,90,30,35,85.7,598,95,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,1,2,1,0,4
1,Portu,7.0,es  ESP,"LW,RW",28-209,63,17,23,73.9,247,66,9,11,81.8,7,9,77.8,1,2,50.0,1,0.9,2,0,2,0,3
2,Alexander Isak,19.0,se  SWE,RW,21-086,27,5,6,83.3,108,29,1,2,50.0,4,4,100.0,0,0,,0,0.0,0,0,1,0,1
3,Adnan Januzaj,11.0,be  BEL,RW,25-315,55,14,19,73.7,256,100,6,6,100.0,4,4,100.0,3,6,50.0,0,0.0,0,2,0,0,2
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",18-355,35,9,12,75.0,147,32,5,5,100.0,3,6,50.0,1,1,100.0,0,0.0,0,1,0,0,1
5,Mikel Merino,8.0,es  ESP,CM,24-177,90,40,47,85.1,798,282,15,16,93.8,15,18,83.3,8,11,72.7,0,0.0,0,7,1,0,6
6,Ander Guevara,16.0,es  ESP,CM,23-162,55,19,24,79.2,332,26,10,11,90.9,6,8,75.0,3,3,100.0,0,0.0,0,0,0,0,0
7,Roberto Navarro,29.0,es  ESP,CM,18-248,35,17,22,77.3,283,83,10,10,100.0,5,6,83.3,2,5,40.0,0,0.0,1,1,0,0,3
8,Martín Zubimendi,36.0,es  ESP,DM,21-318,90,55,64,85.9,1030,307,19,22,86.4,27,29,93.1,8,9,88.9,0,0.0,0,4,1,0,5
9,Nacho Monreal,20.0,es  ESP,LB,34-294,90,24,31,77.4,380,122,11,14,78.6,11,12,91.7,1,1,100.0,0,0.0,0,0,0,0,2
10,Robin Le Normand,24.0,fr  FRA,CB,24-035,84,39,46,84.8,734,187,13,15,86.7,20,22,90.9,5,8,62.5,0,0.0,0,3,1,0,2
11,Modibo Sagnan,15.0,ml  MLI,CB,21-246,6,9,9,100.0,160,35,3,3,100.0,5,5,100.0,0,0,,0,0.0,0,0,1,0,2
12,Igor Zubeldia,5.0,es  ESP,CB,23-261,90,44,49,89.8,893,306,15,17,88.2,22,24,91.7,7,8,87.5,0,0.0,1,4,0,0,4
13,Andoni Gorosabel,18.0,es  ESP,RB,24-134,90,37,49,75.5,701,213,14,16,87.5,18,24,75.0,4,6,66.7,0,0.2,2,3,1,0,3
14,Álex Remiro,1.0,es  ESP,GK,25-267,90,33,44,75.0,1200,886,1,1,100.0,15,15,100.0,17,28,60.7,0,0.0,0,1,0,0,0
15,15 Players,,,,,990,392,480,81.7,7867,2769,145,164,88.4,171,196,87.2,66,95,69.5,1,1.3,7,28,9,0,38
