,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-175,90,83,0,9,54,30,4,77,4,5,80.0,4,1,64,529,278,15,5,2,2,2,84,70,83.3,5
1,Martin Braithwaite,9.0,dk  DEN,LW,29-194,90,42,1,5,15,25,6,42,0,1,0.0,0,0,33,182,81,4,0,1,0,3,53,37,69.8,11
2,Antoine Griezmann,7.0,fr  FRA,RW,29-270,65,40,0,2,13,27,8,40,1,1,100.0,1,0,30,197,79,3,1,0,1,0,43,33,76.7,6
3,Francisco Trincão,17.0,pt  POR,RW,20-353,25,17,2,9,7,5,0,17,4,6,66.7,4,0,17,106,59,0,0,0,0,1,13,11,84.6,2
4,Pedri,16.0,es  ESP,AM,18-021,73,47,1,6,20,25,4,47,0,0,,0,0,24,183,117,8,2,0,2,0,51,37,72.5,4
5,Miralem Pjanić,8.0,ba  BIH,"DM,AM",30-258,17,12,2,5,6,1,0,11,0,0,,0,0,3,10,4,0,0,0,0,0,8,6,75.0,0
6,Frenkie de Jong,21.0,nl  NED,"DM,CM",23-218,90,66,2,13,39,23,4,64,2,3,66.7,2,0,45,331,156,9,3,0,1,2,51,48,94.1,4
7,Sergio Busquets,5.0,es  ESP,DM,32-153,66,46,1,7,33,7,0,46,0,1,0.0,0,0,29,110,30,1,0,0,0,0,33,33,100.0,1
8,Carles Aleñá,6.0,es  ESP,"CM,DM",22-346,24,14,0,2,9,3,1,14,0,0,,0,0,8,40,31,0,0,0,0,1,13,11,84.6,1
9,Jordi Alba,18.0,es  ESP,LB,31-270,90,84,1,27,32,30,6,76,0,1,0.0,1,1,45,194,96,1,0,0,0,0,61,57,93.4,2
10,Óscar Mingueza,28.0,es  ESP,CB,21-217,78,53,9,23,30,0,0,51,0,0,,0,0,31,93,30,2,0,0,0,1,33,33,100.0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-182,12,6,0,2,4,0,0,5,0,0,,0,0,1,0,0,0,0,0,0,0,4,4,100.0,0
12,Ronald Araújo,4.0,uy  URU,CB,21-284,90,40,10,19,20,2,1,39,0,0,,0,0,21,117,21,0,0,0,0,0,18,18,100.0,0
13,Sergiño Dest,2.0,us  USA,RB,20-043,90,45,3,14,14,18,3,38,0,0,,0,0,26,137,70,4,0,1,1,0,29,26,89.7,3
14,Marc-André ter Stegen,1.0,de  GER,GK,28-230,90,39,34,39,0,0,0,29,0,0,,0,0,17,78,48,0,0,0,0,0,23,23,100.0,0
15,15 Players,,,,,990,634,66,182,296,196,37,596,11,18,61.1,12,2,394,2307,1100,47,11,4,7,10,517,447,86.5,39
