,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Willian José,9.0,br  BRA,FW,29-023,90,1,1,0,1,0,1,1,100.0,0,13,3,23.1,1,6,6,0,0,0,0,1,2,1,0
1,Portu,7.0,es  ESP,"LW,RW",28-209,63,1,1,0,1,0,0,0,,0,20,6,30.0,4,4,12,2,0,0,2,0,1,0,0
2,Alexander Isak,19.0,se  SWE,RW,21-086,27,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
3,Adnan Januzaj,11.0,be  BEL,RW,25-315,55,1,1,0,1,0,0,1,0.0,1,9,1,11.1,0,7,2,0,0,0,0,0,1,0,0
4,Ander Barrenetxea,22.0,es  ESP,"LW,RW",18-355,35,1,1,0,0,1,1,2,50.0,1,7,3,42.9,0,4,3,1,0,0,1,0,1,0,0
5,Mikel Merino,8.0,es  ESP,CM,24-177,90,3,1,1,1,1,1,4,25.0,3,38,17,44.7,12,17,9,4,1,0,3,0,3,0,0
6,Ander Guevara,16.0,es  ESP,CM,23-162,55,2,1,1,1,0,0,3,0.0,3,28,4,14.3,9,16,3,1,0,0,1,1,3,0,1
7,Roberto Navarro,29.0,es  ESP,CM,18-248,35,2,2,1,1,0,1,2,50.0,1,19,7,36.8,5,7,7,1,0,0,1,0,2,0,0
8,Martín Zubimendi,36.0,es  ESP,DM,21-318,90,2,1,1,1,0,0,1,0.0,1,20,6,30.0,9,8,3,2,1,0,1,1,3,2,0
9,Nacho Monreal,20.0,es  ESP,LB,34-294,90,1,0,0,0,1,1,1,100.0,0,12,4,33.3,5,2,5,1,1,0,0,0,1,2,0
10,Robin Le Normand,24.0,fr  FRA,CB,24-035,84,0,0,0,0,0,0,0,,0,15,5,33.3,9,6,0,0,0,0,0,1,1,1,0
11,Modibo Sagnan,15.0,ml  MLI,CB,21-246,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
12,Igor Zubeldia,5.0,es  ESP,CB,23-261,90,1,0,1,0,0,0,1,0.0,1,13,3,23.1,10,2,1,1,0,0,1,0,1,3,0
13,Andoni Gorosabel,18.0,es  ESP,RB,24-134,90,1,1,1,0,0,1,1,100.0,0,17,7,41.2,9,4,4,2,0,0,2,0,1,1,0
14,Álex Remiro,1.0,es  ESP,GK,25-267,90,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
15,15 Players,,,,,990,16,10,6,7,3,6,18,33.3,12,215,66,30.7,74,84,57,15,3,0,12,4,20,10,1
