,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lionel Messi,10.0,ar  ARG,FW,33-175,90,0,0,0,0,3,1,0,0,83,20,3,0,0,0.1,0.1,0.1,6,1,62,71,87.3,12,64,15,4,5
1,Martin Braithwaite,9.0,dk  DEN,LW,29-194,90,0,0,0,0,1,0,0,0,42,11,1,0,0,0.5,0.5,0.0,1,0,28,32,87.5,0,33,4,0,1
2,Antoine Griezmann,7.0,fr  FRA,RW,29-270,65,0,0,0,0,4,1,0,0,40,14,2,0,1,1.1,1.1,0.0,2,0,26,32,81.3,2,30,3,1,1
3,Francisco Trincão,17.0,pt  POR,RW,20-353,25,0,0,0,0,0,0,1,0,17,6,0,0,0,0.0,0.0,0.0,1,0,8,11,72.7,0,17,0,4,6
4,Pedri,16.0,es  ESP,AM,18-021,73,0,0,0,0,1,0,0,0,47,23,1,1,2,0.0,0.0,0.5,4,0,30,38,78.9,3,24,8,0,0
5,Miralem Pjanić,8.0,ba  BIH,"DM,AM",30-258,17,0,0,0,0,0,0,0,0,12,5,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,3,0,0,0
6,Frenkie de Jong,21.0,nl  NED,"DM,CM",23-218,90,1,0,0,0,1,1,0,0,66,10,0,1,1,0.4,0.4,0.4,2,0,49,58,84.5,6,45,9,2,3
7,Sergio Busquets,5.0,es  ESP,DM,32-153,66,0,0,0,0,0,0,1,0,46,15,2,0,1,0.0,0.0,0.1,2,0,38,42,90.5,8,29,1,0,1
8,Carles Aleñá,6.0,es  ESP,"CM,DM",22-346,24,0,0,0,0,1,0,1,0,14,11,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,8,0,0,0
9,Jordi Alba,18.0,es  ESP,LB,31-270,90,1,0,0,0,1,1,0,0,84,17,1,0,5,0.1,0.1,0.9,3,1,63,76,82.9,5,45,1,0,1
10,Óscar Mingueza,28.0,es  ESP,CB,21-217,78,0,0,0,0,0,0,0,0,53,10,3,0,2,0.0,0.0,0.0,0,0,39,43,90.7,1,31,2,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-182,12,0,0,0,0,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,1,0,0,0
12,Ronald Araújo,4.0,uy  URU,CB,21-284,90,0,0,0,0,1,0,0,0,40,23,2,0,4,0.0,0.0,0.0,0,0,24,31,77.4,0,21,0,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-043,90,0,0,0,0,1,0,0,0,45,16,1,0,3,0.1,0.1,0.0,2,0,30,37,81.1,1,26,4,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-230,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0.0,0.0,0.0,0,0,27,37,73.0,0,17,0,0,0
15,15 Players,,,,,990,2,0,0,0,14,4,3,0,634,182,17,2,19,2.5,2.5,2.0,23,2,447,536,83.4,39,394,47,11,18
