,Real Sociedad (4-3-3),Real Sociedad (4-3-3).1
0,1,Álex Remiro
1,5,Igor Zubeldia
2,7,Portu
3,8,Mikel Merino
4,9,Willian José
5,11,Adnan Januzaj
6,16,Ander Guevara
7,18,Andoni Gorosabel
8,20,Nacho Monreal
9,24,Robin Le Normand
10,36,Martín Zubimendi
11,Bench,Bench
12,31,Unai Marrero
13,34,Gaizka Ayesa
14,2,Joseba Zaldúa
15,12,Aihen Muñoz
16,15,Modibo Sagnan
17,17,Martín Merquelanz
18,19,Alexander Isak
19,22,Ander Barrenetxea
20,25,Jon Bautista
21,28,Roberto López
22,29,Roberto Navarro
23,37,Urko González
