,Possession_Barcelona,Possession_Real Sociedad
0,53%,47%
1,Passing Accuracy,Passing Accuracy
2,447 of 536 —  83%,82%  — 392 of 480
3,Shots on Target,Shots on Target
4,4 of 14 —  29%,42%  — 5 of 12
5,Saves,Saves
6,4 of 5 —  80%,50%  — 2 of 4
7,Cards,Cards
8,,
