,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-12,21:00,Segunda División,Matchweek 1,Sat,Home,W,3,0,Albacete,72.0,,David López,4-2-3-1,Saúl Ais,Match Report,
1,2020-09-20,16:00,Segunda División,Matchweek 2,Sun,Home,D,0,0,Mallorca,53.0,,David López,4-2-3-1,Dámaso Arcediano,Match Report,
2,2020-09-27,18:15,Segunda División,Matchweek 3,Sun,Away,W,2,0,Oviedo,53.0,,David López,4-4-1-1,Gorka Sagues,Match Report,
3,2020-10-04,16:00,Segunda División,Matchweek 4,Sun,Away,W,1,0,Sabadell,48.0,,David López,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
4,2020-10-10,16:00,Segunda División,Matchweek 5,Sat,Home,W,1,0,Alcorcón,68.0,,David López,4-3-3,Eduardo Prieto,Match Report,
5,2020-10-18,16:00,Segunda División,Matchweek 6,Sun,Away,L,0,1,Rayo Vallecano,48.0,,David López,4-2-3-1,José López,Match Report,
6,2020-10-21,16:30,Segunda División,Matchweek 7,Wed,Home,W,2,0,CD Mirandés,49.0,,David López,4-4-2,Álvaro Moreno,Match Report,
7,2020-10-25,17:15,Segunda División,Matchweek 8,Sun,Away,D,0,0,Tenerife,59.0,,David López,4-1-4-1,Jon González,Match Report,
8,2020-10-28,19:00,Segunda División,Matchweek 9,Wed,Home,W,2,0,Ponferradina,48.0,,David López,4-4-2,Luis Milla,Match Report,
9,2020-11-02,21:00,Segunda División,Matchweek 10,Mon,Away,W,3,0,Málaga,53.0,,David López,4-2-3-1,Saúl Ais,Match Report,
10,2020-11-07,21:00,Segunda División,Matchweek 11,Sat,Home,W,2,1,Lugo,67.0,,David López,4-1-4-1,David Gálvez,Match Report,
11,2020-11-14,14:00,Segunda División,Matchweek 12,Sat,Away,D,1,1,Fuenlabrada,54.0,,David López,4-1-4-1,Eduardo Prieto,Match Report,
12,2020-11-20,21:00,Segunda División,Matchweek 13,Fri,Home,L,1,2,Girona,52.0,,David López,4-1-4-1,José López,Match Report,
13,2020-11-26,19:00,Segunda División,Matchweek 14,Thu,Away,L,0,2,Leganés,45.0,,David López,4-2-3-1,Alejandro Muñíz,Match Report,
14,2020-11-29,16:00,Segunda División,Matchweek 15,Sun,Home,W,2,0,Zaragoza,58.0,,David López,4-2-3-1,Juan Pulido,Match Report,
15,2020-12-02,19:00,Segunda División,Matchweek 16,Wed,Away,W,3,1,Cartagena,59.0,,Diego López,4-2-3-1,Dámaso Arcediano,Match Report,
16,2020-12-06,16:00,Segunda División,Matchweek 17,Sun,Home,W,2,0,Sporting Gijón,49.0,,David López,4-4-2◆,Gorka Sagues,Match Report,
17,2020-12-13,14:00,Segunda División,Matchweek 18,Sun,Away,W,3,0,UD Logroñés,49.0,,David López,4-4-2◆,Jon González,Match Report,
18,2020-12-16,19:00,Copa del Rey,First round,Wed,Away,W,1,0,Llagostera,,,,4-4-2,Daniel Trujillo,Match Report,Required Extra Time
19,2020-12-20,16:00,Segunda División,Matchweek 19,Sun,Home,W,2,1,Almería,41.0,,David López,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
20,2021-01-03,15:00,Segunda División,Matchweek 20,Sun,Away,L,0,1,Las Palmas,47.0,,David López,4-4-2,Daniel Ocón,Match Report,
21,2021-01-06,19:00,Copa del Rey,Second round,Wed,Away,W,2,0,Burgos,,,Dídac Vilà,4-2-3-1,José López,Match Report,
22,2021-01-10,21:00,Segunda División,Matchweek 21,Sun,Home,W,2,0,Castellón,54.0,,David López,4-2-3-1,Oliver De La Fuente,Match Report,
